gene logFC FDR add_variable
vnz_00275 3.44537453330606 2.66801989925235e-09 MMC
vnz_11180 3.4421060537818 1.4048704186643e-08 MMC
vnz_24605 3.38955728225671 4.23583989473893e-08 MMC
vnz_19995 3.38545340213091 1.19032738536435e-07 MMC
vnz_09495 3.36711617799828 5.89426575030014e-11 MMC
vnz_21455 3.36004703439379 3.22696690159443e-09 MMC
vnz_21830 3.35968501511502 1.29722587771368e-06 MMC
vnz_20075 3.34152600282618 3.00888220726305e-07 MMC
vnz_25680 3.3292000950053 1.63918263117253e-10 MMC
vnz_21595 3.32101790040187 3.88250445211794e-12 MMC
vnz_00460 3.30989191256342 2.03209402256398e-06 MMC
vnz_28860 3.3086519895682 4.54585174301117e-05 MMC
vnz_26615 3.29314895735887 9.31603734014053e-11 MMC
vnz_05885 3.26879938831023 1.5703366427694e-09 MMC
vnz_15775 3.264246948303 5.3348082893149e-08 MMC
vnz_26610 3.2612630059554 1.63918263117253e-10 MMC
vnz_00730 3.25711985010664 2.03633322974191e-10 MMC
vnz_15235 3.25699671500678 4.63405500439412e-09 MMC
vnz_00495 3.23660640346941 4.2844993730267e-10 MMC
vnz_12720 3.23593525431823 1.12543484119143e-08 MMC
vnz_24765 3.23137188295518 5.23760104726184e-08 MMC
vnz_14710 3.22802016913272 1.75528362913441e-09 MMC
vnz_23440 3.21929231268226 6.10667694265859e-10 MMC
vnz_25245 3.21316234320137 2.54236796969512e-09 MMC
vnz_30300 3.20880697539786 4.27844324343369e-09 MMC
vnz_15695 3.20582507444348 3.02506667308407e-09 MMC
vnz_16290 3.20101763466531 7.98605351982537e-08 MMC
vnz_22555 3.19833771608654 9.62310688579542e-06 MMC
vnz_19375 3.18852934274425 3.16393432261189e-07 MMC
vnz_08795 3.18422805071365 6.08138882336953e-06 MMC
vnz_20630 3.18193934888678 6.13777396313082e-05 MMC
vnz_26845 3.18075964519993 1.70907754848168e-11 MMC
vnz_26265 3.17305846602891 3.53238471704172e-08 MMC
vnz_13230 3.16590919818464 6.16200707824039e-08 MMC
vnz_32295 3.16553070045949 8.22652295204062e-08 MMC
vnz_11225 3.16365942082566 5.05139829838083e-09 MMC
vnz_21145 3.15889719614746 1.99649072591784e-10 MMC
vnz_20085 3.15591579820781 5.77954708919463e-09 MMC
vnz_18855 3.14646794721302 2.46038220219212e-07 MMC
vnz_19395 3.12525683373635 1.30496047576268e-07 MMC
vnz_16215 3.11309597333224 1.04268052812718e-06 MMC
vnz_04240 3.10459830229784 1.2051789854578e-07 MMC
vnz_05645 3.10321205316245 1.26041657694402e-07 MMC
vnz_00685 3.09405197610008 2.24522571332676e-08 MMC
vnz_15535 3.0907227984667 8.90146397977134e-09 MMC
vnz_10590 3.08696330102039 9.22173957281176e-08 MMC
vnz_33225 3.08534105942787 1.72582197784856e-06 MMC
vnz_14330 3.08447325163797 1.20557025960098e-05 MMC
vnz_15710 3.06644317453975 1.07011947178097e-05 MMC
vnz_12265 3.0658092233198 7.68584940025511e-07 MMC
vnz_17055 3.06552068510381 3.16533109431732e-06 MMC
vnz_13250 3.05550725651626 2.5498940137676e-10 MMC
