gene logFC FDR add_variable
SCO0152 0.043134137 0.796117319 delgbn24h
SCO0153 -0.069816774 0.725840507 delgbn24h
SCO0154 -0.04196345 1 delgbn24h
SCO0155 0.057781862 0.791712234 delgbn24h
SCO0156 0.027872223 0.888500438 delgbn24h
SCO0157 -0.006527137 1 delgbn24h
SCO0158 0.041832626 0.772382624 delgbn24h
SCO0159 0.723773332 0.014868078 delgbn24h
SCO0160 0.003987128 0.988381795 delgbn24h
SCO0161 -0.004093823 1 delgbn24h
SCO0162 -0.01066538 0.960496653 delgbn24h
SCO0163 0.1242985 0.440157495 delgbn24h
SCO0164 0.54664861 0.059024085 delgbn24h
SCO0165 0.736022948 0.009540117 delgbn24h
SCO0166 -0.004656394 0.988586329 delgbn24h
SCO0167 0.12691482 0.477366155 delgbn24h
SCO0168 0.128020741 0.452774133 delgbn24h
SCO0169 0.063365754 0.758182269 delgbn24h
SCO0170 0.006944965 0.980338305 delgbn24h
SCO0171 -0.036585903 1 delgbn24h
SCO0172 -0.014430797 0.940595386 delgbn24h
SCO0173 0.085342507 0.638916137 delgbn24h
SCO0174 0.002104466 0.983021713 delgbn24h
SCO0175 -0.010758951 1 delgbn24h
SCO0176 -0.01653141 1 delgbn24h
SCO0177 -0.036895131 1 delgbn24h
SCO0178 -0.001153454 0.99395111 delgbn24h
SCO0179 0.009097348 0.973635364 delgbn24h
SCO0180 0.009681736 0.965771027 delgbn24h
SCO0181 0.04382564 0.680922728 delgbn24h
SCO0182 -0.008568859 1 delgbn24h
SCO0183 -0.014168873 1 delgbn24h
SCO0184 0.012499682 1 delgbn24h
SCO0185 -1.895230317 2.29e-07 delgbn24h
SCO0186 0.069361514 0.716153308 delgbn24h
SCO0187 -0.082940319 0.569549933 delgbn24h
SCO0188 -0.357419632 0.128999503 delgbn24h
SCO0189 -0.388414078 0.065491915 delgbn24h
SCO0190 -0.209192708 0.271217094 delgbn24h
SCO0191 -0.568283024 0.014868078 delgbn24h
SCO0192 -1.545318801 5.01e-06 delgbn24h
SCO0193 -1.453995319 0.005043596 delgbn24h
SCO0194 -0.076810314 0.24422068 delgbn24h
SCO0195 -0.054758835 0.199599671 delgbn24h
SCO0196 -0.107759659 0.016206246 delgbn24h
SCO0197 -2.19735113 3.55e-07 delgbn24h
SCO0198 -0.000976873 0.995857689 delgbn24h
SCO0199 0.056522295 0.665366279 delgbn24h
SCO0200 -0.006555107 0.97968325 delgbn24h
SCO0201 -0.023258293 1 delgbn24h
SCO0202 0.01411188 0.961314562 delgbn24h
SCO0203 0.006051706 0.979797519 delgbn24h
SCO0204 0.022288086 0.936813009 delgbn24h
SCO0207 -0.028451509 1 delgbn24h
SCO0208 0.345296738 0.134591412 delgbn24h
SCO0209 0.054154209 0.648064828 delgbn24h
SCO0210 -0.030910953 1 delgbn24h
SCO0211 0.109546058 0.188551079 delgbn24h
SCO0212 0.057826143 0.695598454 delgbn24h
SCO0213 0.059899894 0.653182337 delgbn24h
SCO0214 -0.008667418 1 delgbn24h
SCO0215 1.100766485 0.044463959 delgbn24h
SCO0216 0.043745662 0.845831039 delgbn24h
SCO0217 0.011018948 0.951719817 delgbn24h
SCO0218 0.000155599 1 delgbn24h
SCO0219 0.079345127 0.495222604 delgbn24h
SCO0220 0.050429283 1 delgbn24h
SCO0222 -0.078726618 0.692757549 delgbn24h
SCO0223 -0.119558114 0.534604435 delgbn24h
SCO0224 -0.886959377 0.001805664 delgbn24h
SCO0225 0.088129339 0.561880875 delgbn24h
SCO0226 0.282006254 0.137846625 delgbn24h
SCO0227 0.001592937 1 delgbn24h
SCO0228 -0.007476535 1 delgbn24h
SCO0229 -0.130987498 0.481937243 delgbn24h
SCO0230 -0.191528649 0.290260485 delgbn24h
SCO0231 -0.06437737 0.630500073 delgbn24h
SCO0232 0.022606701 1 delgbn24h
SCO0233 0.178727979 0.325233083 delgbn24h
SCO0234 0.011894418 1 delgbn24h
SCO0235 0.116387848 0.541237514 delgbn24h
SCO0236 -0.00532419 0.988178492 delgbn24h
SCO0237 0.146810316 0.128860485 delgbn24h
SCO0238 0.033906146 0.85623815 delgbn24h
SCO0239 0.130064164 0.460335228 delgbn24h
SCO0240 0.001348107 0.994802123 delgbn24h
SCO0241 -0.023429932 0.920883039 delgbn24h
SCO0242 0.058400087 0.784722772 delgbn24h
SCO0243 0.04435039 0.850566361 delgbn24h
SCO0244 -0.015773691 0.95825615 delgbn24h
SCO0245 0.054398069 0.80292617 delgbn24h
SCO0246 0.107549679 0.552659713 delgbn24h
SCO0247 0.704962826 8.63e-10 delgbn24h
SCO0248 0.570847409 0.000107102 delgbn24h
SCO0249 0.632454333 0.000125366 delgbn24h
SCO0250 0.078825722 0.705047654 delgbn24h
SCO0251 -0.077072232 0.67956374 delgbn24h
SCO0252 0.044500026 0.847739255 delgbn24h
SCO0253 0.076693999 0.714523109 delgbn24h
SCO0254 0.146297363 0.391272907 delgbn24h
SCO0255 -0.245796819 0.194254129 delgbn24h
SCO0256 -0.873567579 7.89e-06 delgbn24h
SCO0257 -0.747858238 0.000176363 delgbn24h
SCO0258 -0.885459799 6.41e-08 delgbn24h
SCO0259 -0.808767075 1.21e-06 delgbn24h
SCO0260 -0.280558219 0.061541383 delgbn24h
SCO0261 -0.020562318 0.93989444 delgbn24h
SCO0262 0.00347714 0.99123491 delgbn24h
SCO0263 -0.045212352 0.835232596 delgbn24h
SCO0264 0.085506673 0.661383777 delgbn24h
SCO0265 0.148935661 0.325626356 delgbn24h
SCO0266 0.130189586 0.493669952 delgbn24h
SCO0267 0.047481855 0.715299682 delgbn24h
SCO0268 0.359809728 0.04185456 delgbn24h
SCO0269 0.290099214 0.05678876 delgbn24h
SCO0270 0.078409326 0.70805965 delgbn24h
SCO0271 0.058380366 0.747754527 delgbn24h
SCO0272 -0.056452064 1 delgbn24h
SCO0273 -0.056095384 0.758318752 delgbn24h
SCO0274 -0.033969874 0.85623815 delgbn24h
SCO0275 0.010014609 0.973727314 delgbn24h
SCO0276 0.006743158 0.984093428 delgbn24h
SCO0277 -0.071748989 0.731423454 delgbn24h
SCO0278 0.07994578 0.616279666 delgbn24h
SCO0279 0.02285511 0.935680499 delgbn24h
SCO0280 -0.005166917 0.988381795 delgbn24h
SCO0281 -0.055535067 0.70686501 delgbn24h
SCO0282 0.058816663 0.788115139 delgbn24h
SCO0283 0.015011688 0.944755243 delgbn24h
SCO0284 -0.072880833 0.717344012 delgbn24h
SCO0285 0.055423779 0.804864879 delgbn24h
SCO0286 -0.006978431 0.983021713 delgbn24h
SCO0287 0.075277286 0.718821819 delgbn24h
SCO0288 0.024380616 0.924902739 delgbn24h
SCO0289 0.097455086 0.603832256 delgbn24h
SCO0290 0.031507431 0.812266365 delgbn24h
SCO0291 0.02635068 0.892134966 delgbn24h
SCO0292 0.016488193 0.93874382 delgbn24h
SCO0293 0.088423504 0.633939613 delgbn24h
SCO0294 0.111290138 0.569549933 delgbn24h
SCO0295 0.020086186 0.940595386 delgbn24h
SCO0296 0.027063798 0.915766218 delgbn24h
SCO0297 1.006305639 1.29e-08 delgbn24h
SCO0298 0.802527084 5.19e-08 delgbn24h
SCO0299 0.469788537 0.015873583 delgbn24h
SCO0300 0.107963878 0.539410411 delgbn24h
SCO0301 0.074611422 0.690993567 delgbn24h
SCO0302 -0.007083994 0.983021713 delgbn24h
SCO0303 0.025854904 1 delgbn24h
SCO0304 0.025467943 1 delgbn24h
SCO0305 0.181545667 0.197490244 delgbn24h
SCO0307 -0.01491862 0.958717897 delgbn24h
SCO0308 0.08070378 0.685571536 delgbn24h
SCO0309 0.014905289 0.961314562 delgbn24h
SCO0310 -0.143091505 0.442341379 delgbn24h
SCO0311 0.113076731 1 delgbn24h
SCO0312 0.060897947 1 delgbn24h
SCO0313 0.090889745 1 delgbn24h
SCO0314 0.008627766 0.97067729 delgbn24h
SCO0315 0.06778133 0.741778979 delgbn24h
SCO0316 0.090219564 0.649930735 delgbn24h
SCO0317 0.081721377 0.6990888 delgbn24h
SCO0318 -0.024785774 0.852166429 delgbn24h
SCO0319 -4.14579333 5.79e-18 delgbn24h
SCO0320 -4.011294168 2.48e-20 delgbn24h
SCO0321 -1.396624547 2.14e-08 delgbn24h
SCO0322 0.130114328 0.483487493 delgbn24h
SCO0323 -0.081407074 0.598496261 delgbn24h
SCO0324 -0.038649366 0.826941425 delgbn24h
SCO0325 -0.005833991 1 delgbn24h
SCO0326 0.185966004 0.319760862 delgbn24h
SCO0329 0.153475417 0.411912671 delgbn24h
SCO0330 0.075122767 0.681178325 delgbn24h
SCO0331 0.098655558 0.541237514 delgbn24h
SCO0332 0.040158285 0.85623815 delgbn24h
SCO0333 -0.076047093 0.704782501 delgbn24h
SCO0334 -0.003016767 1 delgbn24h
SCO0335 0.046594455 0.840724949 delgbn24h
SCO0336 -0.048818712 0.790292084 delgbn24h
SCO0337 0.130223456 0.482863334 delgbn24h
SCO0338 -0.033076176 0.892134966 delgbn24h
SCO0339 -0.016062914 0.941216934 delgbn24h
SCO0340 -0.080436409 0.689713408 delgbn24h
SCO0341 0.057629326 0.615475599 delgbn24h
SCO0342 0.08963064 0.546295203 delgbn24h
SCO0343 -0.021699648 1 delgbn24h
SCO0344 -0.032491593 0.895815895 delgbn24h
