gene	MvsTFC	MvsTpval	MvsLFC	MvsLpval	MvsSFC	MvsSpval	TvsLFC	TvsLpval	TvsSFC	TvsSpval	LvsSFC	LvsSpval
SCO2019	1,62	3,E-01	1,05	9,E-01	2,54	1,E-02	0,65	2,E-01	1,56	1,E-01	2,41	5,E-03
SCO2020	1,61	2,E-02	1,39	9,E-02	2,15	3,E-04	0,86	6,E-01	1,34	2,E-01	1,55	5,E-02
SCO2021	1,56	3,E-02	3,29	5,E-08	6,06	4,E-16	2,11	6,E-04	3,88	1,E-10	1,84	2,E-03
SCO2023	0,80	3,E-01	0,19	2,E-09	0,12	3,E-14	0,24	3,E-07	0,15	1,E-11	0,61	8,E-02
SCO2024	0,81	3,E-01	0,26	3,E-10	0,20	2,E-13	0,32	2,E-07	0,25	2,E-10	0,79	3,E-01
SCO2026	0,54	3,E-02	1,50	3,E-01	0,62	9,E-02	2,78	1,E-03	1,15	6,E-01	0,42	5,E-03
SCO2027	0,72	5,E-01	5,51	4,E-05	0,98	9,E-01	7,66	2,E-06	1,36	5,E-01	0,18	4,E-05
SCO2035	1,36	2,E-01	11,99	2,E-25	3,44	7,E-08	8,84	7,E-22	2,54	2,E-05	0,29	4,E-09
SCO2036	1,42	1,E-01	2,80	5,E-05	0,99	9,E-01	1,97	1,E-02	0,70	2,E-01	0,36	6,E-05
SCO2037	1,30	1,E-01	2,34	1,E-05	0,95	9,E-01	1,81	3,E-03	0,74	1,E-01	0,41	5,E-06
SCO2039	0,76	2,E-01	0,57	7,E-03	0,41	2,E-05	0,75	1,E-01	0,54	2,E-03	0,72	1,E-01
SCO2040	0,86	4,E-01	0,49	3,E-04	0,27	4,E-10	0,57	5,E-03	0,32	4,E-08	0,56	7,E-03
SCO2051	0,74	2,E-01	0,52	1,E-03	0,43	6,E-05	0,70	7,E-02	0,59	7,E-03	0,84	4,E-01
SCO2055	2,44	2,E-04	9,75	5,E-21	38,56	8,E-46	3,99	2,E-10	15,79	1,E-33	3,95	8,E-11
SCO2056	1,26	4,E-01	0,63	1,E-01	1,56	1,E-01	0,50	2,E-02	1,24	4,E-01	2,47	2,E-03
SCO2057	0,80	2,E-01	0,56	3,E-03	0,38	2,E-06	0,70	9,E-02	0,48	4,E-04	0,69	7,E-02
SCO2058	0,75	2,E-01	0,49	7,E-04	0,38	5,E-06	0,65	4,E-02	0,50	1,E-03	0,77	2,E-01
SCO2059	0,87	5,E-01	0,44	6,E-05	0,31	1,E-08	0,51	8,E-04	0,36	3,E-07	0,70	8,E-02
SCO2060	0,75	1,E-01	0,41	8,E-06	0,32	2,E-08	0,55	3,E-03	0,43	2,E-05	0,78	2,E-01
SCO2061	0,68	4,E-02	0,43	2,E-05	0,33	2,E-08	0,63	2,E-02	0,48	3,E-04	0,77	2,E-01
SCO2062	1,49	5,E-02	2,50	2,E-05	1,59	3,E-02	1,68	2,E-02	1,07	8,E-01	0,63	3,E-02
SCO2065	0,99	9,E-01	2,24	8,E-05	2,90	2,E-07	2,26	6,E-05	2,92	6,E-08	1,29	2,E-01
SCO2067	0,70	4,E-02	1,41	1,E-01	1,63	2,E-02	2,00	7,E-04	2,32	2,E-05	1,16	4,E-01
SCO2068	1,13	7,E-01	7,50	2,E-20	19,77	5,E-39	6,64	2,E-19	17,51	1,E-39	2,64	4,E-07
SCO2071	0,66	4,E-02	0,37	4,E-06	0,24	3,E-11	0,57	9,E-03	0,37	2,E-06	0,65	3,E-02
SCO2072	0,57	8,E-03	0,40	2,E-05	0,33	1,E-07	0,70	9,E-02	0,57	7,E-03	0,81	3,E-01
SCO2073	0,67	4,E-02	0,50	4,E-04	0,38	1,E-06	0,75	1,E-01	0,57	4,E-03	0,76	2,E-01
SCO2075	1,96	2,E-02	1,66	6,E-02	2,10	1,E-02	0,85	7,E-01	1,07	9,E-01	1,26	5,E-01
SCO2076	0,77	2,E-01	0,70	7,E-02	0,43	4,E-05	0,90	6,E-01	0,56	3,E-03	0,63	2,E-02
SCO2077	0,81	3,E-01	1,30	2,E-01	1,76	4,E-03	1,60	2,E-02	2,17	6,E-05	1,35	1,E-01
SCO2079	1,25	2,E-01	2,21	4,E-05	3,29	2,E-09	1,77	3,E-03	2,64	6,E-07	1,49	5,E-02
SCO2085	0,96	8,E-01	0,59	8,E-03	0,38	2,E-06	0,62	2,E-02	0,40	4,E-06	0,65	3,E-02
SCO2086	0,81	3,E-01	0,49	3,E-04	0,30	1,E-09	0,61	1,E-02	0,37	4,E-07	0,60	1,E-02
SCO2087	0,89	5,E-01	0,57	4,E-03	0,37	5,E-07	0,64	3,E-02	0,42	8,E-06	0,65	2,E-02
SCO2088	0,81	3,E-01	0,51	6,E-04	0,35	1,E-07	0,63	2,E-02	0,44	2,E-05	0,70	5,E-02
SCO2089	0,75	1,E-01	0,48	2,E-04	0,42	7,E-06	0,65	3,E-02	0,57	3,E-03	0,87	5,E-01
SCO2090	0,96	9,E-01	0,70	9,E-02	0,44	6,E-05	0,73	1,E-01	0,46	1,E-04	0,63	2,E-02
SCO2091	0,69	9,E-02	0,41	2,E-05	0,27	2,E-09	0,59	1,E-02	0,39	8,E-06	0,66	6,E-02
SCO2092	0,65	4,E-02	0,41	2,E-05	0,20	2,E-14	0,63	3,E-02	0,31	9,E-09	0,49	4,E-04
SCO2093	1,03	1,E+00	1,95	1,E-03	0,61	1,E-02	1,90	1,E-03	0,60	9,E-03	0,31	9,E-09
SCO2097	1,39	8,E-02	1,74	4,E-03	2,46	4,E-06	1,25	2,E-01	1,77	3,E-03	1,42	7,E-02
SCO2099	1,50	3,E-01	1,48	3,E-01	28,31	3,E-26	0,98	1,E+00	18,85	1,E-25	19,14	4,E-23
SCO2100	0,93	8,E-01	0,62	3,E-02	0,44	3,E-04	0,66	6,E-02	0,47	6,E-04	0,71	1,E-01
SCO2101	0,93	8,E-01	0,51	1,E-03	0,26	1,E-10	0,55	3,E-03	0,28	4,E-10	0,50	7,E-04
SCO2102	1,32	2,E-01	1,25	2,E-01	2,02	5,E-04	0,95	8,E-01	1,53	3,E-02	1,61	2,E-02
SCO2104	0,75	2,E-01	0,40	8,E-06	0,64	3,E-02	0,53	2,E-03	0,85	4,E-01	1,60	2,E-02
SCO2106	1,09	6,E-01	0,69	9,E-02	0,41	4,E-05	0,64	3,E-02	0,38	3,E-06	0,60	1,E-02
SCO2107	0,58	2,E-02	0,48	2,E-03	0,27	5,E-08	0,83	5,E-01	0,46	2,E-03	0,56	2,E-02
SCO2109	0,62	5,E-02	0,51	8,E-03	0,23	1,E-08	0,82	5,E-01	0,37	9,E-05	0,44	2,E-03
SCO2111	0,78	2,E-01	0,38	2,E-06	0,23	5,E-12	0,48	5,E-04	0,29	8,E-09	0,60	2,E-02
SCO2112	0,82	4,E-01	0,46	2,E-04	0,42	2,E-05	0,56	5,E-03	0,51	8,E-04	0,91	6,E-01
SCO2113	1,40	2,E-01	31,20	1,E-31	5,17	4,E-10	22,35	2,E-28	3,70	2,E-07	0,17	3,E-12
SCO2114	0,87	4,E-01	0,20	2,E-14	0,66	3,E-02	0,22	6,E-12	0,76	2,E-01	3,37	1,E-08
SCO2116	1,36	3,E-01	0,67	2,E-01	0,36	1,E-03	0,49	2,E-02	0,26	3,E-05	0,54	5,E-02
SCO2118	1,53	8,E-02	1,58	5,E-02	2,81	2,E-05	1,03	8,E-01	1,83	8,E-03	1,78	2,E-02
SCO2119	1,15	4,E-01	0,83	5,E-01	2,09	2,E-04	0,72	1,E-01	1,82	3,E-03	2,51	1,E-05
SCO2121	0,92	8,E-01	0,61	2,E-02	0,42	3,E-05	0,67	5,E-02	0,46	8,E-05	0,69	5,E-02
SCO2122	0,92	8,E-01	0,51	1,E-03	0,38	3,E-06	0,56	3,E-03	0,42	9,E-06	0,75	1,E-01
SCO2125	0,83	4,E-01	0,64	3,E-02	0,41	2,E-05	0,78	2,E-01	0,50	6,E-04	0,64	3,E-02
SCO2127	1,17	3,E-01	1,45	4,E-02	2,03	2,E-04	1,24	3,E-01	1,74	5,E-03	1,40	9,E-02
SCO2128	0,98	9,E-01	0,51	2,E-02	0,47	8,E-03	0,52	1,E-02	0,49	6,E-03	0,94	8,E-01
SCO2129	1,50	3,E-02	1,00	9,E-01	0,73	2,E-01	0,67	5,E-02	0,49	3,E-04	0,73	1,E-01
SCO2131	0,68	4,E-02	0,47	1,E-04	0,47	9,E-05	0,69	8,E-02	0,69	6,E-02	1,01	9,E-01
SCO2132	1,25	2,E-01	0,65	4,E-02	0,36	1,E-06	0,52	1,E-03	0,29	1,E-09	0,56	4,E-03
SCO2134	0,90	7,E-01	0,51	2,E-03	0,34	9,E-07	0,57	8,E-03	0,38	5,E-06	0,67	6,E-02
SCO2135	0,49	1,E-03	0,57	1,E-02	0,44	2,E-04	1,15	5,E-01	0,88	6,E-01	0,77	2,E-01
SCO2136	0,97	9,E-01	0,40	3,E-06	0,35	1,E-07	0,41	5,E-06	0,36	2,E-07	0,88	5,E-01
SCO2137	0,75	2,E-01	0,63	2,E-02	0,43	3,E-05	0,84	4,E-01	0,57	5,E-03	0,67	5,E-02
SCO2139	0,58	5,E-02	0,44	3,E-03	0,65	1,E-01	0,75	3,E-01	1,12	7,E-01	1,49	2,E-01
SCO2141	1,59	2,E-02	0,91	8,E-01	0,55	7,E-03	0,57	7,E-03	0,35	3,E-07	0,60	1,E-02
SCO2142	1,01	8,E-01	0,50	2,E-02	0,34	1,E-04	0,50	7,E-03	0,34	4,E-05	0,68	2,E-01
SCO2143	1,03	8,E-01	0,55	3,E-02	0,49	9,E-03	0,54	2,E-02	0,48	3,E-03	0,89	6,E-01
SCO2144	0,48	1,E-02	0,38	2,E-03	0,43	6,E-03	0,79	5,E-01	0,89	8,E-01	1,14	7,E-01
SCO2146	0,18	4,E-05	0,35	1,E-02	1,46	4,E-01	1,90	1,E-01	8,03	7,E-07	4,22	6,E-04
SCO2148	0,88	6,E-01	0,54	2,E-03	0,28	2,E-10	0,61	1,E-02	0,31	4,E-09	0,52	7,E-04
SCO2149	0,86	5,E-01	0,49	4,E-04	0,28	5,E-10	0,57	4,E-03	0,33	2,E-08	0,58	5,E-03
SCO2150	0,87	6,E-01	0,45	5,E-05	0,29	9,E-10	0,51	6,E-04	0,33	2,E-08	0,65	3,E-02
SCO2151	0,96	9,E-01	0,44	3,E-05	0,25	3,E-12	0,45	7,E-05	0,26	6,E-12	0,56	3,E-03
SCO2152	3,17	4,E-09	3,97	3,E-12	6,83	1,E-20	1,25	2,E-01	2,15	9,E-05	1,72	6,E-03
SCO2153	0,71	1,E-01	0,56	1,E-02	0,31	5,E-07	0,79	3,E-01	0,44	3,E-04	0,56	9,E-03
SCO2154	0,80	3,E-01	0,52	7,E-04	0,27	8,E-11	0,64	2,E-02	0,33	3,E-08	0,52	1,E-03
SCO2155	0,85	5,E-01	0,50	4,E-04	0,29	1,E-09	0,58	5,E-03	0,34	6,E-08	0,59	8,E-03
SCO2156	0,85	4,E-01	0,48	2,E-04	0,29	6,E-10	0,57	3,E-03	0,34	4,E-08	0,60	9,E-03
SCO2157	1,09	6,E-01	0,56	5,E-03	0,35	5,E-07	0,52	1,E-03	0,32	3,E-08	0,63	2,E-02
SCO2159	2,32	5,E-02	1,86	1,E-01	1,10	8,E-01	0,80	6,E-01	0,48	9,E-02	0,60	2,E-01
SCO2162	1,15	3,E-01	1,55	2,E-02	2,27	1,E-05	1,35	2,E-01	1,97	4,E-04	1,46	4,E-02
SCO2164	0,52	1,E-03	4,52	1,E-13	1,08	7,E-01	8,66	8,E-25	2,08	2,E-04	0,24	8,E-13
SCO2168	1,26	2,E-01	1,85	9,E-04	2,14	6,E-05	1,47	5,E-02	1,70	6,E-03	1,16	5,E-01
SCO2169	0,62	1,E-02	0,41	3,E-06	0,38	4,E-07	0,66	3,E-02	0,61	9,E-03	0,92	7,E-01
SCO2170	0,49	3,E-04	0,29	4,E-10	0,15	6,E-20	0,58	6,E-03	0,30	3,E-09	0,52	1,E-03
SCO2171	0,33	8,E-06	0,18	5,E-11	0,06	1,E-23	0,56	2,E-02	0,18	2,E-10	0,32	3,E-05
SCO2172	2,45	3,E-06	2,62	6,E-07	2,08	9,E-05	1,07	7,E-01	0,85	4,E-01	0,80	2,E-01
SCO2173	0,79	4,E-01	0,48	2,E-03	0,33	3,E-06	0,61	3,E-02	0,42	1,E-04	0,69	1,E-01
SCO2175	0,87	5,E-01	0,84	4,E-01	0,47	1,E-04	0,97	9,E-01	0,54	1,E-03	0,55	3,E-03
SCO2176	0,55	1,E-02	0,32	1,E-05	0,17	2,E-10	0,58	5,E-02	0,31	4,E-05	0,53	4,E-02
SCO2177	0,58	3,E-02	0,54	2,E-02	0,33	3,E-05	0,93	8,E-01	0,57	3,E-02	0,61	7,E-02
SCO2178	0,75	2,E-01	0,69	8,E-02	0,41	3,E-05	0,92	7,E-01	0,55	4,E-03	0,59	2,E-02
SCO2179	0,85	4,E-01	0,66	3,E-02	0,31	8,E-09	0,78	2,E-01	0,37	4,E-07	0,48	2,E-04
SCO2183	0,49	3,E-02	0,55	5,E-02	0,30	1,E-04	1,13	8,E-01	0,61	1,E-01	0,54	6,E-02
SCO2184	0,68	7,E-02	0,55	4,E-03	0,46	3,E-04	0,80	3,E-01	0,68	6,E-02	0,85	5,E-01
SCO2186	1,61	9,E-02	2,20	4,E-03	3,81	1,E-06	1,36	2,E-01	2,36	7,E-04	1,73	3,E-02
SCO2187	0,61	2,E-01	0,75	4,E-01	1,36	3,E-01	1,22	6,E-01	2,22	1,E-02	1,81	6,E-02
SCO2188	0,36	2,E-05	2,16	7,E-04	2,99	2,E-06	6,04	7,E-14	8,37	5,E-19	1,39	1,E-01
SCO2191	3,34	1,E-06	2,80	3,E-05	2,91	2,E-05	0,84	5,E-01	0,87	6,E-01	1,04	9,E-01
SCO2192	3,29	2,E-06	43,24	5,E-48	35,02	1,E-43	13,15	1,E-30	10,65	5,E-27	0,81	3,E-01
SCO2195	1,70	3,E-01	4,65	5,E-03	25,43	1,E-07	2,74	6,E-02	14,96	3,E-06	5,47	2,E-03
SCO2196	0,92	8,E-01	0,77	4,E-01	1,82	5,E-02	0,83	5,E-01	1,97	2,E-02	2,37	4,E-03
SCO2198	1,27	2,E-01	0,55	3,E-03	1,52	3,E-02	0,43	3,E-05	1,19	3,E-01	2,76	2,E-07
SCO2199	1,18	4,E-01	0,37	2,E-06	0,52	2,E-03	0,31	3,E-08	0,44	5,E-05	1,41	9,E-02
SCO2200	1,18	4,E-01	2,39	4,E-04	2,84	1,E-05	2,03	5,E-03	2,42	2,E-04	1,19	4,E-01
SCO2204	1,30	1,E-01	1,34	1,E-01	5,36	2,E-15	1,02	9,E-01	4,11	8,E-12	4,01	2,E-11
SCO2205	1,23	2,E-01	0,46	8,E-04	21,34	3,E-41	0,37	6,E-06	17,39	1,E-38	46,82	2,E-57
SCO2207	1,07	9,E-01	0,97	9,E-01	20,45	9,E-08	0,91	8,E-01	19,14	6,E-08	21,14	3,E-08
SCO2208	1,00	1,E+00	0,87	7,E-01	6,75	1,E-08	0,87	7,E-01	6,77	4,E-09	7,78	5,E-10
SCO2209	0,63	5,E-02	1,04	1,E+00	5,50	2,E-12	1,66	4,E-02	8,77	1,E-19	5,29	1,E-12
SCO2210	1,09	1,E+00	0,33	5,E-01	13,71	1,E-01	0,31	5,E-01	12,58	1,E-01	41,00	5,E-02
SCO2211	1,02	1,E+00	0,47	5,E-01	6,61	1,E-01	0,46	5,E-01	6,44	1,E-01	13,97	3,E-02
SCO2212	1,70	1,E-01	0,82	6,E-01	2,63	4,E-03	0,48	3,E-02	1,55	1,E-01	3,22	4,E-04
SCO2213	2,84	1,E-02	0,47	1,E-01	3,90	1,E-03	0,17	8,E-05	1,37	4,E-01	8,24	3,E-06
SCO2214	2,30	5,E-04	0,91	6,E-01	1,35	2,E-01	0,40	6,E-05	0,59	2,E-02	1,48	8,E-02
SCO2217	0,95	7,E-01	3,69	2,E-09	298,01	8,E-97	3,89	1,E-10	313,93	3,E-105	80,66	1,E-73
SCO2218	1,19	7,E-01	11,49	4,E-08	414,56	2,E-64	9,67	4,E-08	348,73	9,E-71	36,07	2,E-43
SCO2219	1,44	9,E-02	1,48	7,E-02	2,23	2,E-04	1,03	9,E-01	1,55	3,E-02	1,51	5,E-02
SCO2220	1,25	2,E-01	6,46	5,E-18	4,15	1,E-11	5,16	1,E-14	3,32	5,E-09	0,64	3,E-02
SCO2223	0,90	6,E-01	0,21	2,E-11	0,16	3,E-15	0,23	4,E-10	0,18	6,E-14	0,75	3,E-01
SCO2224	0,93	7,E-01	0,31	2,E-07	0,12	4,E-17	0,33	1,E-06	0,13	4,E-16	0,39	6,E-04
SCO2227	1,32	4,E-01	1,49	2,E-01	2,48	2,E-03	1,13	7,E-01	1,88	2,E-02	1,67	7,E-02
SCO2228	1,44	3,E-01	2,26	2,E-02	5,17	2,E-06	1,57	2,E-01	3,59	1,E-04	2,28	1,E-02
SCO2229	1,60	9,E-02	2,39	7,E-04	6,13	6,E-13	1,49	9,E-02	3,82	6,E-09	2,56	3,E-05
SCO2230	1,49	2,E-01	2,08	2,E-03	5,65	4,E-14	1,40	1,E-01	3,80	1,E-10	2,71	1,E-06
SCO2231	1,90	4,E-03	2,37	9,E-05	7,42	4,E-19	1,25	3,E-01	3,91	4,E-11	3,13	2,E-08
SCO2235	1,22	3,E-01	2,37	2,E-05	2,75	8,E-07	1,94	8,E-04	2,26	5,E-05	1,16	5,E-01
SCO2236	1,45	6,E-02	3,01	6,E-08	3,07	5,E-08	2,08	3,E-04	2,12	2,E-04	1,02	1,E+00
SCO2237	1,51	2,E-02	3,00	2,E-08	4,56	1,E-13	1,99	5,E-04	3,02	3,E-08	1,52	4,E-02
SCO2241	1,32	4,E-01	0,96	1,E+00	2,06	3,E-02	0,73	4,E-01	1,56	2,E-01	2,14	3,E-02
SCO2243	0,72	1,E-01	0,61	1,E-02	0,42	3,E-05	0,84	4,E-01	0,58	8,E-03	0,69	8,E-02
SCO2244	1,32	2,E-01	1,46	8,E-02	2,25	2,E-04	1,11	6,E-01	1,70	9,E-03	1,53	4,E-02
SCO2245	2,63	6,E-03	5,02	2,E-06	8,35	1,E-09	1,91	3,E-02	3,17	2,E-04	1,66	1,E-01
SCO2246	1,41	2,E-01	3,59	7,E-07	3,35	3,E-06	2,54	1,E-04	2,37	4,E-04	0,93	7,E-01
SCO2248	0,84	6,E-01	2,64	3,E-03	1,08	1,E+00	3,14	3,E-04	1,28	5,E-01	0,41	3,E-03
SCO2250	1,93	1,E-02	10,15	6,E-18	13,38	4,E-21	5,27	2,E-11	6,95	2,E-14	1,32	3,E-01
SCO2251	1,82	3,E-02	7,94	9,E-17	11,03	1,E-21	4,36	6,E-11	6,05	1,E-15	1,39	1,E-01
SCO2252	1,10	5,E-01	1,90	2,E-03	2,51	7,E-06	1,73	1,E-02	2,29	6,E-05	1,32	2,E-01
SCO2253	0,53	2,E-03	1,09	6,E-01	1,07	7,E-01	2,07	3,E-04	2,03	4,E-04	0,98	9,E-01
SCO2254	0,45	7,E-05	0,16	3,E-17	0,07	5,E-31	0,36	2,E-06	0,15	7,E-17	0,42	2,E-04
SCO2256	0,38	2,E-02	0,43	5,E-02	1,26	8,E-01	1,15	8,E-01	3,35	1,E-02	2,92	2,E-02
SCO2257	1,36	2,E-01	1,33	2,E-01	2,51	2,E-05	0,98	9,E-01	1,85	2,E-03	1,88	2,E-03
SCO2258	1,39	2,E-01	1,46	1,E-01	2,25	7,E-04	1,05	8,E-01	1,62	3,E-02	1,54	4,E-02
SCO2261	1,08	7,E-01	0,98	9,E-01	0,50	2,E-03	0,90	6,E-01	0,46	4,E-04	0,52	2,E-03
SCO2262	1,35	1,E-01	1,18	4,E-01	0,64	4,E-02	0,87	4,E-01	0,47	2,E-04	0,54	3,E-03
SCO2263	1,16	7,E-01	10,36	8,E-19	6,80	4,E-13	8,92	1,E-18	5,85	6,E-13	0,66	5,E-02
SCO2264	0,63	8,E-02	0,46	9,E-03	0,43	3,E-03	0,73	4,E-01	0,68	2,E-01	0,93	8,E-01
SCO2265	1,24	2,E-01	1,30	2,E-01	3,00	7,E-07	1,04	9,E-01	2,41	6,E-05	2,31	2,E-04
SCO2267	1,14	7,E-01	1,47	1,E-01	5,82	2,E-13	1,29	3,E-01	5,12	7,E-13	3,95	1,E-09
SCO2269	0,68	2,E-01	0,32	3,E-05	0,38	3,E-04	0,47	5,E-03	0,55	2,E-02	1,16	6,E-01
SCO2270	0,65	2,E-01	0,10	4,E-12	0,94	1,E+00	0,16	1,E-08	1,45	2,E-01	9,29	4,E-12
SCO2271	0,77	3,E-01	0,15	5,E-09	1,64	6,E-02	0,20	8,E-07	2,13	2,E-03	10,74	3,E-14
SCO2272	0,79	3,E-01	0,16	2,E-09	1,21	5,E-01	0,20	2,E-07	1,54	8,E-02	7,76	2,E-11
SCO2273	0,64	2,E-01	0,15	7,E-07	0,84	6,E-01	0,23	2,E-04	1,32	4,E-01	5,68	5,E-06
SCO2275	0,94	7,E-01	0,18	1,E-05	0,56	8,E-02	0,19	5,E-05	0,60	2,E-01	3,12	4,E-03
SCO2276	0,96	8,E-01	0,14	2,E-06	0,47	4,E-02	0,14	7,E-06	0,49	8,E-02	3,46	3,E-03
SCO2277	1,07	9,E-01	0,19	3,E-09	0,74	2,E-01	0,18	1,E-09	0,69	2,E-01	3,84	1,E-06
SCO2281	0,77	2,E-01	0,49	8,E-04	0,45	2,E-04	0,64	3,E-02	0,58	9,E-03	0,91	7,E-01
SCO2282	0,68	7,E-02	0,57	8,E-03	0,48	6,E-04	0,84	4,E-01	0,72	1,E-01	0,85	4,E-01
SCO2283	0,56	6,E-03	0,23	4,E-12	0,22	2,E-12	0,41	2,E-05	0,40	7,E-06	0,96	1,E+00
SCO2284	0,69	8,E-02	0,34	9,E-08	0,41	2,E-05	0,48	3,E-04	0,60	9,E-03	1,23	3,E-01
SCO2286	4,10	5,E-02	104,85	7,E-09	206,43	1,E-10	25,60	4,E-06	50,39	5,E-08	1,97	2,E-01
SCO2289	0,39	5,E-03	0,39	7,E-03	0,10	7,E-08	1,00	1,E+00	0,27	5,E-03	0,27	7,E-03
SCO2293	0,87	5,E-01	1,11	7,E-01	0,53	1,E-03	1,27	3,E-01	0,60	9,E-03	0,47	2,E-04
SCO2294	2,72	2,E-03	1,50	3,E-01	1,38	3,E-01	0,55	5,E-02	0,51	2,E-02	0,92	9,E-01
SCO2295	1,43	1,E-01	1,23	4,E-01	0,71	2,E-01	0,86	5,E-01	0,50	5,E-03	0,58	3,E-02
SCO2297	0,88	6,E-01	0,55	5,E-03	0,30	3,E-08	0,63	2,E-02	0,35	3,E-07	0,55	4,E-03
SCO2298	0,73	1,E-01	0,44	8,E-05	0,11	4,E-23	0,61	2,E-02	0,14	4,E-18	0,24	1,E-10
SCO2299	0,67	5,E-02	0,37	4,E-07	0,21	2,E-14	0,55	2,E-03	0,31	5,E-09	0,57	5,E-03
SCO2300	0,81	3,E-01	0,55	2,E-03	0,36	4,E-07	0,68	5,E-02	0,45	6,E-05	0,67	4,E-02
SCO2301	0,72	9,E-02	0,48	2,E-04	0,37	5,E-07	0,66	4,E-02	0,51	6,E-04	0,77	2,E-01
SCO2302	4,24	2,E-08	209,13	1,E-82	169,33	3,E-78	49,34	1,E-60	39,95	5,E-57	0,81	3,E-01
SCO2305	0,64	1,E-01	0,47	2,E-02	0,29	2,E-04	0,73	4,E-01	0,45	3,E-02	0,62	2,E-01
SCO2306	0,60	2,E-01	0,42	4,E-02	0,35	9,E-03	0,70	5,E-01	0,58	2,E-01	0,83	6,E-01
SCO2310	0,40	2,E-01	1,99	4,E-01	2,40	3,E-01	5,01	4,E-02	6,05	2,E-02	1,21	7,E-01
SCO2311	1,29	3,E-01	10,04	4,E-25	9,87	1,E-24	7,76	6,E-22	7,62	5,E-22	0,98	9,E-01
SCO2312	0,92	6,E-01	1,76	9,E-03	2,02	1,E-03	1,92	2,E-03	2,20	1,E-04	1,14	5,E-01
SCO2316	0,82	5,E-01	0,63	5,E-02	0,28	6,E-09	0,77	2,E-01	0,34	2,E-07	0,44	6,E-05
SCO2317	0,88	9,E-01	0,77	5,E-01	0,41	3,E-03	0,87	6,E-01	0,47	4,E-03	0,54	2,E-02
SCO2318	0,90	8,E-01	0,62	4,E-02	0,43	1,E-04	0,69	8,E-02	0,48	3,E-04	0,70	7,E-02
SCO2319	0,51	4,E-03	0,35	7,E-06	0,28	2,E-08	0,70	1,E-01	0,54	4,E-03	0,78	2,E-01
SCO2320	0,83	4,E-01	0,53	5,E-03	0,21	2,E-10	0,64	5,E-02	0,25	2,E-08	0,40	2,E-04
SCO2321	0,65	3,E-02	0,64	2,E-02	0,32	1,E-08	1,00	1,E+00	0,50	4,E-04	0,50	4,E-04
SCO2322	0,59	9,E-03	0,57	5,E-03	0,22	2,E-13	0,97	9,E-01	0,37	7,E-07	0,38	2,E-06
SCO2323	0,67	6,E-02	0,50	6,E-04	0,26	1,E-10	0,74	1,E-01	0,38	3,E-06	0,52	2,E-03
SCO2324	0,72	1,E-01	0,39	3,E-06	0,22	9,E-13	0,54	2,E-03	0,31	9,E-09	0,57	8,E-03
SCO2325	0,63	3,E-02	0,34	3,E-07	0,16	1,E-16	0,54	3,E-03	0,25	2,E-10	0,46	6,E-04
SCO2326	0,43	6,E-03	0,45	1,E-02	0,33	5,E-04	1,07	9,E-01	0,77	5,E-01	0,72	4,E-01
SCO2331	0,90	7,E-01	0,59	3,E-02	0,47	2,E-03	0,66	8,E-02	0,53	5,E-03	0,80	3,E-01
SCO2332	0,85	4,E-01	0,65	5,E-02	0,40	9,E-05	0,76	2,E-01	0,47	2,E-03	0,63	6,E-02
SCO2334	0,51	3,E-03	0,17	9,E-13	0,12	4,E-17	0,34	8,E-06	0,23	4,E-09	0,68	2,E-01
SCO2336	0,27	3,E-05	0,27	4,E-05	0,11	1,E-10	0,99	1,E+00	0,39	9,E-03	0,40	1,E-02
SCO2339	1,81	8,E-03	5,56	7,E-15	5,38	3,E-14	3,08	6,E-08	2,97	1,E-07	0,97	8,E-01
SCO2341	0,85	7,E-01	1,86	1,E-02	1,23	3,E-01	2,20	4,E-03	1,46	1,E-01	0,66	1,E-01
SCO2342	0,88	8,E-01	2,26	3,E-05	1,41	5,E-02	2,57	7,E-06	1,60	2,E-02	0,62	2,E-02
SCO2345	0,90	6,E-01	0,84	4,E-01	0,36	5,E-07	0,93	7,E-01	0,40	5,E-06	0,43	3,E-05
SCO2346	0,90	1,E+00	0,06	5,E-06	0,01	2,E-10	0,07	6,E-06	0,01	2,E-10	0,21	7,E-03
SCO2347	0,56	2,E-03	0,33	6,E-08	0,28	1,E-09	0,59	1,E-02	0,51	1,E-03	0,85	5,E-01
SCO2348	4,98	8,E-04	139,19	5,E-19	234,84	7,E-22	27,93	4,E-12	47,12	2,E-15	1,69	2,E-01
SCO2349	1,35	1,E-01	4,18	5,E-12	5,20	3,E-15	3,11	3,E-08	3,86	2,E-11	1,24	2,E-01
SCO2351	0,51	1,E-02	0,43	2,E-03	0,36	2,E-04	0,84	5,E-01	0,70	2,E-01	0,84	6,E-01
SCO2352	1,63	3,E-02	1,93	3,E-03	6,29	2,E-15	1,19	4,E-01	3,86	5,E-10	3,25	1,E-07
SCO2353	1,13	6,E-01	1,34	2,E-01	4,25	4,E-11	1,19	4,E-01	3,76	3,E-10	3,17	5,E-08
SCO2354	0,73	2,E-01	0,51	1,E-02	2,13	2,E-03	0,70	2,E-01	2,92	4,E-06	4,15	2,E-08
SCO2355	0,77	7,E-01	0,94	1,E+00	1,55	1,E-01	1,23	6,E-01	2,02	4,E-02	1,65	2,E-01
