gene	logFC	FDR	add_variable
vnz_00140	-7.6593661583951	6.74921560653653e-11	wt13-wt20
vnz_33650	-10.5529393344931	7.06150858324675e-11	wt13-wt20
vnz_32920	-4.98607754577858	7.1508147622929e-11	wt13-wt20
vnz_23440	4.11830566359671	7.63798920643775e-11	wt13-wt20
vnz_32425	-5.58074106175753	7.86827000822398e-11	wt13-wt20
vnz_00795	5.55574715588983	7.86827000822398e-11	wt13-wt20
vnz_07145	-5.26079452963056	7.86827000822398e-11	wt13-wt20
vnz_06645	-8.01872220901685	8.19812524778637e-11	wt13-wt20
vnz_20990	5.62332795304907	8.44045074480002e-11	wt13-wt20
vnz_12875	-5.91926065763056	8.54954871830291e-11	wt13-wt20
vnz_01015	-5.12376543355884	8.57556171784981e-11	wt13-wt20
vnz_11000	-6.66881102902081	1.02368834214483e-10	wt13-wt20
vnz_04470	-4.16743848089622	1.03924879620176e-10	wt13-wt20
vnz_28890	7.22794522231729	1.03924879620176e-10	wt13-wt20
vnz_12810	-6.38450855078388	1.074769718213e-10	wt13-wt20
vnz_07365	-7.72595729747425	1.11299539100916e-10	wt13-wt20
vnz_16405	-4.16649393706129	1.12436757656647e-10	wt13-wt20
vnz_01275	-5.00550022239432	1.20258332813181e-10	wt13-wt20
vnz_00135	-5.87948690054681	1.24603639360127e-10	wt13-wt20
vnz_33580	-3.52200622787673	1.36242179758885e-10	wt13-wt20
vnz_19110	-4.04129310370275	1.36970564096505e-10	wt13-wt20
vnz_13030	-6.84181697202466	1.40402888851527e-10	wt13-wt20
vnz_14625	-4.87098630612774	1.44135390954441e-10	wt13-wt20
vnz_27240	-5.93409272377814	1.5002063027229e-10	wt13-wt20
vnz_16410	-6.57985265904004	1.56599622685485e-10	wt13-wt20
vnz_12705	-4.56822228719751	1.60435178474227e-10	wt13-wt20
vnz_35855	-4.12663693373209	1.65465873121929e-10	wt13-wt20
vnz_09465	-4.91127893287313	1.65465873121929e-10	wt13-wt20
vnz_32210	-7.85015914830123	1.70643314618201e-10	wt13-wt20
vnz_16835	-3.92887652900383	1.91249188584925e-10	wt13-wt20
vnz_33575	-7.90394025721299	1.93359260116117e-10	wt13-wt20
vnz_23560	-7.85394003657333	2.01570253913495e-10	wt13-wt20
vnz_32915	-5.28542379037003	2.11665320574972e-10	wt13-wt20
vnz_14775	-6.05237441483891	2.47887678046236e-10	wt13-wt20
vnz_30370	-6.66757768423967	2.50346346793191e-10	wt13-wt20
vnz_13185	-4.62595394448411	2.53097739912867e-10	wt13-wt20
vnz_23000	-4.0681898967991	2.78555703502013e-10	wt13-wt20
vnz_15275	-3.87517930359078	2.79546967134114e-10	wt13-wt20
vnz_12670	-6.20348192957771	2.84825715211418e-10	wt13-wt20
vnz_17295	-4.54324387729143	3.03543555817738e-10	wt13-wt20
vnz_28860	4.86929983044653	3.03543555817738e-10	wt13-wt20
vnz_33520	-5.4278267580635	3.07666600375165e-10	wt13-wt20
vnz_22990	-6.75228178349854	3.19560518512598e-10	wt13-wt20
vnz_12800	-4.49957359429551	3.20885959413687e-10	wt13-wt20
vnz_17915	-5.32016994039161	3.26188887944228e-10	wt13-wt20
vnz_14440	3.64836510020203	3.41964510212099e-10	wt13-wt20
vnz_28870	5.55484145865797	3.58212523573372e-10	wt13-wt20
vnz_12755	-5.20008488146485	3.6695921979515e-10	wt13-wt20
vnz_28880	5.46291108672578	3.6695921979515e-10	wt13-wt20
vnz_32475	-5.57981677104954	3.80116093887801e-10	wt13-wt20
vnz_23480	-5.99557666886499	3.80357887522851e-10	wt13-wt20
vnz_33515	-6.03321232395176	3.88253035756173e-10	wt13-wt20
vnz_12795	-5.12920144408551	4.0727778547209e-10	wt13-wt20
vnz_36055	-6.22487068290408	4.08149424167908e-10	wt13-wt20
