gene logFC FDR add_variable
SCO3733 16.0715343402 2.712e-05 dccr1vsWT
SCO3734 5.2994320872 0.00784 dccr1vsWT
SCO3905 -5.1211207343 4.255e-05 dccr1vsWT
SCO3924 -5.9979868563 0.0008064 dccr1vsWT
SCO3956 -7.2606939988 0.0001609 dccr1vsWT
SCO3957 -7.3633546108 0.000101 dccr1vsWT
SCO3958 -7.2467444998 0.0001085 dccr1vsWT
SCO3959 -5.7296670801 0.0001252 dccr1vsWT
SCO4005 -18.7098758844 2.611e-08 dccr1vsWT
SCO4040 -5.2050953588 0.001893 dccr1vsWT
SCO4096 5.8062022202 0.001482 dccr1vsWT
SCO4164 7.245691596 8.74e-06 dccr1vsWT
SCO4187 -6.6520723439 0.000713 dccr1vsWT
SCO4189 -10.2266195793 0.0006568 dccr1vsWT
SCO4198 -6.7364125759 1.852e-05 dccr1vsWT
SCO4199 -6.2686444916 0.0003702 dccr1vsWT
SCO4227 -5.8028703131 0.0006282 dccr1vsWT
SCO4266 -13.8584456011 2.105e-08 dccr1vsWT
SCO4287 5.8489854927 0.0003565 dccr1vsWT
SCO4301 -5.6374386077 0.0001699 dccr1vsWT
SCO4317 -13.5629322107 6.544e-08 dccr1vsWT
SCO4332 -9.9814750443 2.153e-05 dccr1vsWT
SCO4388 -5.7654050503 0.0002774 dccr1vsWT
SCO4584 -6.2307053957 0.0006409 dccr1vsWT
SCO4585 -5.8186980419 0.0007109 dccr1vsWT
SCO4701 5.0025723117 0.002827 dccr1vsWT
SCO4703 5.0309926984 0.00312 dccr1vsWT
SCO4739 8.6505845769 2.553e-05 dccr1vsWT
SCO4799 -5.3754740433 0.0009217 dccr1vsWT
SCO4829 9.0665071205 3.261e-05 dccr1vsWT
SCO4831 8.2990901383 0.0003285 dccr1vsWT
SCO4885 5.8168164919 0.001819 dccr1vsWT
SCO4890 5.2197380267 0.001798 dccr1vsWT
SCO4903 -30.1989923404 1.438e-09 dccr1vsWT
SCO4916 11.6018050542 2.61e-05 dccr1vsWT
SCO4917 8.0030167342 0.0001416 dccr1vsWT
SCO4947 -5.0517068696 0.008797 dccr1vsWT
SCO4948 -7.5947646872 0.0001247 dccr1vsWT
SCO4949 -9.1016644845 1.845e-05 dccr1vsWT
SCO4950 -7.6572532351 0.0001037 dccr1vsWT
SCO5031 6.4473699335 0.000244 dccr1vsWT
SCO5032 6.920288371 0.0002142 dccr1vsWT
SCO5035 6.1143235441 0.0007185 dccr1vsWT
SCO5071 -33.6769714567 5.413e-12 dccr1vsWT
SCO5072 -55.8509056314 1.11e-16 dccr1vsWT
SCO5073 -33.0238072326 8.868e-13 dccr1vsWT
