	32hlogFC	42hlogFC	49hlogFC	56hlogFC	66hlogFC	32h	42h	49h	56h	66h
SCO1413	0,279	0,811	0,509	0,308	0,163	0,441268	0,000485	0,02122	0,325692	0,646773
SCO1415	1,002	3,04	1,923	0,302	0,088	0,301646	0,000043	0,006409	0,823012	0,960039
SCO1416	0,738	1,982	1,474	0,449	0,31	0,065973	0,000001	0,000111	0,353377	0,516822
SCO1418	-0,058	0,248	1,254	0,687	0,315	0,999071	0,632148	0,005834	0,240113	0,652199
SCO1419	0,127	-0,025	0,532	0,267	0,71	0,934714	0,945134	0,031856	0,495868	0,006863
SCO1426	-0,092	0,665	-0,884	-1,387	-1,701	0,999071	0,180178	0,056916	0,009871	0,000785
SCO1427	1,021	2,542	0,495	0,216	-0,911	0,050162	0,000002	0,266899	0,804004	0,052176
SCO1428	0,333	0,677	0,179	0,151	-0,346	0,183194	0,000655	0,359963	0,632155	0,092559
SCO1452	0,661	0,758	0,253	0,247	-0,539	0,043103	0,007414	0,381156	0,587418	0,071789
SCO1454	0,661	1,309	1,247	1,577	1,747	0,135484	0,000377	0,001049	0,000115	0,000016
SCO1455	0,15	0,082	0,535	0,668	0,87	0,911511	0,817207	0,043336	0,031435	0,002184
SCO1464	-0,105	-0,695	-0,032	-0,192	0,254	0,95081	0,002773	0,910563	0,606793	0,383538
SCO1467	-0,149	-0,422	-0,256	-0,023	0,241	0,645191	0,006411	0,08755	0,955713	0,159267
SCO1474	0,658	1,129	-0,038	0,224	-0,46	0,245629	0,006771	0,943266	0,777082	0,384558
SCO1481	1,713	2,121	2,491	2,421	2,995	0	0	0	0	0
SCO1482	1,625	1,752	2,116	2,342	2,542	0	0	0	0	0
SCO1483	2,043	3,145	2,906	2,733	3,216	0	0	0	0	0
SCO1484	2,113	3,186	2,797	2,753	3,35	0,000001	0	0	0	0
SCO1485	2,402	3,571	3,093	2,954	3,537	0,000001	0	0	0	0
SCO1486	1,952	3,199	2,96	2,795	3,23	0	0	0	0	0
SCO1487	2,409	3,742	3,35	3,246	3,438	0	0	0	0	0
SCO1488	2,309	3,981	3,225	3,326	3,35	0,000001	0	0	0	0
SCO1489	0,329	0,778	0,621	0,414	0,183	0,230407	0,000271	0,003721	0,085731	0,52466
SCO1492	0,221	0,65	0,452	0,284	-0,073	0,283592	0,00005	0,003426	0,110427	0,79906
SCO1494	-0,204	-0,383	-0,314	-0,471	0,078	0,387634	0,011919	0,035045	0,006102	0,788734
SCO1518	0,205	0,074	0,134	0,231	0,36	0,178325	0,590129	0,249677	0,098603	0,003141
SCO1523	0,143	0,703	2,072	1,122	1,572	0,999071	0,315292	0,002426	0,172143	0,019492
SCO1526	-0,213	-0,783	-0,151	-0,181	0,124	0,742326	0,002809	0,583159	0,679948	0,80731
SCO1533	-0,051	0,445	-0,403	-0,748	-1,75	0,999071	0,340677	0,35481	0,170648	0,000176
SCO1534	0,055	0,559	-0,649	-0,788	-1,775	0,999071	0,280286	0,173466	0,216464	0,000592
SCO1541	1,211	4,936	1,902	-0,01	-1,258	0,05613	0	0,00103	0,994564	0,022983
SCO1545	-0,34	-0,215	0,03	-0,21	-0,13	0,002295	0,031307	0,791856	0,07307	0,271277
SCO1547	0,182	-0,46	-0,06	0,007	0,051	0,462716	0,002303	0,718861	0,986656	0,879814
SCO1549	0,115	-0,538	0,046	-0,077	0,225	0,584245	0,000014	0,704583	0,680985	0,051873
SCO1550	-2,431	-0,651	-1,703	-1,068	-0,948	0,006029	0,470219	0,029094	0,342639	0,33138
SCO1552	-0,313	-0,1	-0,789	0,027	-0,042	0,421844	0,74146	0,002353	0,966591	0,949668
SCO1565	0,226	-0,274	-0,282	-0,217	0,959	0,733535	0,354645	0,298765	0,624285	0,000812
SCO1568	0,602	0,355	0,5	0,885	0,79	0,052226	0,199407	0,05269	0,002987	0,004423
SCO1569	1,529	1,981	1,924	1,73	1,569	0	0	0	0	0
SCO1570	3,119	4,787	4,424	4,173	4,547	0	0	0	0	0
SCO1571	0,537	1,421	0,4	0,268	0,291	0,583742	0,005565	0,450096	0,781236	0,751012
SCO1572	0,614	1,196	1,224	1,159	0,487	0,000898	0	0	0	0,004214
SCO1576	-2,551	-2,1	-2,107	-1,99	-1,87	0	0	0	0,000001	0,000002
SCO1577	3,47	5,006	4,98	4,965	4,702	0	0	0	0	0
SCO1578	3,526	5,223	4,863	4,707	4,968	0	0	0	0	0
SCO1579	3,434	5,046	4,759	4,534	4,84	0	0	0	0	0
SCO1580	3,538	5,248	5,053	4,97	4,842	0	0	0	0	0
SCO1581	1,948	2,929	1,976	1,736	2,488	0,003252	0,000012	0,001773	0,009191	0,000128
SCO1582	0,077	-0,092	0,193	0,438	0,57	0,929576	0,600339	0,188343	0,008655	0,000356
SCO1588	-0,1	0,69	0,505	0,367	0,335	0,815778	0,000011	0,000803	0,019613	0,01916
SCO1590	1,224	1,763	0,573	0,541	0,31	0,000248	0,000001	0,04303	0,131609	0,414606
SCO1612	-0,111	0,397	0,994	-0,33	-0,359	0,990725	0,288384	0,006166	0,549932	0,438607
SCO1613	-0,114	0,63	1,297	-0,283	-0,483	0,999071	0,2161	0,009207	0,75163	0,461618
SCO1626	0,418	-0,146	-0,123	-0,006	-0,763	0,223168	0,632126	0,656568	0,992587	0,004159
SCO1628	0,529	0,228	0,038	-0,013	-0,771	0,116474	0,461273	0,909941	0,986202	0,006382
SCO1629	0,657	0,246	0,036	-0,039	-0,85	0,053959	0,457071	0,922031	0,959374	0,004978
SCO1630	0,679	0,216	0,135	0,173	-0,743	0,020409	0,462371	0,628556	0,699943	0,005742
SCO1638	0,09	-0,239	0,376	0,315	0,96	0,975232	0,337419	0,091061	0,326917	0,000126
SCO1659	0,206	0,773	0,6	0,801	1,771	0,976183	0,168539	0,262958	0,279425	0,001696
SCO1660	0,48	1,013	0,545	0,643	1,56	0,728798	0,078099	0,345348	0,453357	0,007809
SCO1661	-0,074	0,598	0,249	0,324	1,541	0,999071	0,268499	0,649096	0,717978	0,003507
SCO1668	0,553	2,107	0,958	0,353	0,06	0,421449	0,000014	0,024498	0,617497	0,95813
SCO1674	0,522	1,634	0,363	0,484	-0,984	0,487606	0,000377	0,425538	0,472713	0,031283
SCO1681	-0,085	-0,792	-0,349	0,044	-0,08	0,990001	0,001986	0,158344	0,946537	0,891532
SCO1684	-0,736	-0,33	-0,772	-0,409	-0,105	0,005601	0,183157	0,002293	0,179395	0,83204
SCO1686	-0,206	-0,073	-0,653	-0,144	-0,114	0,492025	0,740192	0,00066	0,615677	0,701796
SCO1687	-0,148	-0,062	-1,038	-0,133	-0,075	0,961047	0,894617	0,003931	0,847553	0,931539
SCO1690	0,108	0,151	-0,279	-0,142	-0,764	0,969006	0,623844	0,283647	0,771878	0,004722
SCO1718	-0,064	-0,493	-0,049	-0,168	0,036	0,985313	0,007325	0,820405	0,565574	0,942634
SCO1726	-0,137	0,015	-0,536	-0,261	-0,48	0,612483	0,940015	0,000335	0,113216	0,000883
SCO1730	-0,275	-0,243	-1,508	-0,054	0,003	0,924695	0,704617	0,005707	0,968623	0,997692
SCO1738	0,131	-0,333	0,012	0,511	0,545	0,859566	0,108771	0,961659	0,026413	0,009308
SCO1739	0,027	-0,122	0,375	0,705	0,401	0,999071	0,643955	0,080599	0,004535	0,089595
SCO1740	-0,234	0,981	0,412	-0,343	-0,045	0,863955	0,007452	0,25641	0,551519	0,96288
SCO1743	-0,288	-0,341	-0,269	-0,257	-0,054	0,049873	0,007073	0,029795	0,086117	0,836981
SCO1756	0,657	1,297	0,018	0,017	-0,512	0,081755	0,000135	0,964544	0,983471	0,139414
SCO1760	-0,223	-0,391	-0,208	-0,272	0,042	0,269499	0,007541	0,144842	0,125863	0,905428
SCO1761	-0,152	-0,333	-0,019	-0,207	0,06	0,443169	0,006537	0,898315	0,186074	0,800893
SCO1770	-0,043	-0,497	-0,406	-0,193	-0,001	0,999071	0,003623	0,016455	0,446967	0,997923
SCO1773	0,237	2,277	0,956	0,717	0,302	0,948396	0,000045	0,053044	0,312593	0,739158
SCO1777	0,482	0,818	0,077	0,483	-0,47	0,059098	0,000335	0,753446	0,056467	0,038572
SCO1792	0,22	0,067	-0,109	0,398	0,876	0,798291	0,868785	0,744741	0,344224	0,00443
SCO1793	0,262	0,374	0,334	0,357	1,459	0,934626	0,534992	0,544379	0,687894	0,006786
SCO1800	-0,016	0,082	-0,883	0,319	-0,49	0,999071	0,848013	0,008594	0,519793	0,182149
SCO1814	-1,106	-1,246	-1,081	-1,166	-0,416	0,04617	0,009287	0,022421	0,032782	0,544894
SCO1815	-1,058	-1,316	-0,443	-1,006	-0,024	0,056603	0,005755	0,35988	0,070229	0,9856
SCO1819	-0,005	2,028	0,54	0,2	-0,048	0,999564	0,000092	0,260539	0,835192	0,970626
SCO1822	0,356	0,708	0,248	0,066	-0,344	0,298636	0,003669	0,305436	0,904205	0,208485
SCO1832	-0,404	0,662	0,039	-0,149	-0,769	0,268916	0,010639	0,902989	0,754306	0,004262
SCO1834	0,048	0,591	-0,061	-0,132	-0,262	0,999071	0,002874	0,785694	0,696612	0,252693
SCO1835	-0,128	1,435	0,272	-0,348	-0,432	0,984095	0,000168	0,466675	0,535992	0,325482
SCO1836	-0,091	1,168	0,296	-0,135	0,026	0,962008	0,000003	0,159973	0,717951	0,9636
SCO1837	0,063	0,435	-0,37	-0,064	-0,408	0,963906	0,003724	0,013597	0,829566	0,007691
SCO1848	-0,255	-0,814	-0,467	-0,111	0,049	0,641252	0,002407	0,069005	0,833198	0,94566
SCO1852	-0,39	-0,75	-0,411	-0,011	0,096	0,358656	0,007731	0,135224	0,988547	0,879488
SCO1858	-0,285	-1,109	-0,284	0,076	0,351	0,835104	0,007261	0,511881	0,942029	0,556194
SCO1860	-0,536	0,22	-0,757	-0,297	-1,759	0,554708	0,723516	0,117156	0,739797	0,000799
SCO1861	0,713	0,477	0,562	0,548	0,69	0,000026	0,000994	0,000299	0,000601	0,000019
SCO1865	1,024	1,385	1,517	1,124	1,968	0,042713	0,001841	0,001223	0,023435	0,000056
SCO1866	0,812	1,049	1,199	0,854	1,792	0,348655	0,0743	0,034533	0,286684	0,003036
SCO1867	0,539	0,684	1,142	0,694	0,991	0,394297	0,101247	0,006984	0,187034	0,018694
SCO1876	-0,145	-0,694	-0,901	-0,109	0,227	0,942231	0,020873	0,004226	0,860009	0,627248
SCO1878	0,133	-1,032	-0,648	-0,454	-0,287	0,975951	0,002845	0,050638	0,350141	0,564217
SCO1890	0,164	-0,542	0,423	0,185	0,185	0,752346	0,008082	0,032875	0,565904	0,516663
SCO1896	0,2	-0,017	-0,471	-0,171	-0,663	0,637964	0,953823	0,020403	0,609413	0,001981
SCO1906	0,015	-0,041	0,388	0,319	0,713	0,999071	0,911624	0,132838	0,411368	0,008861
SCO1908	0,249	-0,665	0,405	0,419	1,133	0,761645	0,033511	0,189417	0,343953	0,00066
SCO1910	-0,095	1,173	1,303	1,514	0,566	0,999071	0,00589	0,00353	0,001494	0,255528
SCO1911	0,15	1,278	2,014	1,468	1,757	0,950414	0,000216	0,000001	0,00011	0,000005
SCO1916	-0,21	-1,13	-0,311	-0,351	0,654	0,573651	0,000002	0,106671	0,161297	0,001617
SCO1940	-0,21	-0,682	-0,666	-0,372	-0,047	0,505659	0,00036	0,000794	0,086217	0,915701
SCO1947	-1,174	-0,362	-0,39	-0,72	-0,087	0,000007	0,090604	0,056112	0,002256	0,845453
SCO1948	0,33	0,78	0,249	-0,026	-0,481	0,301019	0,000719	0,262605	0,964716	0,038422
SCO1958	0,047	0,43	0,205	0,692	0,231	0,999071	0,030612	0,303997	0,001904	0,350671
SCO1960	0,607	0,373	0,586	0,495	0,449	0,002353	0,037257	0,002079	0,01411	0,015054
SCO1965	-0,252	-0,09	0,148	0,284	0,466	0,1228	0,555182	0,256688	0,065561	0,000815
SCO1966	0,211	0,448	0,447	0,826	1,014	0,908134	0,262298	0,229567	0,05888	0,008829
SCO1974	-0,093	-0,192	-0,329	-0,272	-0,507	0,9318	0,337872	0,064297	0,276909	0,007141
SCO1985	-0,502	-0,104	-0,109	0,089	-1,546	0,550914	0,86948	0,84303	0,93867	0,001407
SCO1988	-0,242	-0,23	-0,822	-0,196	-0,211	0,756052	0,504456	0,008268	0,709844	0,667271
SCO1989	-0,413	-0,233	-0,737	-0,563	-0,672	0,098177	0,290354	0,000895	0,015055	0,001734
SCO1990	-0,528	-0,883	0,03	-0,257	-0,071	0,177299	0,003933	0,938095	0,599733	0,925244
SCO1995	-0,42	0,075	-0,106	-0,556	-0,936	0,036443	0,729897	0,567277	0,004739	0,000006
SCO2004	0,392	0,233	0,412	0,662	0,766	0,264499	0,410286	0,094732	0,02105	0,00351
SCO2015	0,228	-0,102	0,887	1,073	1,905	0,775444	0,788268	0,004208	0,001227	0
SCO2016	0,802	1,086	0,212	0,36	-0,402	0,032179	0,001239	0,541093	0,471415	0,310046
SCO2024	-0,21	-0,686	0,119	0,478	0,388	0,724724	0,005743	0,655554	0,109471	0,157083
SCO2026	-0,258	1,388	0,13	-0,278	-0,09	0,889817	0,001568	0,792233	0,713439	0,935399
SCO2028	0,149	0,524	0,036	-0,129	-0,119	0,780687	0,007365	0,882346	0,702787	0,725361
SCO2037	0,009	0,161	-0,221	-0,131	-0,579	0,999071	0,370778	0,171055	0,625539	0,000812
SCO2055	0,358	0,402	0,137	-0,042	-1,435	0,4879	0,201813	0,6768	0,957754	0,000028
SCO2063	0,629	5,899	5,226	1,513	0,265	0,863955	0,000001	0,000008	0,256451	0,911602
SCO2082	0,307	0,678	0,093	0,048	-0,159	0,243933	0,000662	0,657976	0,915423	0,578218
SCO2086	-0,092	-0,224	0,343	0,175	0,525	0,822875	0,089413	0,009837	0,34127	0,000193
SCO2101	-0,259	-0,618	-0,174	-0,002	-0,021	0,488052	0,004926	0,441123	0,996648	0,971225
SCO2119	-0,085	-0,293	-0,193	-0,22	-0,646	0,967478	0,161857	0,34846	0,477508	0,002241
SCO2121	-0,127	-0,39	-0,194	-0,022	0,118	0,653282	0,003436	0,132838	0,947534	0,531755
SCO2126	0,042	0,149	-0,109	-0,133	0,366	0,990662	0,286057	0,418974	0,510867	0,006894
SCO2132	-0,115	-0,473	-0,133	-0,093	0,236	0,828603	0,004457	0,433294	0,75956	0,209147
SCO2133	-0,076	0,9	0,701	0,379	0,053	0,95081	0,000003	0,000151	0,047391	0,891691
SCO2135	0,789	0,4	0,403	0,197	-0,074	0,001775	0,079575	0,065987	0,588037	0,885641
SCO2136	-0,451	-0,82	-0,187	-0,163	0,071	0,108262	0,000587	0,432589	0,672839	0,893925
SCO2142	0,131	-0,371	-0,134	0,1	0,069	0,653873	0,007407	0,341707	0,665215	0,796141
SCO2143	-0,011	-0,595	-0,336	-0,22	0,042	0,999071	0,000323	0,03016	0,320804	0,914667
SCO2147	-0,45	-0,38	-0,177	-0,169	-0,25	0,008237	0,012699	0,241181	0,468707	0,135956
SCO2153	0,064	2,624	0,999	-0,106	0,068	0,999071	0	0,004064	0,883424	0,937287
SCO2164	-0,945	-0,414	-1,106	-0,416	-0,894	0,008158	0,212826	0,001223	0,358643	0,006647
SCO2171	-0,092	1,116	-0,026	0,004	-0,322	0,975951	0,000023	0,931816	0,995243	0,243707
SCO2182	0,037	-0,789	-0,287	-0,045	0,092	0,999071	0,001601	0,24716	0,942495	0,864616
SCO2187	0,248	0,652	0,685	0,053	0,121	0,419895	0,001009	0,001015	0,902431	0,715653
SCO2188	-0,274	-0,45	-0,046	0,112	-0,092	0,202093	0,005894	0,805528	0,687894	0,757312
SCO2195	-1,196	-0,351	0,461	0,528	-0,767	0,001128	0,320259	0,14996	0,218484	0,022562
SCO2196	-0,426	-0,15	0,094	0,004	-1,152	0,116474	0,558003	0,696326	0,995243	0,000008
SCO2198	-2,658	1,382	0,08	-0,696	-0,364	0,000136	0,021814	0,913791	0,438384	0,727612
SCO2200	-0,976	-1,011	0,546	0,249	0,698	0,004919	0,001478	0,071933	0,625796	0,03076
SCO2210	-6,489	1,382	0,478	0,224	-3,878	0,000144	0,401331	0,776849	0,953651	0,010782
SCO2211	-4,392	0,211	0,299	0,443	-2,423	0,000001	0,812558	0,690183	0,710934	0,000799
SCO2228	-0,609	-0,207	-0,083	-0,165	1,017	0,087822	0,547952	0,810422	0,765579	0,001106
SCO2229	-0,626	0,116	0,036	-0,399	1,27	0,339107	0,844899	0,948567	0,572311	0,005751
SCO2231	-0,642	-0,005	0,179	-0,088	1,262	0,03247	0,989886	0,517839	0,874744	0,000024
SCO2238	-1,516	-0,305	-0,144	0,154	-1,738	0,00056	0,488712	0,740463	0,84419	0,000058
SCO2241	-1,002	0,102	0,154	0,311	-1,128	0,022319	0,845172	0,721374	0,624285	0,005077
SCO2271	1,102	-0,136	0,134	-0,41	-0,01	0,002951	0,741686	0,717031	0,40263	0,992213
SCO2277	-0,228	-0,519	-0,786	-0,617	-0,45	0,55989	0,01422	0,000661	0,009533	0,04192
SCO2285	0,211	0,247	0,252	0,199	0,466	0,466871	0,171133	0,139842	0,446967	0,00964
SCO2286	0,393	0,462	0,28	0,191	1,267	0,688216	0,33063	0,544461	0,825747	0,005138
SCO2288	0,288	1,658	0,45	0,389	0,267	0,805234	0,000089	0,249652	0,525238	0,686328
SCO2302	-0,136	1,873	0,576	0,649	-1,196	0,998173	0,000213	0,224112	0,337043	0,015269
SCO2309	-1,296	-0,603	-0,197	-1,13	-0,778	0,000125	0,039114	0,520044	0,000608	0,009644
SCO2310	-0,611	-0,637	-1,011	-0,747	-1,21	0,25265	0,108641	0,010828	0,112133	0,002804
SCO2318	0,064	-0,437	-0,249	0,125	0,163	0,955827	0,002935	0,077051	0,596215	0,375054
SCO2319	-0,129	-0,673	-0,294	0,186	-0,028	0,890088	0,002033	0,161227	0,592047	0,959142
SCO2320	-0,011	-0,21	-0,748	0,026	-0,092	0,999071	0,483606	0,00641	0,969962	0,877533
SCO2321	0,039	-0,476	-0,268	0,044	0,268	0,996626	0,000673	0,042371	0,880771	0,061043
SCO2322	-0,089	-0,48	-0,139	0,051	0,12	0,887328	0,001379	0,352757	0,868919	0,587261
SCO2325	-0,359	-0,854	-0,291	0,135	0,144	0,306791	0,000724	0,231525	0,768521	0,737824
SCO2328	0,25	-0,718	-0,439	-0,115	0,432	0,540057	0,001814	0,046254	0,78927	0,071646
SCO2333	0,735	0,07	0,146	0,3	0,074	0,000117	0,73079	0,383751	0,140971	0,823282
SCO2334	-0,54	-0,759	-0,442	-0,439	0,161	0,027308	0,000645	0,035375	0,08546	0,63094
SCO2337	-0,195	-0,251	-0,529	-0,398	-0,272	0,425587	0,110273	0,001261	0,021736	0,096511
SCO2344	0,277	0,531	0,562	0,42	0,184	0,266186	0,003347	0,002928	0,040632	0,439865
SCO2354	-0,145	0,583	0,646	0,906	0,849	0,938004	0,049871	0,026008	0,006274	0,005733
SCO2358	-0,076	-0,269	-0,579	-0,42	-0,228	0,977435	0,199529	0,005778	0,076177	0,367842
SCO2360	-0,149	0,203	0,927	0,568	0,323	0,832288	0,394764	0,000117	0,019177	0,179659
SCO2361	-0,123	0,169	1,02	0,564	0,493	0,94134	0,568529	0,000275	0,055484	0,065429
SCO2362	0,166	0,418	0,687	0,481	0,445	0,627395	0,012821	0,000229	0,010951	0,010501
SCO2373	-0,843	-1,296	-0,512	-0,119	0,004	0,017837	0,000131	0,097705	0,855938	0,995923
SCO2375	0,027	0,014	0,069	0,593	0,802	0,999071	0,963411	0,774045	0,011631	0,000357
SCO2376	0,126	-0,331	-0,124	-0,026	0,137	0,622401	0,009593	0,335167	0,934612	0,404975
SCO2380	-0,242	-0,635	0,015	0,068	0,056	0,612181	0,008152	0,960538	0,900015	0,927446
SCO2383	-0,294	-0,514	0,166	0,097	0,806	0,509499	0,046299	0,541378	0,854946	0,002673
SCO2390	-0,588	-0,709	-0,201	-0,281	-0,125	0,07087	0,009855	0,481218	0,509642	0,822448
SCO2395	-0,02	-0,691	-0,629	-0,3	0,099	0,999071	0,00546	0,01197	0,40561	0,852288
SCO2397	0,809	0,593	0,622	0,533	0,217	0,001487	0,008874	0,007834	0,039762	0,48326
SCO2435	-0,796	-0,341	-0,155	-0,72	-0,186	0,002266	0,157373	0,524385	0,005694	0,591124
SCO2437	-0,653	-0,402	-0,196	-0,479	-0,103	0,001601	0,029534	0,288024	0,022017	0,76119
SCO2439	-0,02	0,149	-0,706	-0,324	-0,062	0,999071	0,626042	0,00822	0,389059	0,923218
SCO2440	0,221	-0,017	-0,256	-0,072	0,544	0,245175	0,930788	0,05866	0,787517	0,000298
SCO2451	-0,002	1,625	0,518	-0,229	0,078	0,99992	0,000266	0,21741	0,774471	0,946896
SCO2455	-0,265	-0,554	0,148	0,23	0,203	0,354795	0,003944	0,453132	0,411368	0,411706
SCO2456	-0,353	-0,465	0,276	0,238	0,564	0,202758	0,026831	0,182857	0,453004	0,009352
SCO2461	0,046	1,233	0,261	0,154	0,639	0,999071	0,000784	0,480955	0,826337	0,093301
SCO2468	-0,076	-0,52	0,049	0,121	-0,04	0,976183	0,008697	0,83727	0,734367	0,939227
SCO2470	-0,465	-0,373	0,723	0,111	0,084	0,042236	0,062472	0,000765	0,765137	0,837053
SCO2471	-1,782	-0,169	0,037	0,373	-3,62	0,014734	0,845172	0,963972	0,754462	0,000003
SCO2473	-0,105	-0,217	-0,155	0,188	-1,824	0,993889	0,585128	0,674139	0,76544	0,000005
SCO2474	0,055	-0,032	-0,167	-0,036	-0,679	0,999071	0,909898	0,425884	0,94611	0,001473
SCO2475	-0,111	-0,305	-0,562	-0,159	-0,001	0,918334	0,154613	0,008576	0,640739	0,997692
SCO2478	-3,356	-0,498	-1,715	-1,888	-1,194	0,007387	0,720237	0,118066	0,193419	0,416251
SCO2486	-0,154	0,023	-0,399	0,116	-3,225	0,984095	0,970909	0,369308	0,907103	0
SCO2487	-0,213	-0,037	-0,001	0,417	-3,258	0,920288	0,948421	0,998214	0,500424	0
SCO2488	-0,483	0,075	-0,296	0,412	-4,396	0,815778	0,936643	0,687615	0,732002	0
SCO2489	-0,245	-0,058	-0,104	-0,196	-1,995	0,638363	0,864975	0,709381	0,638169	0
SCO2494	2,716	1,152	0,82	0,365	0,062	0,000498	0,099051	0,228352	0,778195	0,973917
SCO2510	-0,356	-0,505	-0,503	-0,458	-0,209	0,072231	0,002815	0,004062	0,015069	0,295048
SCO2511	0,771	1,006	0,45	0,262	-0,664	0,086139	0,007112	0,224622	0,678607	0,096841
SCO2512	1,126	1,392	0,324	-0,257	-0,872	0,017059	0,001195	0,455032	0,732046	0,04703
SCO2513	0,483	0,963	0,117	-0,141	-0,508	0,111996	0,000219	0,664141	0,756029	0,05122
SCO2521	0,305	0,228	-0,65	-0,669	-0,938	0,643815	0,532676	0,03452	0,069626	0,004259
SCO2523	0,376	0,111	-0,342	-0,205	-0,727	0,233186	0,696012	0,134801	0,587295	0,002822
SCO2529	1,438	1,252	0,529	0,751	-0,14	0,00033	0,000541	0,121152	0,067176	0,852521
SCO2547	-0,25	-0,484	-0,226	-0,047	-0,072	0,28132	0,003727	0,163923	0,899772	0,835273
SCO2549	-0,353	-0,554	-0,624	-0,444	-0,454	0,008001	0,000027	0,000009	0,000912	0,000385
SCO2551	-0,186	-0,185	-0,502	-0,21	0,005	0,620451	0,368064	0,008769	0,455942	0,992342
SCO2560	0,138	0,135	-0,079	-0,034	-0,952	0,958903	0,728994	0,83151	0,966846	0,00351
SCO2566	-0,091	-0,269	0,491	0,142	0,242	0,916609	0,114756	0,00488	0,598221	0,199903
SCO2578	0,152	-0,084	0,176	0,305	0,3	0,301019	0,469678	0,077108	0,007825	0,004688
SCO2583	-0,01	0,365	0,162	-0,046	-0,862	0,999071	0,073974	0,439176	0,925532	0,000107
SCO2585	-0,117	-0,502	-0,044	-0,25	0,225	0,786081	0,0014	0,805528	0,21714	0,199242
SCO2586	0,123	0,783	0,575	0,317	-0,569	0,953857	0,004203	0,030509	0,432878	0,045234
SCO2589	0,636	0,159	0,231	0,522	0,496	0,006022	0,500604	0,264007	0,026413	0,020291
SCO2591	-1,533	-1,164	-0,899	-0,68	-0,331	0,005269	0,018171	0,060434	0,325193	0,686042
SCO2602	0,205	0,107	0,259	0,295	0,491	0,485776	0,600023	0,125525	0,182993	0,00611
SCO2616	0,318	0,412	0,361	0,503	0,408	0,035559	0,002154	0,008148	0,000745	0,003024
SCO2628	0,834	1,674	0,811	0,641	0,575	0,006959	0,000001	0,005144	0,044947	0,048869
SCO2639	0,12	0,027	0,185	0,625	0,405	0,838349	0,913377	0,295005	0,001566	0,026065
SCO2641	-0,315	-0,698	-0,426	-0,584	-0,169	0,225548	0,000507	0,025407	0,007324	0,541006
SCO2671	-1,115	-0,734	-0,577	-0,705	-0,13	0,003366	0,033269	0,081788	0,079833	0,86212
SCO2674	-0,323	-0,462	-0,384	-0,311	-0,107	0,111264	0,005335	0,019102	0,123229	0,701305
SCO2695	-1,333	-0,401	-0,854	-1,695	-1,228	0,003366	0,373596	0,031336	0,000262	0,003559
SCO2696	-0,64	-0,354	-0,179	-1,038	-0,92	0,085855	0,286057	0,586574	0,002814	0,004231
SCO2699	0,871	1,344	0,311	0,361	-0,761	0,182152	0,007477	0,559365	0,667023	0,176497
SCO2701	0,657	0,801	0,339	0,109	-0,021	0,050973	0,005821	0,237428	0,854172	0,979424
SCO2703	1,087	1,239	0,382	-0,033	-0,262	0,001481	0,00013	0,202035	0,967105	0,548268
SCO2704	1,063	3,96	1,489	0,623	0,674	0,136456	0	0,01038	0,473124	0,335937
SCO2714	0,219	1,383	0,228	-0,129	-0,304	0,751087	0,000008	0,412439	0,806875	0,375852
SCO2716	3,918	4,953	2,124	1,431	0,31	0	0	0,000234	0,014861	0,733926
SCO2717	0,689	2,057	0,388	0,304	-1,1	0,608883	0,002809	0,591818	0,821804	0,141141
SCO2718	5,182	6,836	3,209	2,305	0,705	0	0	0,000109	0,005472	0,485917
SCO2719	4,621	5,711	2,595	1,667	0,496	0	0	0,000182	0,018216	0,596095
SCO2726	-0,473	-0,282	-0,972	-1,025	-2,069	0,26745	0,411903	0,002715	0,002864	0
SCO2727	-0,522	-0,597	-0,881	-0,647	-1,335	0,210352	0,055971	0,006373	0,076932	0,0001
SCO2733	-1,61	-1,405	0,279	-0,347	0,808	0,000022	0,000041	0,382244	0,467576	0,012364
SCO2738	0,529	-0,407	0,221	0,304	0,044	0,003979	0,013191	0,17269	0,133267	0,912869
SCO2745	0,119	0,102	0,166	0,093	0,755	0,942231	0,737573	0,519382	0,853946	0,003102
SCO2754	0,011	-0,357	-0,319	-0,274	-0,238	0,999071	0,000919	0,003759	0,021183	0,02801
SCO2755	-0,391	-0,455	-0,502	-0,19	-0,097	0,059051	0,010119	0,006306	0,493024	0,766505
SCO2770	0,427	0,185	0,171	0,477	0,772	0,224754	0,54114	0,536774	0,143631	0,004508
SCO2778	0,344	1,267	-0,412	0,491	0,074	0,781189	0,004962	0,36793	0,473124	0,952741
SCO2779	0,422	1,468	-0,075	0,537	0,298	0,716419	0,002943	0,900705	0,470656	0,724753
SCO2782	0,945	-0,383	-0,389	-0,357	-0,158	0,000582	0,123189	0,099391	0,295653	0,700855
SCO2786	0,345	0,305	-0,24	-0,283	-1,345	0,091364	0,076738	0,153803	0,196733	0
SCO2798	-0,057	-0,223	-0,503	-0,395	-0,02	0,993454	0,25957	0,008148	0,06714	0,968882
SCO2815	-0,175	-0,703	-0,192	-0,052	0,095	0,675935	0,000391	0,316859	0,904205	0,796141
SCO2817	0,546	0,13	0,228	0,148	-0,002	0,000041	0,277131	0,036872	0,353377	0,99349
SCO2818	0,124	0,941	0,078	-0,066	-0,032	0,904153	0,000065	0,752443	0,889936	0,955119
