gene	logFC	FDR	add_variable
SCO3714	8,1	0	bldD_scoe
SCO3727	-2,0	0	bldD_scoe
SCO3816	-2,0	0	bldD_scoe
SCO3817	-6,0	0	bldD_scoe
SCO3835	13,3	0	bldD_scoe
SCO3868	-3,0	0	bldD_scoe
SCO3876	-3,0	0	bldD_scoe
SCO3877	-3,0	0	bldD_scoe
SCO3921	-2,0	0	bldD_scoe
SCO3922	-2,0	0	bldD_scoe
SCO3943	2,6	0	bldD_scoe
SCO3945	-3,0	0	bldD_scoe
SCO3956	2,2	0	bldD_scoe
SCO3958	2,2	0	bldD_scoe
SCO3970	-3,0	0	bldD_scoe
SCO4026	-2,0	0	bldD_scoe
SCO4049	3,6	0	bldD_scoe
SCO4055	7,0	0	bldD_scoe
SCO4075	3,4	0	bldD_scoe
SCO4089	-4,0	0	bldD_scoe
SCO4172	2,5	0	bldD_scoe
SCO4173	16,5	0	bldD_scoe
SCO4174	12,2	0	bldD_scoe
SCO4175	17,1	0	bldD_scoe
SCO4176	4,7	0	bldD_scoe
SCO4187	-18,0	0	bldD_scoe
SCO4237	4,0	0	bldD_scoe
SCO4239	5,4	0	bldD_scoe
SCO4242	-12,0	0	bldD_scoe
SCO4243	-5,0	0	bldD_scoe
SCO4244	-8,0	0	bldD_scoe
SCO4245	-11,0	0	bldD_scoe
SCO4246	-6,0	0	bldD_scoe
SCO4247	-10,0	0	bldD_scoe
SCO4248	-13,0	0	bldD_scoe
SCO4251	-21,0	0	bldD_scoe
SCO4252	-22,0	0	bldD_scoe
SCO4253	-35,0	0	bldD_scoe
SCO4254	-3,0	0	bldD_scoe
SCO4256	-2,0	0	bldD_scoe
SCO4257	-5,0	0	bldD_scoe
SCO4258	-4,0	0	bldD_scoe
SCO4259	-3,0	0	bldD_scoe
SCO4260	-12,0	0	bldD_scoe
SCO4261	-19,0	0	bldD_scoe
SCO4286	-2,0	0	bldD_scoe
SCO4290	-3,0	0	bldD_scoe
SCO4295	-8,0	0	bldD_scoe
SCO4302	12,3	0	bldD_scoe
SCO4327	-5,0	0	bldD_scoe
SCO4328	-2,0	0	bldD_scoe
SCO4347	4,2	0	bldD_scoe
SCO4348	3,0	0	bldD_scoe
SCO4349	3,2	0	bldD_scoe
SCO4412	4,6	0	bldD_scoe
SCO4471	-9,0	0	bldD_scoe
SCO4602	-2,0	0	bldD_scoe
SCO4645	-2,0	0	bldD_scoe
SCO4646	-2,0	0	bldD_scoe
SCO4651	-2,0	0	bldD_scoe
SCO4658	-2,0	0	bldD_scoe
SCO4675	2,8	0	bldD_scoe
SCO4676	2,4	0	bldD_scoe
SCO4677	24,1	0	bldD_scoe
SCO4687	-2,0	0	bldD_scoe
SCO4689	-4,0	0	bldD_scoe
SCO4690	-5,0	0	bldD_scoe
SCO4768	9,9	0	bldD_scoe
SCO4772	3,6	0	bldD_scoe
SCO4775	-3,0	0	bldD_scoe
SCO4782	-2,0	0	bldD_scoe
SCO4793	4,1	0	bldD_scoe
SCO4808	-3,0	0	bldD_scoe
SCO4809	-4,0	0	bldD_scoe
SCO4813	-2,0	0	bldD_scoe
SCO4824	-2,0	0	bldD_scoe
SCO4825	-3,0	0	bldD_scoe
SCO4826	-2,0	0	bldD_scoe
SCO4827	-4,0	0	bldD_scoe
SCO4834	-2,0	0	bldD_scoe
SCO4839	-2,0	0	bldD_scoe
SCO4847	-3,0	0	bldD_scoe
SCO4848	-3,0	0	bldD_scoe
SCO4855	-3,0	0	bldD_scoe
SCO4856	-2,0	0	bldD_scoe
SCO4886	-2,0	0	bldD_scoe
SCO4887	-2,0	0	bldD_scoe
SCO4888	-2,0	0	bldD_scoe
SCO4902	3,3	0	bldD_scoe
SCO4903	4,2	0	bldD_scoe
SCO4955	-4,0	0	bldD_scoe
SCO4989	-5,0	0	bldD_scoe
SCO4990	-4,0	0	bldD_scoe
SCO4994	-6,0	0	bldD_scoe
SCO5032	-3,0	0	bldD_scoe
SCO5036	3,6	0	bldD_scoe
SCO5100	4,7	0	bldD_scoe
SCO5123	-3,0	0	bldD_scoe
SCO5169	-3,0	0	bldD_scoe
SCO5176	4,6	0	bldD_scoe
SCO5229	2,1	0	bldD_scoe
SCO5230	5,3	0	bldD_scoe
SCO5240	2,1	0	bldD_scoe
SCO5243	5,6	0	bldD_scoe
SCO5244	6,2	0	bldD_scoe
SCO5254	-5,0	0	bldD_scoe
SCO5292	-3,0	0	bldD_scoe
SCO5299	2,5	0	bldD_scoe
SCO5300	4,8	0	bldD_scoe
SCO5324	2,9	0	bldD_scoe
SCO5390	2,1	0	bldD_scoe
SCO5405	-3,0	0	bldD_scoe
SCO5409	-3,0	0	bldD_scoe
SCO5423	-2,0	0	bldD_scoe
SCO5459	-3,0	0	bldD_scoe
SCO5464	-2,0	0	bldD_scoe
SCO5511	5,3	0	bldD_scoe
SCO5512	2,4	0	bldD_scoe
SCO5519	-13,0	0	bldD_scoe
SCO5520	-19,0	0	bldD_scoe
SCO5521	5,5	0	bldD_scoe
SCO5522	52,4	0	bldD_scoe
SCO5553	52,2	0	bldD_scoe
SCO5554	5,4	0	bldD_scoe
SCO5555	2,8	0	bldD_scoe
SCO5556	3,3	0	bldD_scoe
SCO5558	-2,0	0	bldD_scoe
SCO5656	-6,0	0	bldD_scoe
SCO5657	-7,0	0	bldD_scoe
SCO5789	7,1	0	bldD_scoe
SCO5798	3,1	0	bldD_scoe
SCO5803	2,5	0	bldD_scoe
SCO5806	-2,0	0	bldD_scoe
SCO5811	4,6	0	bldD_scoe
SCO5863	2,4	0	bldD_scoe
SCO5967	-3,0	0	bldD_scoe
SCO5970	15,3	0	bldD_scoe
SCO5999	-13,0	0	bldD_scoe
SCO6005	3,4	0	bldD_scoe
SCO6006	2,3	0	bldD_scoe
SCO6009	5,5	0	bldD_scoe
SCO6010	5,4	0	bldD_scoe
SCO6011	4,3	0	bldD_scoe
SCO6029	2,9	0	bldD_scoe
SCO6065	2,1	0	bldD_scoe
SCO6108	-4,0	0	bldD_scoe
SCO6109	-6,0	0	bldD_scoe
SCO6134	-2,0	0	bldD_scoe
SCO6135	-2,0	0	bldD_scoe
SCO6136	-2,0	0	bldD_scoe
SCO6148	-3,0	0	bldD_scoe
SCO6197	-18,0	0	bldD_scoe
SCO6357	2,3	0	bldD_scoe
SCO6393	2,2	0	bldD_scoe
SCO6394	2,2	0	bldD_scoe
SCO6409	7,3	0	bldD_scoe
SCO6621	2,5	0	bldD_scoe
SCO6658	-5,0	0	bldD_scoe
SCO6659	-4,0	0	bldD_scoe
SCO6659	-12,0	0	bldD_scoe
SCO6660	-7,0	0	bldD_scoe
SCO6661	-17,0	0	bldD_scoe
SCO6662	-17,0	0	bldD_scoe
SCO6663	-26,0	0	bldD_scoe
SCO6717	2,7	0	bldD_scoe
SCO6736	-2,0	0	bldD_scoe
SCO6794	8,1	0	bldD_scoe
SCO6795	5,4	0	bldD_scoe
SCO6796	6,3	0	bldD_scoe
SCO6797	12,1	0	bldD_scoe
SCO6798	6,2	0	bldD_scoe
SCO6910	-3,0	0	bldD_scoe
SCO6981	2,0	0	bldD_scoe
SCO7000	-5,0	0	bldD_scoe
SCO7153	-5,0	0	bldD_scoe
