gene	logFC	FDR
SVEN_5979	16,79	2,21759E-89
SVEN_2878	4,48	2,86738E-10
SVEN_2871	4,44	3,6592E-06
SVEN_2879	4,29	0,00014787
SVEN_5978	4,13	1,29338E-18
SVEN_2863	4,08	1,47505E-07
SVEN_2880	4,04	3,17185E-08
SVEN_4522	3,86	0
SVEN_2874	3,7	7,03732E-06
SVEN_5622	3,54	0,0436904
SVEN_2873	3,38	3,10088E-09
SVEN_2118	3,29	0,04101289
SVEN_6743	3,26	0,03595786
SVEN_0747	3,24	0,01917054
EBG00001120583	3,23	0,07268773
SVEN_2867	3,04	7,3436E-07
SVEN_2866	3,01	6,31435E-07
SVEN_2868	2,85	0,00055195
SVEN_5639	2,83	0,1447582
SVEN_1983	2,83	0,1640522
SVEN_2872	2,82	1,25898E-05
SVEN_2097	2,82	0,1488616
SVEN_2474	2,82	0,1577436
SVEN_5793	2,8	0,1466568
SVEN_2865	2,71	1,23781E-08
SVEN_0450	2,6	0,1040205
SVEN_6259	2,59	0,1476585
SVEN_2875	2,58	1,36401E-05
SVEN_1465	2,39	0,01257631
SVEN_1982	2,36	0,09114358
SVEN_6769	2,29	0,2557411
SVEN_2864	2,28	1,75073E-05
SVEN_1814	2,28	0,2965323
SVEN_2862	2,25	1,93416E-06
SVEN_1363	2,25	0,0467627
SVEN_2124	2,24	0,2316389
SVEN_5629	2,23	0,2484278
EBG00001120667	2,23	0,2916528
SVEN_5626	2,23	0,3313257
SVEN_2086	2,23	0,343388
SVEN_6762	2,18	0,1155547
SVEN_2877	2,04	0,01711866
SVEN_1613	1,98	1,76361E-08
SVEN_0489	1,98	0,1827065
EBG00001120666	1,9	0,3367596
SVEN_6375	1,9	0,3405359
SVEN_3978	1,89	0,02097218
SVEN_2991	1,88	1,13898E-08
SVEN_3166	1,87	8,39052E-10
SVEN_7137	1,87	0,3126337
SVEN_6137	1,86	0,1011509
SVEN_6257	1,85	0,09081841
SVEN_6915	1,83	0,3388902
SVEN_2076	1,83	0,3554145
SVEN_6010	1,81	0,1827922
SVEN_2858	1,8	0,000321986
SVEN_6098	1,78	0,005440696
SVEN_2861	1,77	0,1432753
SVEN_5641	1,77	0,2260318
SVEN_7105	1,77	0,3355922
SVEN_4825	1,73	0,2357488
SVEN_2876	1,72	1,08463E-05
SVEN_0934	1,7	0,2703283
SVEN_5117	1,69	0,2482648
SVEN_7026	1,68	0,08612891
SVEN_2992	1,66	2,30734E-18
SVEN_2870	1,66	0,01650041
SVEN_3496	1,63	0,1538508
SVEN_2843	1,61	0,01730658
SVEN_7253	1,61	0,1993438
SVEN_4523	1,59	4,16123E-59
SVEN_1612	1,58	6,46773E-17
SVEN_3167	1,58	3,10287E-13
SVEN_6002	1,57	0,01175809
SVEN_5173	1,57	0,259808
SVEN_1603	1,54	0,1318391
SVEN_3200	1,5	0,000711585
SVEN_2869	1,5	0,006723732
SVEN_3168	1,46	7,17478E-05
SVEN_4977	1,42	6,00985E-16
SVEN_5623	1,42	0,3435928
SVEN_5176	1,4	0,000161551
SVEN_0334	1,4	0,2177434
SVEN_4889	1,4	0,2809857
SVEN_6502	1,39	0,257419
SVEN_6389	1,39	0,2857885
SVEN_4265	1,38	0,000979393
SVEN_5789	1,38	0,09075346
SVEN_1062	1,37	0,09652086
SVEN_6761	1,37	0,3810642
SVEN_5661	1,36	0,002906881
SVEN_4072	1,35	0,2776978
SVEN_6368	1,35	0,3780052
SVEN_4892	1,35	0,5111566
SVEN_6063	1,35	0,5199822
SVEN_0618	1,35	0,5348304
SVEN_2094	1,35	0,5529777
SVEN_6597	1,35	0,6235584
SVEN_5609	1,35	0,6695516
SVEN_0039	1,34	0,3291783
SVEN_6856	1,33	0,362457
SVEN_2481	1,33	0,5903019
SVEN_6917	1,33	0,5951024
SVEN_1615	1,32	4,12966E-23
SVEN_0305	1,32	0,04616303
SVEN_5648	1,31	0,4896433
SVEN_2102	1,31	0,496555
EBG00001120580	1,31	0,506426
SVEN_5837	1,3	1,27926E-07
SVEN_6622	1,3	0,1090074
SVEN_1614	1,29	3,00744E-14
SVEN_6694	1,29	0,05112016
SVEN_6836	1,28	9,93893E-07
SVEN_2859	1,28	2,07146E-05
SVEN_1383	1,28	0,1392604
SVEN_3199	1,27	0,0975279
SVEN_6879	1,27	0,5069998
SVEN_2131	1,27	0,5348174
SVEN_2093	1,27	0,5414316
SVEN_6596	1,27	0,5555766
SVEN_6003	1,25	0,000955369
SVEN_5671	1,25	0,03951535
SVEN_6251	1,24	0,04585186
SVEN_2842	1,23	0,003784203
SVEN_6837	1,22	1,65783E-06
SVEN_6729	1,22	0,1997779
SVEN_5133	1,21	0,05377998
SVEN_3991	1,2	0,09274276
SVEN_6199	1,2	0,1210252
SVEN_3169	1,19	1,94133E-14
SVEN_2839	1,19	0,03948621
SVEN_6933	1,19	0,3341942
SVEN_5838	1,18	1,43831E-05
SVEN_6196	1,18	0,1743987
SVEN_5836	1,17	8,43751E-08
SVEN_6004	1,17	2,66618E-05
SVEN_0802	1,17	0,3571506
SVEN_0071	1,16	0,01326278
SVEN_6511	1,16	0,09804015
SVEN_0277	1,16	0,2422734
SVEN_0257	1,15	1,48656E-07
SVEN_6625	1,15	0,07351968
SVEN_5102	1,14	0,002615852
SVEN_7058	1,13	0,04778909
SVEN_6715	1,13	0,2613552
SVEN_0695	1,13	0,4308771
SVEN_1173	1,12	0,04234781
SVEN_7182	1,12	0,04250082
SVEN_0976	1,12	0,1439485
SVEN_5662	1,11	2,72424E-11
SVEN_5839	1,11	7,24589E-07
SVEN_2860	1,11	6,48326E-05
SVEN_7014	1,11	0,1388883
SVEN_2840	1,1	0,004556636
SVEN_7399	1,1	0,00603937
SVEN_2259	1,1	0,4521698
SVEN_0537	1,09	0,1950917
SVEN_0543	1,08	0,001040524
SVEN_5611	1,08	0,07968456
SVEN_6608	1,08	0,1295171
SVEN_6129	1,07	6,46308E-05
SVEN_0068	1,07	0,002341486
SVEN_5448	1,07	0,1802176
SVEN_1627	1,07	0,2443287
SVEN_4646	1,07	0,3405961
SVEN_3108	1,07	0,3530523
SVEN_6267	1,06	0,1197115
SVEN_3990	1,06	0,1300603
SVEN_5906	1,06	0,1498835
SVEN_3298	1,05	5,40447E-17
SVEN_1595	1,05	1,08014E-14
EBG00001120595	1,05	0,1005066
SVEN_3297	1,04	1,21109E-15
SVEN_3170	1,04	1,82804E-07
SVEN_2856	1,04	0,06459676
SVEN_2495	1,04	0,2795416
SVEN_6165	1,03	0,001261892
SVEN_r1	1,03	0,3582542
SVEN_0535	1,03	0,4502379
SVEN_3393	1,02	0,000222327
SVEN_0065	1,01	2,24013E-09
SVEN_3981	1,01	0,3215063
SVEN_5647	1,01	0,5296469
SVEN_5840	1	4,73082E-06
SVEN_0072	1	0,001162926
SVEN_5578	1	0,003543869
SVEN_5573	1	0,03073238
SVEN_7418	1	0,1358257
SVEN_0487	1	0,2407189
SVEN_2074	1	0,582044
SVEN_3322	0,99	0,254523
SVEN_0291	0,99	0,5813381
SVEN_1681	0,98	0,01933919
SVEN_6952	0,98	0,133741
SVEN_6205	0,98	0,4201498
SVEN_2979	0,97	0,04080388
SVEN_4546	0,97	0,105753
SVEN_0686	0,97	0,2373172
SVEN_2096	0,97	0,4112389
SVEN_5632	0,97	0,5576726
SVEN_6197	0,97	0,6922932
SVEN_3299	0,96	9,8651E-09
SVEN_0256	0,96	1,03617E-07
SVEN_3137	0,96	3,98899E-06
SVEN_6507	0,96	0,222609
EBG00001120627	0,96	0,456208
SVEN_7397	0,96	0,6013793
SVEN_7054	0,95	2,27588E-10
SVEN_2302	0,95	3,77437E-05
SVEN_2565	0,95	0,04292443
SVEN_2845	0,95	0,08725512
SVEN_0536	0,95	0,1068618
SVEN_4884	0,95	0,1462528
SVEN_7419	0,95	0,4768923
SVEN_1230	0,95	0,5061037
EBG00001120674	0,95	0,5379885
SVEN_7055	0,94	0,000195136
SVEN_5277	0,94	0,000370818
SVEN_1136	0,94	0,005826301
SVEN_6204	0,94	0,1827246
SVEN_0595	0,94	0,2300788
SVEN_6084	0,94	0,3479395
SVEN_6086	0,93	2,41847E-10
SVEN_5853	0,93	0,00250478
SVEN_0811	0,93	0,3199611
SVEN_6944	0,93	0,3898098
SVEN_4047	0,92	3,72509E-16
SVEN_6679	0,92	2,04749E-06
SVEN_5668	0,92	0,000165069
SVEN_6235	0,92	0,04909622
SVEN_0693	0,92	0,135703
SVEN_3493	0,91	0,0184627
SVEN_1174	0,91	0,05977628
SVEN_7027	0,91	0,2051928
SVEN_7172	0,91	0,2417317
SVEN_2071	0,91	0,270878
SVEN_5835	0,9	2,43986E-09
SVEN_2058	0,9	0,000173512
SVEN_4103	0,9	0,01411639
SVEN_0790	0,89	5,43936E-14
SVEN_5768	0,89	4,85341E-12
SVEN_0419	0,89	0,000555248
SVEN_6628	0,89	0,0484457
SVEN_0920	0,89	0,1951823
SVEN_7145	0,89	0,2169087
SVEN_1018	0,89	0,3499569
SVEN_0429	0,88	0,03093245
SVEN_1204	0,88	0,07522046
SVEN_6716	0,88	0,1291245
SVEN_0263	0,88	0,3382655
SVEN_0037	0,88	0,3892149
SVEN_2075	0,88	0,6913827
SVEN_5842	0,87	1,3279E-05
SVEN_6468	0,87	0,000154095
SVEN_1650	0,87	0,008513641
SVEN_2271	0,87	0,1130682
SVEN_5605	0,87	0,470528
SVEN_6942	0,87	0,4760104
SVEN_5849	0,86	5,57354E-07
SVEN_6606	0,86	0,1104816
SVEN_0495	0,86	0,187105
SVEN_2498	0,86	0,4629812
SVEN_5841	0,85	1,34532E-05
SVEN_5847	0,85	0,001491686
SVEN_t51	0,85	0,07965764
SVEN_6012	0,85	0,1354972
SVEN_6826	0,85	0,1522579
SVEN_4158	0,85	0,1838809
SVEN_2136	0,85	0,2160116
SVEN_1317	0,85	0,2404449
SVEN_6469	0,84	1,07435E-07
SVEN_6680	0,84	3,51988E-06
SVEN_2847	0,84	0,2698199
SVEN_5844	0,83	1,79616E-05
SVEN_3138	0,83	0,002422201
SVEN_2024	0,83	0,04804461
SVEN_0350	0,83	0,1297596
SVEN_2139	0,83	0,2021827
SVEN_6227	0,83	0,261456
SVEN_7398	0,83	0,3454851
SVEN_5314	0,83	0,3595278
SVEN_0297	0,83	0,3774415
SVEN_0396	0,83	0,4283214
SVEN_6707	0,83	0,4943181
SVEN_0490	0,83	0,5275677
SVEN_6732	0,83	0,5442721
SVEN_0193	0,82	0,003151154
SVEN_2218	0,82	0,02062253
EBG00001120587	0,82	0,1741439
SVEN_4638	0,82	0,3522354
SVEN_2077	0,82	0,3551797
SVEN_4738	0,81	1,48804E-13
SVEN_0791	0,81	6,14725E-09
SVEN_3440	0,81	5,9092E-08
SVEN_3020	0,81	0,02134676
SVEN_1351	0,81	0,06883308
SVEN_5443	0,81	0,09396916
SVEN_6480	0,81	0,1292962
SVEN_4821	0,81	0,1342786
SVEN_7060	0,81	0,1454832
SVEN_0247	0,81	0,2670311
SVEN_5726	0,81	0,4052386
SVEN_7056	0,8	5,83944E-07
SVEN_0415	0,8	4,06278E-06
SVEN_2491	0,8	0,01114107
SVEN_6699	0,8	0,03385036
SVEN_2978	0,8	0,134232
SVEN_5095	0,8	0,3401932
SVEN_0095	0,8	0,3682402
SVEN_5669	0,8	0,4708518
SVEN_5846	0,79	0,003258545
SVEN_1175	0,79	0,03173644
SVEN_1172	0,79	0,1686812
SVEN_5654	0,79	0,03759632
SVEN_1209	0,79	0,05470076
SVEN_0416	0,78	4,54641E-05
SVEN_5843	0,78	0,000101123
SVEN_r18	0,78	0,1747479
SVEN_1925	0,78	0,2424316
SVEN_5438	0,78	0,2470053
SVEN_2144	0,78	0,3608972
SVEN_4548	0,78	0,4297357
SVEN_2853	0,78	0,4541045
SVEN_5895	0,78	0,4636379
SVEN_5683	0,78	0,6203774
SVEN_5215	0,77	2,57881E-07
SVEN_0082	0,77	0,0012372
SVEN_4048	0,77	0,001455572
SVEN_0361	0,77	0,002319982
SVEN_4512	0,77	0,01843828
SVEN_2528	0,77	0,03208925
SVEN_7324	0,77	0,6011287
SVEN_5663	0,76	1,1888E-06
SVEN_5558	0,76	4,45738E-06
SVEN_4525	0,76	0,009522575
SVEN_6676	0,76	0,08633144
SVEN_6331	0,76	0,1394948
SVEN_0449	0,76	0,1849766
SVEN_6970	0,76	0,3634996
SVEN_2496	0,76	0,5799747
SVEN_2478	0,76	0,5947084
SVEN_4999	0,75	2,49094E-14
SVEN_0417	0,75	1,26762E-06
SVEN_6640	0,75	3,59405E-05
SVEN_5850	0,75	7,27822E-05
SVEN_5845	0,75	0,000118537
SVEN_6221	0,75	0,002378545
SVEN_2164	0,75	0,03608068
SVEN_7000	0,75	0,07963862
SVEN_6056	0,75	0,4105159
SVEN_6296	0,75	0,4588836
SVEN_5562	0,74	1,54209E-07
SVEN_1270	0,74	4,96235E-07
SVEN_5564	0,74	6,41823E-07
SVEN_4100	0,74	4,55124E-06
SVEN_0418	0,74	2,37117E-05
SVEN_6931	0,74	6,63536E-05
SVEN_4526	0,74	0,004844639
SVEN_6639	0,74	0,0112585
SVEN_1868	0,74	0,1866491
SVEN_3323	0,74	0,4031538
EBG00001120675	0,74	0,5037803
SVEN_5563	0,73	1,01768E-09
SVEN_2132	0,73	0,006425266
SVEN_7041	0,73	0,007105325
SVEN_3449	0,73	0,02492011
SVEN_7065	0,73	0,03333918
SVEN_6007	0,73	0,1544468
SVEN_7215	0,73	0,3113854
SVEN_6719	0,73	0,3203063
SVEN_1331	0,72	1,00447E-06
SVEN_3420	0,72	2,61813E-05
SVEN_0961	0,72	0,000895264
SVEN_5769	0,72	0,001333612
SVEN_3284	0,72	0,005836427
SVEN_6167	0,72	0,06383031
SVEN_2238	0,72	0,06669542
SVEN_5762	0,72	0,08045097
SVEN_6946	0,72	0,1772866
SVEN_0561	0,72	0,2956762
SVEN_6693	0,72	0,2988232
SVEN_6698	0,72	0,5116187
SVEN_0610	0,71	2,76966E-07
SVEN_4521	0,71	2,97992E-07
SVEN_0207	0,71	0,000205518
SVEN_6042	0,71	0,01835616
SVEN_6700	0,71	0,02939401
SVEN_0545	0,71	0,1235214
SVEN_2236	0,71	0,2283256
SVEN_3491	0,71	0,3176103
SVEN_3977	0,71	0,3692855
SVEN_3274	0,71	0,3900937
SVEN_1584	0,71	0,4028118
SVEN_2981	0,71	0,5130282
SVEN_7252	0,71	0,5720957
SVEN_5596	0,71	0,5761904
SVEN_4482	0,7	1,21864E-10
SVEN_4101	0,7	5,76558E-07
SVEN_2148	0,7	9,84711E-05
SVEN_1911	0,7	0,000404613
SVEN_4964	0,7	0,000656511
SVEN_6132	0,7	0,01770066
SVEN_6080	0,7	0,02290524
SVEN_6467	0,7	0,02511947
SVEN_0944	0,7	0,0700599
SVEN_7166	0,7	0,2139654
SVEN_0596	0,7	0,2897646
SVEN_6249	0,7	0,3055456
SVEN_6776	0,7	0,3064557
SVEN_4249	0,7	0,3372963
SVEN_6370	0,7	0,372949
SVEN_7183	0,7	0,4420179
SVEN_6253	0,7	0,4498907
SVEN_4890	0,7	0,587108
SVEN_5772	0,69	2,05102E-10
SVEN_0901	0,69	9,34404E-05
SVEN_6164	0,69	0,002870806
SVEN_6825	0,69	0,007129897
SVEN_7169	0,69	0,01078051
SVEN_6649	0,69	0,01232191
SVEN_5572	0,69	0,05200371
SVEN_6188	0,69	0,1139874
SVEN_2152	0,69	0,1247445
SVEN_0815	0,69	0,12598
SVEN_6781	0,69	0,158684
SVEN_1413	0,69	0,2071935
SVEN_6250	0,69	0,3094614
SVEN_0532	0,69	0,3883432
SVEN_1407	0,68	1,503E-07
SVEN_2147	0,68	0,000165551
SVEN_5910	0,68	0,006516864
SVEN_2269	0,68	0,006635941
SVEN_6678	0,68	0,009889939
SVEN_3530	0,68	0,01422655
SVEN_5577	0,68	0,04112839
SVEN_2989	0,68	0,04155045
SVEN_0795	0,68	0,06569308
SVEN_6777	0,68	0,1696948
SVEN_7378	0,68	0,2710121
SVEN_4752	0,68	0,2831833
SVEN_6573	0,68	0,3032333
SVEN_5214	0,67	2,58758E-08
SVEN_4481	0,67	3,52243E-08
SVEN_5080	0,67	0,000478086
SVEN_4051	0,67	0,002572942
SVEN_5766	0,67	0,002879748
SVEN_4200	0,67	0,01671298
SVEN_3614	0,67	0,02706263
SVEN_2303	0,67	0,02959251
SVEN_5942	0,67	0,03211009
EBG00001120632	0,67	0,03772191
SVEN_3993	0,67	0,0496787
SVEN_6941	0,67	0,194494
SVEN_6713	0,67	0,2644777
SVEN_2848	0,67	0,3204059
SVEN_2237	0,67	0,3899088
SVEN_2579	0,67	0,4513008
SVEN_2116	0,67	0,4808167
SVEN_5702	0,67	0,543198
SVEN_0694	0,67	0,5913315
SVEN_2272	0,66	4,99588E-09
SVEN_5432	0,66	1,53096E-05
SVEN_5767	0,66	1,85653E-05
SVEN_3433	0,66	4,56891E-05
SVEN_4567	0,66	0,001343734
SVEN_6116	0,66	0,002633626
SVEN_1634	0,66	0,03060888
SVEN_3486	0,66	0,03191522
SVEN_5672	0,66	0,03604151
SVEN_6293	0,66	0,1390602
SVEN_4176	0,66	0,1712764
SVEN_5659	0,66	0,2598936
SVEN_2001	0,66	0,349478
SVEN_1316	0,66	0,3756124
SVEN_0383	0,66	0,4013459
SVEN_5703	0,66	0,4585879
SVEN_6913	0,66	0,4690625
EBG00001120656	0,66	0,5769591
SVEN_0809	0,66	0,6160208
SVEN_3171	0,65	6,08675E-06
SVEN_4440	0,65	1,47674E-05
SVEN_6473	0,65	1,97288E-05
SVEN_5851	0,65	3,90105E-05
SVEN_2607	0,65	0,000237344
SVEN_7061	0,65	0,00062139
SVEN_5372	0,65	0,00146795
SVEN_3548	0,65	0,006924861
SVEN_6044	0,65	0,0163395
SVEN_2270	0,65	0,01982266
SVEN_7044	0,65	0,03162387
SVEN_0541	0,65	0,2728242
SVEN_6907	0,65	0,3987269
SVEN_2078	0,65	0,4379259
SVEN_2278	0,65	0,4715834
SVEN_3574	0,65	0,4768776
SVEN_5561	0,64	4,68153E-06
SVEN_6641	0,64	1,79262E-05
SVEN_5749	0,64	0,000350093
SVEN_6213	0,64	0,01709821
SVEN_7002	0,64	0,02181898
SVEN_0511	0,64	0,02536147
SVEN_7184	0,64	0,06827822
SVEN_2195	0,64	0,07335849
SVEN_1593	0,64	0,1241606
SVEN_6905	0,64	0,2065078
SVEN_7453	0,64	0,2684805
SVEN_5699	0,64	0,2687714
SVEN_2107	0,64	0,4433002
SVEN_4952	0,64	0,4975971
SVEN_5373	0,63	1,26331E-06
SVEN_3806	0,63	0,003307214
SVEN_5653	0,63	0,006079174
SVEN_1907	0,63	0,02933187
SVEN_5660	0,63	0,04711344
SVEN_6810	0,63	0,301123
SVEN_0621	0,63	0,3375336
SVEN_0483	0,63	0,345993
SVEN_6085	0,63	0,3463526
SVEN_6667	0,63	0,381908
EBG00001120598	0,63	0,6004303
EBG00001120582	0,63	0,6221409
SVEN_0412	0,62	2,95499E-06
SVEN_4564	0,62	5,25667E-06
SVEN_5560	0,62	2,89382E-05
SVEN_5097	0,62	0,004588231
SVEN_7045	0,62	0,01152365
SVEN_0592	0,62	0,0119667
SVEN_6420	0,62	0,0121479
SVEN_4888	0,62	0,0778567
SVEN_5912	0,62	0,1192006
SVEN_6627	0,62	0,172442
SVEN_0404	0,62	0,1925458
SVEN_0550	0,62	0,2071241
SVEN_7360	0,62	0,3289211
SVEN_2275	0,62	0,5594186
SVEN_0443	0,62	0,5621653
SVEN_5697	0,62	0,5907947
SVEN_5431	0,61	7,47112E-07
SVEN_6222	0,61	5,22632E-05
SVEN_4091	0,61	0,000247832
SVEN_6130	0,61	0,000828352
SVEN_3003	0,61	0,005285822
SVEN_7036	0,61	0,02434787
SVEN_7023	0,61	0,0745714
SVEN_6287	0,61	0,1024229
SVEN_4448	0,61	0,2315682
SVEN_5175	0,61	0,1276313
SVEN_2841	0,61	0,260952
SVEN_5715	0,61	0,4691963
SVEN_1654	0,61	0,5512764
SVEN_6234	0,61	0,5851477
SVEN_4050	0,6	1,52325E-07
SVEN_1504	0,6	0,00019361
SVEN_3961	0,6	0,000286506
SVEN_5834	0,6	0,0011288
SVEN_0327	0,6	0,003924573
SVEN_3447	0,6	0,007444393
SVEN_5785	0,6	0,04526463
SVEN_5786	0,6	0,0472034
SVEN_3044	0,6	0,07267489
SVEN_4266	0,6	0,09219256
SVEN_3492	0,6	0,10915
SVEN_4281	0,6	0,1806707
SVEN_2543	0,6	0,3429763
SVEN_5960	0,6	0,3823516
SVEN_4457	0,6	0,3866999
SVEN_5160	0,6	0,3890744
SVEN_6768	0,6	0,4643356
SVEN_0069	0,6	0,5496555
SVEN_7381	0,6	0,5687319
SVEN_2837	0,59	1,51234E-08
SVEN_0611	0,59	1,73203E-07
SVEN_2809	0,59	5,7857E-05
SVEN_3392	0,59	0,000357552
SVEN_0245	0,59	0,003707292
SVEN_6831	0,59	0,004770445
SVEN_0306	0,59	0,01231523
SVEN_3499	0,59	0,01471146
SVEN_7123	0,59	0,05515275
SVEN_1168	0,59	0,07010192
SVEN_5446	0,59	0,1480009
SVEN_3489	0,59	0,1998207
SVEN_1311	0,59	0,2056936
SVEN_0963	0,59	0,2808219
SVEN_1470	0,59	0,2974548
SVEN_0346	0,59	0,3804496
SVEN_4643	0,59	0,420599
SVEN_1683	0,59	0,5580469
SVEN_6602	0,59	0,5886732
SVEN_2291	0,58	1,5355E-08
SVEN_5430	0,58	2,04113E-05
SVEN_4292	0,58	0,000130329
SVEN_3751	0,58	0,000584007
SVEN_2571	0,58	0,001279309
SVEN_2421	0,58	0,004955305
SVEN_2749	0,58	0,004963221
SVEN_5940	0,58	0,008117114
SVEN_5907	0,58	0,02538202
SVEN_4658	0,58	0,03655108
SVEN_6947	0,58	0,05046632
SVEN_2154	0,58	0,09984306
SVEN_2492	0,58	0,1552444
SVEN_2844	0,58	0,2367393
SVEN_7188	0,58	0,2644588
SVEN_0279	0,58	0,2754096
SVEN_5787	0,58	0,4503946
SVEN_6437	0,58	0,6069955
SVEN_3887	0,57	4,2929E-11
SVEN_0612	0,57	3,09666E-06
SVEN_6474	0,57	6,72134E-05
SVEN_6179	0,57	0,000290239
SVEN_2573	0,57	0,000418553
SVEN_5559	0,57	0,002057454
SVEN_2827	0,57	0,004119594
SVEN_0265	0,57	0,02175549
SVEN_4846	0,57	0,1725068
SVEN_7059	0,57	0,3745998
SVEN_2923	0,57	0,2417965
SVEN_0549	0,57	0,3144481
SVEN_6173	0,57	0,3151153
SVEN_2161	0,57	0,3566147
SVEN_6987	0,57	0,434939
SVEN_3370	0,57	0,5828822
SVEN_5689	0,57	0,612868
SVEN_6244	0,57	0,6175282
SVEN_2013	0,56	3,46578E-07
SVEN_7233	0,56	0,003079206
SVEN_3556	0,56	0,04073622
SVEN_0080	0,56	0,06427092
SVEN_6216	0,56	0,06930292
SVEN_5101	0,56	0,1168458
SVEN_6337	0,56	0,1240728
SVEN_3110	0,56	0,2382687
SVEN_6790	0,56	0,30236
SVEN_0763	0,56	0,3762547
SVEN_0032	0,56	0,4325062
SVEN_6779	0,56	0,5878139
SVEN_6555	0,56	0,6077877
SVEN_1324	0,55	3,73445E-07
SVEN_3726	0,55	4,10655E-05
SVEN_1269	0,55	5,71029E-05
SVEN_1358	0,55	8,87455E-05
SVEN_0609	0,55	0,000126077
SVEN_6590	0,55	0,04879662
SVEN_2977	0,55	0,1191792
SVEN_7186	0,55	0,4383041
SVEN_6595	0,55	0,4834491
SVEN_0539	0,55	0,5602231
SVEN_5809	0,54	1,47362E-08
SVEN_2545	0,54	4,15511E-08
SVEN_5216	0,54	3,5455E-05
SVEN_4478	0,54	0,000769216
SVEN_7416	0,54	0,00121114
SVEN_2957	0,54	0,001977467
SVEN_4239	0,54	0,004646962
SVEN_5100	0,54	0,004666897
SVEN_4049	0,54	0,03462115
SVEN_0575	0,54	0,04941689
SVEN_5913	0,54	0,1235999
SVEN_7225	0,54	0,2106465
SVEN_7057	0,54	0,2277432
SVEN_3072	0,54	0,2445616
SVEN_0516	0,54	0,2624197
SVEN_6738	0,54	0,2928954
SVEN_2804	0,54	0,306824
SVEN_1673	0,54	0,3211705
SVEN_2248	0,54	0,3956001
SVEN_6600	0,54	0,4157212
SVEN_7187	0,54	0,4224432
SVEN_r10	0,54	0,4882128
SVEN_1479	0,54	0,6004942
SVEN_4214	0,53	4,78762E-06
SVEN_5222	0,53	4,27062E-05
SVEN_0613	0,53	6,01451E-05
SVEN_7046	0,53	0,003207892
SVEN_0506	0,53	0,01582415
SVEN_6095	0,53	0,01845526
SVEN_1300	0,53	0,02152264
SVEN_7112	0,53	0,02200256
SVEN_1606	0,53	0,03348223
SVEN_0505	0,53	0,05330183
SVEN_0293	0,53	0,08891771
SVEN_5911	0,53	0,09233136
SVEN_7199	0,53	0,2221179
SVEN_0268	0,53	0,234624
SVEN_7349	0,53	0,2426282
SVEN_0782	0,53	0,2578335
SVEN_1840	0,53	0,2952133
SVEN_0079	0,53	0,330445
SVEN_5172	0,53	0,3572756
SVEN_7356	0,53	0,3724598
SVEN_5136	0,53	0,473726
SVEN_1362	0,53	0,5403692
SVEN_6969	0,53	0,5408991
SVEN_t34	0,53	0,5611946
SVEN_5664	0,52	1,60468E-06
SVEN_2986	0,52	6,30959E-06
SVEN_3468	0,52	8,49912E-06
SVEN_2810	0,52	0,000280058
SVEN_4976	0,52	0,00070326
SVEN_0358	0,52	0,005415505
EBG00001120681	0,52	0,008125997
SVEN_5945	0,52	0,008695464
SVEN_0081	0,52	0,01617159
SVEN_6929	0,52	0,02712496
SVEN_3005	0,52	0,0422877
SVEN_0141	0,52	0,04530048
SVEN_5943	0,52	0,05930574
SVEN_7066	0,52	0,06321819
SVEN_3752	0,52	0,07849885
SVEN_3349	0,52	0,07873839
SVEN_0243	0,52	0,1320555
SVEN_2143	0,52	0,1716787
SVEN_7016	0,52	0,2074891
SVEN_2503	0,52	0,2858195
SVEN_6265	0,52	0,432625
SVEN_7114	0,52	0,4673458
SVEN_6239	0,52	0,4879618
SVEN_5299	0,52	0,5059505
SVEN_3888	0,51	1,72859E-05
SVEN_3021	0,51	1,81456E-05
SVEN_2014	0,51	6,15036E-05
SVEN_2012	0,51	0,000103974
SVEN_2307	0,51	0,000430474
SVEN_4483	0,51	0,00090589
SVEN_0290	0,51	0,002518234
SVEN_5848	0,51	0,004550632
SVEN_6330	0,51	0,1941858
SVEN_2150	0,51	0,1761266
SVEN_5722	0,51	0,2117911
SVEN_t22	0,51	0,2425484
SVEN_3882	0,51	0,2525389
SVEN_5705	0,51	0,3034817
SVEN_0237	0,51	0,3417436
SVEN_5941	0,51	0,3937423
SVEN_2158	0,51	0,5317199
SVEN_0503	0,51	0,5973187
SVEN_3740	0,5	3,28674E-07
SVEN_2015	0,5	2,33534E-05
SVEN_5856	0,5	0,000131859
SVEN_2572	0,5	0,000478209
SVEN_t50	0,5	0,000567123
SVEN_0909	0,5	0,001584674
SVEN_5040	0,5	0,003775873
SVEN_6154	0,5	0,005795732
SVEN_6475	0,5	0,007148644
SVEN_3697	0,5	0,008854963
SVEN_6930	0,5	0,01310712
SVEN_5916	0,5	0,03663005
SVEN_4677	0,5	0,03999402
SVEN_6148	0,5	0,05125374
SVEN_0954	0,5	0,06882766
SVEN_7043	0,5	0,0726107
SVEN_3126	0,5	0,09307211
SVEN_3565	0,5	0,100946
SVEN_5914	0,5	0,1216518
SVEN_3605	0,5	0,1394908
SVEN_6192	0,5	0,1576467
SVEN_4933	0,5	0,2310815
SVEN_3983	0,5	0,2531396
SVEN_3065	0,5	0,2929063
SVEN_5700	0,5	0,3575652
SVEN_6697	0,5	0,4019241
SVEN_5625	0,5	0,4074531
SVEN_4941	0,5	0,5030481
