gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO0750	0,51	0,55	0,63	0,26	0,32	0,0006									
SCO0753	0,34	0,81	1,44	0,77	0,98	0,2874									
SCO0777	0,95	1,27	0,99	1,79	2,11	0,201									
SCO0778	1,56	1,67	1,24	1,96	2,35	0,007									
SCO0779	1,11	1,2	1,27	1,32	2,15	0,1211									
SCO0781	1,14	1,69	1,16	1,68	2,01	0,074									
SCO0832	1,72	1,4	1,05	2,45	2,97	0,0006									
SCO0833	1,48	1,04	1,32	2,91	3,58	0,0007									
SCO0834	1,18	1,6	0,93	2,08	1,84	0,0012									
SCO0850	1,29	1,29	1,2	2,84	2,74	0,0012									
SCO0861	1,61	0,68	0,85	0,5	0,68	0,372									
SCO0867	0,81	0,73	0,82	0,48	0,47	0,1618									
SCO0876	0,69	1,03	0,39	1,14	1,04	0,4689									
SCO0919	1,16	1,15	0,94	2,07	2,21	0,0848									
SCO0930	0,52	1,02	0,54	0,47	0,55	0,0106									
SCO0931	0,76	0,86	0,5	1	1,05	0,4654									
SCO0933	0,88	0,91	1,45	2,16	2,13	0,0638									
SCO0934	2,16	7,64	1,53	9,2	11,38	0									
SCO0935	1,15	1,34	1,42	1,91	2,62	0,0174									
SCO0936	1,44	2,04	1,25	1,85	2,44	0,0042									
SCO0939	1,35	0,93	0,39	1,04	0,88	0,6534									
SCO0941	1,56	1,56	1,06	2,22	2,25	0,0046									
SCO0955	0,47	0,58	0,51	0,45	0,51	0,0087									
SCO0985	0,91	0,71	0,9	0,53	0,44	0,2399									
SCO0986	0,59	0,8	0,63	0,62	0,49	0,0726									
SCO0989	0,76	0,5	1,07	1,14	1,09	0,5637									
SCO0995	0,6	0,58	0,68	0,48	0,56	0,0273									
SCO0996	0,53	0,59	0,52	0,46	0,43	0,0057									
SCO0999	0,73	0,58	1,16	0,34	0,5	0,0246									
SCO1023	0,42	0,76	0,92	0,61	0,74	0,2287									
SCO1053	2,07	0,79	1,45	1,23	1,11	0,2838									
SCO1088	1,44	2,12	1,19	1,94	1,9	0,005									
SCO1089	1,6	2,11	0,89	2,18	2,59	0,0046									
SCO1105	0,49	0,99	0,44	0,78	0,6	0,0826									
SCO1107	2,11	1,56	1,32	2,41	1,99	0,0012									
SCO1108	0,91	1,15	0,82	2,02	0,94	0,5799									
SCO1143	1,94	2,37	1,51	3,41	3,53	0						type	B	1	
SCO1150	1,83	1,15	1,86	1,48	2,54	0,0103									
SCO1158	0,9	0,58	1,3	0,48	0,59	0,2146									
SCO1161	0,45	0,59	0,83	0,59	0,53	0,0742									
SCO1172	1,69	2,18	0,89	1,78	1,75	0,0054									
SCO1178	2,33	1,74	1,14	1,05	1,07	0,0519									
SCO1195	1,33	1,82	1,33	2,27	2,69	0,0008									
SCO1197	0,49	0,65	1,38	0,68	0,56	0,2791									
SCO1200	0,52	0,46	0,84	0,51	0,4	0,0225									
SCO1205	0,52	0,43	0,8	2,28	1,76	0,3145									
SCO1208	1,32	1,24	1,37	1,65	2,01	0,0652									
SCO1216	0,39	0,77	1,48	0,86	0,83	0,6515									
SCO1235	1,6	2,17	0,47	0,91	1,01	0,1835									
SCO1236	1,65	1,95	0,43	0,92	0,84	0,494									
SCO1288	2,03	1,55	0,79	1,15	1,13	0,3279									
SCO1319	1,31	2,27	1,06	1,8	1,83	0,0061									
SCO1346	1,11	2,15	1,15	1,56	1,34	0,0219									
SCO1357	0,42	0,76	0,69	0,52	0,68	0,0057									
SCO1403	0,42	0,72	1,26	0,92	0,82	0,5162									
SCO1415	1,13	2,58	1,03	3,44	3,47	0									
SCO1416	1,08	2,17	1,42	2,89	3,42	0,0003									
SCO1426	1,07	1,43	1,03	3,35	3,4	0,0009									
SCO1431	0,85	1,3	1,09	2,14	2,03	0,0407									
SCO1451	0,67	0,69	0,79	0,5	0,48	0,0997									
SCO1480	0,64	1,02	0,56	0,47	0,6	0,0981									
SCO1485	0,83	0,42	0,83	0,94	0,77	0,3451									
SCO1488	0,66	0,46	0,64	1,23	0,61	0,1483									
SCO1489	0,45	0,66	0,81	0,67	0,89	0,1745									
SCO1540	0,45	0,82	0,89	0,93	1,13	0,5805						SsgB			
SCO1541	1,42	3,46	1,15	4,52	6,78	0									
SCO1550	0,35	0,32	0,9	0,45	0,67	0,0008									
SCO1557	0,31	0,57	0,86	0,31	0,32	0,0068									
SCO1558	0,57	0,94	0,89	0,37	0,49	0,0944									
SCO1571	0,55	0,82	0,48	0,51	0,58	0,0383									
SCO1575	0,47	0,79	0,61	1,28	1,29	0,2031									
SCO1599	0,77	1,08	0,5	0,38	0,59	0,0392									
SCO1627	0,66	0,68	0,68	0,38	0,43	0,018									
SCO1628	0,64	0,64	0,67	0,55	0,47	0,049									
SCO1629	0,57	0,81	0,68	0,47	0,5	0,0546									
SCO1630	0,63	0,69	0,74	0,45	0,5	0,0523						PrcA			
SCO1643	0,39	0,74	0,98	0,74	0,9	0,4048						PrcB			
SCO1644	0,45	0,8	0,98	0,76	1,09	0,6738									
SCO1645	0,44	0,78	0,73	0,66	0,86	0,1874						protein			
SCO1659	0,58	1,54	1,09	2,95	2,11	0,0288									
SCO1660	0,48	1,54	0,97	2,09	1,68	0,8755									
SCO1661	0,33	0,97	1,27	1,81	1,41	0,9285									
SCO1662	0,45	0,83	1,06	1,18	1,01	1,0299									
SCO1668	1,62	1,13	0,91	2,19	2,44	0,014									
SCO1675	0,73	0,88	0,82	0,41	0,86	0,1245									
SCO1700	1,22	2,91	0,79	0,73	1,51	0,0159									
SCO1708	0,36	0,72	1,07	1,07	1	0,4819						1			
SCO1749	1,09	2,02	1,07	2,04	2,85	0,0021									
SCO1781	0,49	0,85	0,83	0,79	0,85	0,2976									
SCO1792	2,01	1,79	1,03	0,62	0,91	0,3302									
SCO1800	0,44	0,61	0,87	0,26	0,48	0,0054									
SCO1811	0,52	0,75	0,72	0,52	0,37	0,0161									
SCO1828	0,91	2,83	1,21	2,33	2,62	0									
SCO1860	0,76	1,07	0,84	0,66	0,43	0,2149									
SCO1862	0,45	0,98	1,26	0,93	0,97	1,1326									
SCO1874	0,67	1,35	1,04	2,76	2,14	0,0299									
SCO1913	0,46	0,85	1,11	1,01	0,93	0,9808									
SCO1919	0,51	0,88	0,73	0,36	0,46	0,025									
SCO1920	0,6	0,93	0,81	0,42	0,47	0,1066									
SCO1921	0,75	1,14	0,59	0,5	0,53	0,1849									
SCO1922	0,69	1,09	0,6	0,39	0,4	0,0415									
SCO1923	0,7	0,94	0,5	0,32	0,35	0,0087									
SCO1925	0,52	0,8	0,69	0,5	0,52	0,0737									
