gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO3867	1,35	1,77	1	2,73	3,42	0,0007									
SCO3870	0,47	0,59	0,49	0,37	0,3	0,001									
SCO3871	0,48	0,96	0,81	1,51	1,11	0,7331									
SCO3880	0,5	0,79	0,82	0,39	0,48	0,0275						(RNase	P)		
SCO3881	0,48	0,85	1,09	0,62	0,73	0,4606									
SCO3889	0,43	0,76	0,75	0,53	0,47	0,0489						1,8,1,9)			
SCO3890	0,63	0,67	0,79	0,38	0,35	0,0249									
SCO3899	0,43	0,86	0,66	0,69	0,91	0,0913									
SCO3906	0,64	0,82	0,64	0,33	0,52	0,0189						(SSB	2)		
SCO3907	0,77	1,11	0,77	0,57	0,74	0,6768						1			
SCO3908	0,56	0,95	0,51	0,3	0,4	0,0065									
SCO3909	0,73	1,34	0,81	0,5	0,78	0,6799									
SCO3918	1,83	1,74	1,18	1,63	2,13	0,0068									
SCO3924	0,48	0,52	0,6	0,65	0,67	0,0303									
SCO3937	1,09	0,82	0,77	0,74	0,61	0,4147						(Fragment)			
SCO3938	0,71	0,43	1,2	0,84	0,9	0,3616									
SCO3962	0,49	0,67	0,72	0,49	0,5	0,0321									
SCO3965	0,94	0,73	0,57	0,37	0,36	0,0197									
SCO3966	0,75	0,78	0,62	0,44	0,45	0,0536									
SCO3967	0,66	0,62	0,96	0,4	0,39	0,0415									
SCO3968	0,64	0,7	0,83	0,39	0,4	0,0292									
SCO3975	1,1	1,33	1,19	2,39	2,86	0,0048									
SCO3976	0,49	0,59	1,09	1,3	1,35	0,6152									
SCO3986	0,83	1,75	1,24	2,09	1,51	0,0313									
SCO3990	0,42	0,53	0,88	0,85	0,66	0,0509									
SCO3991	0,65	0,59	0,86	0,45	0,64	0,0665									
SCO3992	1,09	0,48	0,87	0,53	0,5	0,0522									
SCO3993	0,48	0,66	0,93	0,7	0,54	0,1402									
SCO3998	0,6	0,68	0,95	0,49	0,58	0,1445									
SCO4032	1,07	0,72	0,39	1,56	1,59	0,1364									
SCO4037	0,5	0,5	0,91	0,66	0,76	0,1043									
SCO4057	1,37	3,16	1,55	5,87	7,3	0									
SCO4060	1,44	1,42	1,54	1,32	2,32	0,0153									
SCO4088	0,47	0,85	0,7	0,66	0,51	0,0723									
SCO4091	0,48	1,02	1,08	0,54	0,76	0,3394									
SCO4100	0,82	0,73	0,77	0,57	0,48	0,1718									
SCO4112	0,45	0,76	0,79	1,09	0,85	0,6912									
SCO4113	0,47	0,78	1,08	1,07	0,99	0,9039									
SCO4118	0,5	1	1,13	1,08	0,81	1,1321									
SCO4131	0,49	0,95	0,58	0,67	0,72	0,1044									
SCO4142	1,7	1,94	0,33	1,06	0,82	0,68									
SCO4164	0,48	0,48	0,62	0,36	0,46	0,0029									
SCO4165	0,35	0,6	1,31	0,83	1,2	0,2744									
SCO4178	0,46	0,79	0,47	0,52	0,55	0,0107									
SCO4187	1,12	1,55	0,63	1,2	2,48	0,1106									
SCO4200	0,41	0,74	0,48	0,7	0,69	0,0252									
SCO4211	3,11	0,9	0,98	1	1,07	0,3839									
SCO4212	0,42	2,29	1,78	2,31	2,29	0,0009									
SCO4214	0,32	0,26	0,76	0,22	0,17	0									
SCO4223	1,87	2,7	1,22	1,21	1,17	0,016									
SCO4225	0,99	3,03	1,2	1,37	1,86	0,005									
SCO4231	0,47	1,01	1,1	1,04	0,96	1,1755									
SCO4232	0,31	0,79	0,58	0,5	0,56	0,0108									
SCO4240	0,49	0,57	0,82	0,62	0,7	0,1214									
SCO4266	3,58	2,09	1,48	0,7	0,95	0,0079									
SCO4277	0,4	0,92	0,64	0,51	0,56	0,0372									
SCO4289	1,24	3,13	1,53	2,1	2,26	0,0003									
SCO4294	0,3	0,48	0,66	0,35	0,35	0,0006									
SCO4295	0,4	0,69	0,44	0,4	0,54	0,0045									
SCO4296	0,54	0,58	0,61	0,44	0,55	0,0103									
SCO4297	0,74	0,73	0,96	0,45	0,39	0,1257									
SCO4300	0,28	0,72	1,06	0,82	0,89	0,1335									
SCO4340	0,57	0,68	0,78	0,33	0,32	0,0156									
SCO4344	0,72	0,8	1,57	1,35	2,17	0,1901									
SCO4346	0,8	0,81	0,73	0,64	0,5	0,1255									
SCO4347	0,7	0,99	0,52	0,75	0,49	0,1473									
SCO4408	0,4	0,65	1,19	0,61	0,64	0,1567									
SCO4409	0,51	0,71	0,77	0,52	0,49	0,0699									
SCO4438	0,49	0,82	1,18	1,15	0,99	1,0205									
SCO4441	0,45	0,64	0,88	0,52	0,61	0,1041									
SCO4442	0,51	0,48	0,78	0,24	0,55	0,001									
SCO4486	0,38	1,19	1,05	0,84	0,86	0,7324									
SCO4496	0,71	0,79	0,96	0,49	0,46	0,2376									
SCO4497	0,61	0,73	0,52	0,53	0,39	0,0135									
SCO4498	0,39	0,48	0,87	0,48	0,41	0,0157									
SCO4509	0,46	0,8	0,75	0,49	0,41	0,0244									
SCO4520	2,2	1,13	1,32	1,7	1,23	0,056									
SCO4531	0,65	0,5	1,06	1,26	1,4	0,816									
SCO4540	0,84	0,99	0,71	0,65	0,45	0,1484									
SCO4544	0,46	0,71	0,78	0,69	0,54	0,0973									
SCO4557	0,42	0,68	1,13	1,06	1,64	0,4588									
SCO4561	0,44	0,95	0,58	0,41	0,48	0,0106									
SCO4581	0,41	0,61	0,76	0,5	0,55	0,0238									
SCO4582	0,47	0,86	0,71	0,92	0,9	0,5343									
SCO4596	0,48	0,61	0,93	1,02	0,93	0,2946									
SCO4616	1,09	0,82	0,13	0,58	0,33	0,0047									
SCO4619	0,98	1	0,42	0,83	0,57	0,3773									
SCO4623	1,36	0,5	0,91	0,9	0,77	0,2844									
SCO4626	1,41	1	0,44	0,75	0,71	0,4101									
SCO4633	0,82	0,86	1,07	2,1	1,17	0,3885						L33	2		
SCO4635	0,73	1,05	0,66	0,41	0,57	0,072									
SCO4636	0,82	0,88	0,65	0,47	0,65	0,1418									
SCO4640	1,43	1,07	0,48	0,84	0,85	0,432									
SCO4642	1,4	0,83	0,37	0,81	0,77	0,1191									
SCO4646	0,32	0,56	0,86	0,36	0,45	0,0051									
SCO4648	0,75	1,06	0,57	0,38	0,55	0,0745									
SCO4649	0,65	0,98	0,55	0,41	0,63	0,0723									
SCO4652	0,65	0,92	0,81	0,48	0,97	0,4591									
SCO4660	1,03	1,43	0,52	0,45	0,71	0,2897									
SCO4662	0,67	0,97	0,67	0,41	0,72	0,1416									
SCO4672	0,5	0,62	0,8	0,67	0,69	0,1357									
SCO4677	0,33	0,46	0,64	0,27	0,51	0,0014									
SCO4678	0,49	0,45	0,71	0,33	0,42	0,0085									
SCO4679	0,39	0,51	0,48	0,29	0,29	0									
SCO4683	0,48	0,59	1,03	0,64	0,68	0,2101									
SCO4684	0,47	1,23	0,78	0,52	0,53	0,0723									
SCO4687	0,37	0,49	0,67	0,37	0,38	0,0016									
SCO4701	0,47	0,66	0,57	0,31	0,48	0,0036									
SCO4702	0,82	0,98	0,58	0,36	0,64	0,0794									
SCO4704	0,82	1,21	0,85	0,46	0,79	0,5726									
SCO4706	0,57	0,68	0,44	0,35	0,5	0,003									
SCO4707	0,74	1,11	0,47	0,38	0,61	0,0534									
SCO4709	0,69	1,02	0,66	0,4	0,75	0,1627									
SCO4711	0,84	1,19	0,64	0,4	0,71	0,2302									
SCO4712	0,53	0,74	0,68	0,34	0,63	0,0212									
SCO4713	0,78	1,04	0,75	0,43	0,79	0,3282									
SCO4714	0,76	0,97	0,63	0,41	0,8	0,1974						type	Z		
SCO4715	0,77	1,01	0,9	0,48	0,87	0,6632									
SCO4716	0,73	0,98	0,63	0,43	0,69	0,1663									
SCO4717	0,74	0,91	0,76	0,48	0,85	0,4317									
SCO4718	0,73	1,02	0,6	0,42	0,75	0,1871									
SCO4720	0,64	0,96	0,75	0,47	0,8	0,2823									
SCO4721	0,57	0,89	0,64	0,4	0,72	0,0842									
SCO4725	0,92	1,07	0,63	0,42	0,71	0,2135									
SCO4727	1,05	1,26	0,52	0,48	0,84	0,2907									
SCO4730	0,89	1,36	0,55	0,48	0,88	0,4653									
SCO4734	0,8	1,03	0,56	0,43	0,54	0,0645									
SCO4759	1,13	1,7	0,84	2,15	2,05	0,0159						protein)			
SCO4761	0,65	0,63	0,48	0,34	0,49	0,0028						(HSP58)			
SCO4762	0,45	0,51	0,59	0,45	0,5	0,0045									
SCO4768	0,43	0,77	0,68	0,54	0,91	0,0995									
SCO4779	1,01	2,09	0,87	1,11	1,45	0,1066									
SCO4789	0,48	0,73	0,43	0,49	0,52	0,0077									
SCO4793	0,37	0,49	0,91	0,3	0,36	0,0085									
SCO4822	0,46	0,91	0,63	1,04	0,98	0,6163									
SCO4858	0,62	0,89	0,44	0,58	0,72	0,0766									
SCO4883	0,47	0,79	0,65	0,51	0,52	0,0417									
SCO4895	0,47	0,73	0,89	0,95	0,73	0,4146									
SCO4908	0,87	3,05	0,81	1,6	2,57	0,0018									
SCO4920	0,47	0,88	0,83	0,54	0,72	0,2337						MsrA			
SCO4956	0,54	0,52	0,66	0,36	0,33	0,006									
SCO4967	0,51	0,69	0,73	0,48	0,4	0,031									
SCO4983	0,36	0,76	0,87	0,64	0,66	0,1349									
SCO5000	2,11	1,3	1,13	1,31	1,8	0,0403									
SCO5007	0,37	0,56	0,97	0,91	0,97	0,1778									
SCO5028	1,31	1,52	1,1	2,46	3,3	0,0017									
SCO5029	0,67	1	0,56	0,31	0,47	0,0192									
SCO5032	1,7	2,27	0,51	1,07	1,02	0,1761									
SCO5060	0,48	0,81	1,43	1,37	1,26	1,1995									
SCO5071	1,28	0,57	1,86	0,53	0,34	0,0895									
SCO5074	1,56	0,79	1,22	0,37	0,2	0,0542									
SCO5075	1,91	1,14	1,04	0,47	0,26	0,2395									
SCO5078	1,3	0,91	1,08	0,51	0,3	0,2959									
SCO5079	1,37	0,79	1,25	0,63	0,37	0,5422									
SCO5080	1,47	1,1	1,1	0,79	0,42	0,9473									
SCO5081	2,07	1,14	1,08	0,54	0,34	0,5452									
SCO5083	3,83	1,92	1,32	0,99	1,26	0,0073									
SCO5084	5,06	1,93	1,35	0,97	1,5	0,0006						protein			
SCO5085	2,27	1,46	1,72	0,55	0,45	0,1122						1,3,1,‐)			
SCO5086	1,16	0,87	1,43	0,64	0,44	0,3573									
SCO5088	0,88	0,67	0,97	0,74	0,36	0,187									
SCO5089	2,12	0,73	1,61	0,3	0,14	0,0192									
SCO5090	0,89	1,02	0,87	0,69	0,45	0,534									
SCO5091	1,3	0,93	1,19	0,77	0,5	1,0974						1,‐,‐,‐)	(actI	ORF6)	
SCO5092	1,52	1,11	0,98	0,7	0,45	0,8615									
SCO5117	0,97	1,59	1	1,98	2,14	0,0192									
SCO5123	0,29	0,72	0,44	0,63	1,07	0,0108									
SCO5135	0,35	0,61	0,64	0,42	0,57	0,0085									
SCO5137	0,48	0,59	0,94	0,63	0,65	0,1448									
SCO5145	0,36	0,92	0,61	0,66	0,4	0,0157									
SCO5169	0,36	0,67	1,13	1,07	0,57	0,2905									
SCO5170	0,42	0,66	0,88	0,59	0,73	0,1492									
SCO5172	0,54	0,54	0,86	0,46	0,52	0,0497									
SCO5175	0,92	0,85	0,82	0,42	0,56	0,2426									
SCO5177	0,97	0,97	0,73	0,43	0,52	0,2194									
SCO5178	0,47	0,63	0,74	0,32	0,37	0,0086									
SCO5187	0,67	0,81	0,85	0,51	0,49	0,1035									
SCO5190	0,73	1,42	0,58	1,06	2,24	0,0453									
SCO5191	0,78	1,81	0,66	0,98	2,58	0,0213									
SCO5206	0,49	0,73	0,72	0,48	0,46	0,0244						factor	SigR		
SCO5216	0,65	0,83	0,7	0,5	0,55	0,1211						of	SigR)		
SCO5217	0,54	0,56	0,74	0,45	0,51	0,0259						4)			
SCO5221	0,43	0,75	0,75	0,75	0,66	0,1853									
SCO5227	0,44	0,78	1,81	0,72	1,33	0,5903									
SCO5230	0,49	0,58	0,62	0,3	0,39	0,0027									
SCO5240	0,73	0,82	0,57	0,35	0,56	0,0133									
SCO5245	0,54	0,72	0,49	0,55	0,46	0,0109									
SCO5249	1,45	1,62	0,76	1,77	2,21	0,0046									
SCO5250	1,11	1,22	0,98	1,79	2,04	0,0469									
SCO5257	0,85	0,75	0,97	0,44	0,34	0,1476									
SCO5268	1,38	1,05	1,31	1,75	2,44	0,0606									
SCO5269	0,9	1,16	0,98	2,02	2,28	0,0873									
SCO5281	0,54	0,84	0,62	0,53	0,49	0,0611									
SCO5286	1,24	1,19	1,16	1,66	2,05	0,1351									
SCO5303	1,21	1,59	1,47	2,5	3,41	0,0008						VII)			
SCO5314	1,08	2,36	1,32	2,98	4,75	0						VI)			
SCO5315	1,73	3,46	0,91	4,1	6,48	0						(WhiE	ORF	III)	
SCO5318	1,09	1,77	1,21	2,24	2,46	0,0009						locus	(WhiE	ORF	II)
SCO5319	1,21	2,57	1,11	2,43	2,86	0,0005						locus	(WhiE	ORF	I)
SCO5320	0,79	1,27	1,43	1,89	2,13	0,0521						VIII)			
SCO5321	1,07	1,56	1,33	2,09	2,33	0,0095									
SCO5329	0,56	0,6	0,59	0,37	0,3	0,0035									
SCO5351	0,35	0,52	0,9	0,49	0,61	0,0209									
SCO5359	0,6	0,97	0,52	0,47	0,49	0,0251									
SCO5374	0,5	0,98	0,76	0,66	0,78	0,4592									
SCO5389	0,64	1,52	0,45	0,55	0,7	0,2032									
SCO5390	0,49	0,71	0,92	0,6	0,62	0,2026									
SCO5396	0,48	0,75	0,6	0,54	0,66	0,0731									
SCO5405	0,59	0,82	0,55	0,56	0,5	0,0417									
SCO5409	0,41	0,73	0,78	1,06	0,99	0,4922									
SCO5439	0,98	2,1	0,77	1,27	1,1	0,0691									
SCO5461	1,07	2,18	0,73	1,78	1,7	0,0057									
SCO5464	0,55	0,59	0,7	0,48	0,39	0,0141									
SCO5484	1,96	1,84	0,37	3,03	3,55	0									
SCO5485	1,18	1,01	0,68	2,21	1,95	0,0138									
SCO5514	0,57	0,96	0,65	0,5	0,65	0,1679									
SCO5521	0,91	0,79	0,48	0,68	0,85	0,2156									
SCO5537	0,53	0,82	0,77	0,5	0,5	0,0638									
SCO5539	0,51	0,56	0,92	0,62	0,48	0,0416									
SCO5543	0,77	0,98	0,65	0,62	0,46	0,1866									
SCO5550	0,47	0,75	1,15	0,89	0,92	0,883									
SCO5556	1,16	2,65	1,2	2,29	2,26	0,0004									
SCO5571	0,68	1,09	0,69	0,48	0,65	0,2441									
SCO5578	1,31	1,56	1,14	3,19	2,75	0,001									
SCO5583	2,99	2,97	0,48	1,63	1,35	0,0012									
SCO5584	3,18	3,27	0,52	1,51	1,15	0,0008									
SCO5585	1,8	2,13	0,74	1,29	1,05	0,054									
SCO5590	0,47	0,72	0,89	0,38	0,6	0,0745									
SCO5601	0,94	0,49	1,19	0,76	0,92	0,538									
SCO5605	0,29	0,66	0,73	0,52	0,5	0,0109									
SCO5609	0,3	0,68	0,45	1,74	1,23	0,0327									
SCO5611	0,8	0,56	0,42	0,69	0,51	0,0125									
SCO5614	2,07	1,62	1,13	0,88	1,32	0,1348									
SCO5630	0,6	0,53	0,8	0,43	0,61	0,0327									
SCO5640	2,07	0,52	0,75	0,67	0,66	0,9216									
SCO5642	0,73	0,72	0,83	0,48	0,45	0,0585									
SCO5650	0,74	0,86	0,57	0,48	0,66	0,0784									
SCO5652	1,26	1,64	1,12	1,42	2,15	0,0482									
SCO5653	1,25	1,59	1,09	2	1,84	0,0128									
SCO5654	1,21	1,62	1,26	2,15	2,07	0,005									
SCO5672	1,3	2,69	1,26	3,44	4,18	0									
SCO5724	0,39	0,68	0,63	0,34	0,36	0,0066									
SCO5725	0,44	0,78	0,6	0,3	0,29	0,0031									
SCO5729	0,59	0,69	0,61	0,43	0,39	0,0135									
SCO5741	0,46	0,87	1,13	1,15	1,3	1,129									
SCO5758	0,49	0,79	0,83	0,8	0,95	0,4542									
SCO5771	0,39	0,32	1,12	0,25	0,3	0,0087									
SCO5772	0,32	0,36	0,84	0,32	0,34	0,0034									
SCO5777	0,68	2,61	1,04	1,46	1,77	0,0117									
SCO5790	1,04	1,42	1,77	1,75	1,78	0,0073									
SCO5809	0,49	0,76	0,86	0,89	0,83	0,5532									
SCO5864	0,3	0,44	0,66	0,41	0,68	0,0035									
SCO5877	0,75	0,5	0,83	0,4	0,3	0,0136									
SCO5880	1,03	0,71	0,94	0,47	0,44	0,0806									
SCO5885	1,02	0,6	0,88	0,74	0,31	0,1379									
SCO5887	0,37	0,46	0,93	1,03	0,99	0,0765									
SCO5889	1,22	0,43	0,73	0,44	0,28	0,0106									
SCO5895	1,13	0,68	0,76	0,57	0,48	0,1493									
SCO5898	0,71	0,82	0,84	0,51	0,46	0,1665									
SCO5907	1,16	1,54	2,34	4,23	6,33	0									
SCO5918	1,86	2,89	1,51	1,98	2,57	0									
SCO5919	2,84	2,87	1,25	1,39	1,8	0,0006									
SCO5920	1,89	3,44	1,14	1,18	1,58	0,0014									
SCO5921	0,58	1,24	0,66	0,49	0,66	0,1002									
SCO5936	2,22	1,27	0,95	0,99	0,97	0,4964									
SCO5955	0,49	0,93	1,08	1,19	1,02	1,2158									
SCO5957	1,12	0,91	1,05	2,4	2	0,0824									
SCO5961	0,59	0,5	0,78	0,94	0,88	0,1962									
SCO5987	1,14	2,7	1,07	1,59	2,61	0,001									
SCO5989	1,75	2,01	1,05	1,86	2,28	0,0058									
SCO5990	2,6	3,69	1,21	2,83	4,21	0									
SCO5995	0,48	0,64	0,83	0,77	0,81	0,3571									
SCO6000	0,39	0,75	0,64	0,65	0,74	0,0789									
SCO6001	0,48	0,83	0,82	0,95	0,69	0,5177						protein			
SCO6010	1,19	2,06	0,89	1,76	1,76	0,1038									
SCO6014	0,91	1,49	0,93	2,55	2,55	0,0092									
SCO6029	1,6	2,12	0,92	2,61	3,82	0,0003									
SCO6045	0,93	1,2	1,2	2,2	2,66	0,0112									
SCO6053	0,87	1,17	1,11	2,05	1,74	0,153									
SCO6061	0,48	0,68	0,66	0,46	0,42	0,0125									
SCO6067	0,38	1,4	0,64	1,73	0,86	0,543									
SCO6079	0,43	0,71	0,89	0,6	0,75	0,1825									
SCO6102	0,54	0,44	0,67	0,57	0,56	0,0199									
SCO6124	0,99	3,01	0,67	1,38	1,4	0,0335									
SCO6126	0,78	2	0,84	1,39	1,36	0,5584						RsgA			
SCO6149	1,13	1,49	0,87	1,33	2,12	0,0348									
SCO6158	0,44	0,84	1,62	1,2	1,21	1,1132									
SCO6162	0,64	0,72	0,86	0,45	0,46	0,0867									
SCO6164	0,26	0,23	1,25	0,17	0,17	0									
SCO6165	0,53	0,41	1,04	0,38	0,34	0,0168									
SCO6166	0,6	0,71	1,04	0,61	0,49	0,2028									
SCO6197	0,37	0,41	0,63	0,21	0,22	0									
SCO6202	1,33	1,22	1,17	2,12	2,57	0,0299									
SCO6207	0,44	0,87	1,19	1,39	0,78	0,8833									
SCO6241	3,57	1,27	2	1,36	1,27	0,005									
SCO6265	0,68	1,23	0,71	0,38	0,45	0,0719									
SCO6276	0,53	0,58	0,57	0,32	0,58	0,0107									
SCO6277	0,74	1,03	0,79	0,47	0,96	0,6336									
SCO6279	0,54	0,7	1,58	0,5	0,95	0,2825									
SCO6282	0,26	0,4	0,85	0,23	0,57	0,003									
SCO6283	0,65	0,78	1,19	0,47	0,78	0,3852									
SCO6318	1	1	0,98	1,83	2,06	0,1297									
SCO6323	0,6	0,58	0,73	0,5	0,45	0,0344									
SCO6324	1,35	2,41	0,99	2,64	3,24	0									
SCO6332	0,87	0,75	1,58	3,85	2,07	0,0007									
SCO6373	1,02	1,28	0,9	2,05	1,64	0,2021									
SCO6377	1,48	1,99	0,94	2,43	1,88	0,0072									
SCO6388	2,13	0,94	0,75	1,37	1,21	0,5151									
SCO6389	0,79	0,95	1,17	1,99	2,12	0,0597									
SCO6429	0,66	0,51	0,82	0,41	0,34	0,0197									
SCO6433	1,27	0,71	0,73	0,27	0,25	0,0108									
SCO6434	1,15	0,69	0,75	0,48	0,46	0,143									
SCO6451	0,79	0,49	1,12	0,7	0,61	0,2952									
SCO6452	0,83	0,57	0,92	0,48	0,51	0,1249									
SCO6516	1,03	1,16	1,76	2,43	2,14	0,0096						NarJ			
SCO6533	0,49	0,89	0,94	1,23	0,94	1,1397									
SCO6543	1,29	1,34	0,98	1,68	2,28	0,0431									
SCO6549	0,35	0,37	0,89	0,32	0,31	0,0063									
SCO6624	0,34	1,16	0,52	0,42	0,63	0,0093									
SCO6631	0,47	0,8	0,63	0,47	0,45	0,0193									
SCO6650	0,46	0,9	0,43	0,45	0,55	0,0033									
SCO6655	0,51	0,95	0,47	0,47	0,56	0,0098									
SCO6660	1,03	1,15	1,31	1,85	2,29	0,0585									
SCO6661	1,12	1,23	0,82	1,72	2,34	0,1001									
SCO6662	1,17	1,4	0,92	2,33	2,82	0,0153									
SCO6663	1	1,47	1	2,46	2,77	0,0123									
SCO6682	1,33	2,94	2,06	3,4	5,99	0									
SCO6705	1,33	1,68	1,32	2,47	2,48	0,0034									
SCO6715	1,69	4,15	0,73	0,74	1,63	0,016									
SCO6716	0,63	2,11	1,32	1,24	1,48	0,0432									
SCO6727	1,34	1,73	1,2	1,5	2,7	0,009									
SCO6736	0,4	0,42	0,85	0,38	0,28	0,0076									
SCO6761	0,42	0,89	1,45	1,55	1,99	1,2241									
SCO6797	0,64	0,77	0,57	0,48	0,5	0,0372									
SCO6808	0,48	0,69	0,57	0,42	0,44	0,0083									
SCO6821	0,59	0,72	2,13	1,6	0,77	0,8419									
SCO6823	0,48	0,78	0,97	0,49	0,95	0,2338									
SCO6828	0,59	0,57	0,62	0,49	0,46	0,0078									
SCO6831	2,16	1,14	0,94	1,23	1	0,3292									
SCO6933	1	1,17	0,89	2,02	2,17	0,0453									
SCO6946	1,98	1,85	2,62	1,6	2,69	0									
SCO7008	2,31	2,08	1,12	0,97	1,08	0,0663									
SCO7029	1,68	2,14	0,71	1,67	1,47	0,0377									
SCO7067	2,01	0,92	0,81	1,51	1,14	0,5822									
SCO7071	1,07	1,44	1,32	1,83	2,1	0,0313									
SCO7072	1,29	1,84	1,37	2,13	2,15	0,0073									
SCO7106	0,18	0,35	1,35	3,1	2,49	0,0536									
SCO7122	0,75	0,43	0,94	0,87	1,14	0,4424									
SCO7133	2,27	0,72	0,99	1,17	1,33	0,2874									
SCO7153	1,28	1,72	1,15	3,27	2,97	0,0006									
SCO7154	0,5	0,99	0,75	0,56	0,68	0,2816									
SCO7178	2,03	1,21	0,49	1,53	1,07	0,4326						system	permease		
SCO7184	0,9	1,18	0,44	0,95	1,12	0,9282									
SCO7189	1,31	0,49	1,01	0,82	0,64	0,2567									
SCO7190	1,48	1,02	0,91	0,8	0,48	0,7647									
SCO7232	0,62	0,92	0,98	1,83	2,24	0,2775									
SCO7251	0,48	0,62	0,87	0,51	0,6	0,066									
SCO7277	1,44	1,31	1,06	2	2,6	0,0124									
SCO7306	0,6	1,09	0,55	0,34	0,53	0,0109									
SCO7312	0,41	0,85	1,05	1,17	1,08	1,0835									
SCO7333	1,49	1,69	1,12	2,2	2,54	0,0061									
SCO7335	1,08	1,28	0,98	1,97	2,04	0,0583									
SCO7336	2,21	2,58	0,86	3,46	3,78	0									
SCO7337	0,78	1,25	1,11	1,89	2,12	0,096									
SCO7363	1,38	1,27	1,09	2,34	2,19	0,0249									
SCO7365	1,56	2,17	1,39	2,8	3,53	0,0005									
SCO7383	1,6	2	1,2	1,74	2,56	0,0042									
SCO7385	0,49	0,9	1,16	1,08	0,95	1,1546									
SCO7392	2,83	1,33	1,03	1,25	1,41	0,0825									
SCO7426	1,71	2,31	1,49	1,48	2,55	0,0006									
SCO7427	0,39	0,7	1,56	1,51	1,46	0,8849									
SCO7434	1,49	3,9	0,87	4,41	5,82	0									
SCO7449	0,92	3,16	1,43	5,75	5,7	0									
SCO7450	1,25	1,42	1,55	2,17	2,45	0,0033									
SCO7451	0,81	1,59	1,13	1,96	2,31	0,0434									
SCO7452	1,15	3,68	0,93	3,42	4,59	0									
SCO7453	2,44	6,65	1,41	5,91	8,96	0						PaaA			
SCO7471	1,87	2,23	0,67	1,37	1,58	0,0156						PaaB			
SCO7472	2,56	2,45	0,9	1,62	1,91	0,0052									
SCO7476	1,42	1,22	1,44	1,83	2,01	0,0261									
SCO7481	0,43	0,85	0,75	0,5	0,44	0,0327									
SCO7514	0,83	0,86	1,51	1,83	2,2	0,061									
SCO7524	0,42	1,5	1,36	1,62	2,08	1,2143									
SCO7528	0,96	0,61	2,03	1,5	1,73	0,1307									
SCO7536	0,71	0,47	0,76	0,43	0,35	0,0051									
SCO7555	2,09	1,36	1,09	1,27	1,39	0,1978									
SCO7598	1,75	1,4	1,4	1,35	2,1	0,0098									
SCO7613	1,08	2	1,35	1,57	1,78	0,0124									
SCO7657	0,92	0,93	0,82	0,62	0,47	0,3515									
SCO7658	0,66	0,74	0,63	0,47	0,44	0,0306									
SCO7660	1,15	1,38	1,48	1,99	2,15	0,0236									
SCO7668	0,45	0,85	1,04	0,99	0,93	1,0071									
SCO7673	1,35	1,81	1,28	2,35	2,95	0,0009									
SCO7676	0,21	0,11	2,16	0,16	0,48	0									
SCO7677	0,19	0,2	1,22	0,23	0,25	0,0006						protein			
SCO7678	0,23	0,28	1,12	0,42	0,46	0,0029						protein			
SCO7679	0,42	0,5	0,93	0,5	0,53	0,0418									
SCO7681	0,51	0,49	1,1	0,49	0,45	0,0562									
SCO7682	0,38	0,42	0,96	0,37	0,37	0,0136									
SCO7683	0,31	0,26	0,96	0,26	0,25	0,0016									
SCO7684	0,36	0,39	1,13	0,28	0,32	0,0107									
SCO7685	0,36	0,45	0,94	0,42	0,39	0,0118									
SCO7686	0,38	0,35	0,92	0,35	0,33	0,0087									
SCO7687	0,29	0,31	0,92	0,29	0,27	0,0015									
SCO7688	0,38	0,22	1,06	0,19	0,18	0,0008									
SCO7689	0,44	0,43	0,96	0,33	0,36	0,0162									
SCO7690	0,43	0,48	0,96	0,49	0,46	0,0258									
SCO7691	0,37	0,4	1,09	0,41	0,4	0,0188									
SCO7692	0,68	0,49	1,04	0,46	0,43	0,0759									
SCO7696	0,48	0,42	0,8	1,2	1,32	0,1168									
SCO7752	0,49	0,51	2	1,48	1,63	0,6721									
SCO7755	0,66	0,48	0,71	0,28	0,41	0,0044									
SCO7776	2,6	0,98	1,2	1,38	1,37	0,1349									
SCO7788	1,84	2,16	1,17	1,4	2,23	0,0033									
SCO7793	2,15	1,34	1,47	1,33	1,09	0,0875									
SCO7799	1,67	0,97	1,19	1,5	2,14	0,0708									
SCO7800	1,55	1,32	2,77	1,08	1,14	0,0448									
SCO7804	0,74	1,38	1,66	1,87	2,79	0,0089									
SCO7807	2,31	1,53	0,75	1,34	1,49	0,0814									
SCO7807	2,31	1,53	0,75	1,34	1,49	0,0814									
