logFC	FDR	gene	add_variable
-0,6976	9,00E-06	SCO1779	liquid culture
0,6325	0,003842	SCO0414	liquid culture
0,1921	0,37673	SCO3785	liquid culture
1,1604	0	SCO7324	liquid culture
1,7561	6,00E-06	SCO1893	liquid culture
0,6146	0,00226	SCO1728	liquid culture
0,8569	1,20E-05	SCO4961	liquid culture
-0,9818	1,00E-06	SCO5113	liquid culture
-1,2983	1,00E-06	SCO0808	liquid culture
0,18	0,388068	SCO0573	liquid culture
2,8526	0	SCO6750	liquid culture
1,1688	4,30E-05	SCO0349	liquid culture
-0,6705	0,000121	SCO0541	liquid culture
0,9238	5,00E-06	SCO2663	liquid culture
-0,8215	3,60E-05	SCO6987	liquid culture
-0,0467	0,858235	SCO6153	liquid culture
-0,7058	0,027417	SCO6853	liquid culture
0,598	0,028715	SCO5279	liquid culture
0,5074	0,009776	SCO1399	liquid culture
-0,1199	0,610617	SCO6378	liquid culture
1,173	2,20E-05	SCO4309	liquid culture
-0,9002	1,50E-05	SCO6617	liquid culture
0,093	0,680648	SCO7050	liquid culture
0,2071	0,364309	SCO2410	liquid culture
-0,3932	0,008462	SCO1596	liquid culture
-0,4276	0,035819	SCO2431	liquid culture
-1,2628	3,00E-06	SCO3880	liquid culture
-0,0786	0,733392	SCO4589	liquid culture
0,0478	0,839366	SCO6689	liquid culture
-0,4806	0,006789	SCO6419	liquid culture
-1,1091	1,00E-06	SCO5847	liquid culture
-1,5257	3,40E-05	SCO5833	liquid culture
-0,1742	0,37985	SCO0666	liquid culture
1,4634	0	SCO1027	liquid culture
-1,8104	0	SCO4734	liquid culture
0,5346	0,097305	SCO7524	liquid culture
-0,2876	0,088494	SCO4177	liquid culture
-0,2686	0,24689	SCO6532	liquid culture
-0,5366	0,002195	SCO3095	liquid culture
-0,4848	0,003041	SCO2119	liquid culture
0,9647	5,00E-06	SCO5748	liquid culture
0,2684	0,184538	SCO0523	liquid culture
-0,3892	0,050106	SCO3995	liquid culture
0,5059	0,13212	SCO2712	liquid culture
0,1357	0,524305	SCO1307	liquid culture
-1,0063	0	SCO4523	liquid culture
0,6312	0,009324	SCO6788	liquid culture
-0,7092	2,90E-05	SCO0789	liquid culture
0,48	0,080298	SCO3492	liquid culture
1,4551	0	SCO4590	liquid culture
0,9203	0,000367	SCO4794	liquid culture
0,3195	0,061016	SCO4968	liquid culture
0,2192	0,250756	SCO7553	liquid culture
1,2917	0,000126	SCO3034	liquid culture
-1,1078	3,00E-06	SCO6579	liquid culture
0,796	1,70E-05	SCO1468	liquid culture
0,8415	5,00E-06	SCO1610	liquid culture
-1,4476	4,00E-05	SCO3993	liquid culture
-0,2305	0,277723	SCO4810	liquid culture
-0,3269	0,086406	SCO1354	liquid culture
0,4853	0,000666	SCO4924	liquid culture
0,7967	0,000719	SCO4433	liquid culture
0,004	0,986499	SCO1708	liquid culture
0,2556	0,220535	SCO3949	liquid culture
0,4484	0,006399	SCO2103	liquid culture
0,2716	0,11613	SCO0720	liquid culture
0,7837	4,00E-06	SCO5508	liquid culture
-0,5535	0,003216	SCO1332	liquid culture
0,2041	0,283308	SCO5434	liquid culture
0,1582	0,446451	SCO7132	liquid culture
-1,4149	0	SCO3879	liquid culture
0,3395	0,104938	SCO2644	liquid culture
0,1767	0,450725	SCO3969	liquid culture
0,1824	0,313553	SCO2696	liquid culture
0,1635	0,445914	SCO3442	liquid culture
0,7304	0,00012	SCO5986	liquid culture
-0,1145	0,626944	SCO2029	liquid culture
-1,1065	0	SCO3824	liquid culture
1,7065	4,30E-05	SCO1088	liquid culture
0,0163	0,946906	SCO4864	liquid culture
-1,2991	0	SCO4601	liquid culture
-0,5055	0,002729	SCO0446	liquid culture
-0,1992	0,291186	SCO7290	liquid culture
1,7792	0	SCO6091	liquid culture
-0,0115	0,967891	SCO3588	liquid culture
-0,5063	0,004941	SCO5911	liquid culture
-0,4266	0,012963	SCO5422	liquid culture
1,4552	6,00E-06	SCO4402	liquid culture
-1,0103	2,10E-05	SCO7020	liquid culture
-0,1445	0,475769	SCO0828	liquid culture
-1,52	0	SCO1516	liquid culture
0,2025	0,454283	SCO3110	liquid culture
-0,2527	0,256885	SCO3456	liquid culture
2,4103	0	SCO2038	liquid culture
-0,2068	0,535594	SCO1742	liquid culture
-0,1723	0,509541	SCO0124	liquid culture
1,2255	2,00E-06	SCO6174	liquid culture
0,7233	0,000247	SCO1036	liquid culture
-0,6172	0,010074	SCO2594	liquid culture
0,5551	0,000991	SCO1513	liquid culture
-0,706	0,000754	SCO4933	liquid culture
0,1568	0,514481	SCO4027	liquid culture
-0,4065	0,009687	SCO1093	liquid culture
-0,0391	0,870872	SCO6241	liquid culture
0,7981	9,00E-06	SCO3083	liquid culture
-0,2133	0,246776	SCO4119	liquid culture
0,0085	0,971486	SCO7381	liquid culture
0,4162	0,154661	SCO6634	liquid culture
-1,02	2,30E-05	SCO4603	liquid culture
-0,336	0,060768	SCO2706	liquid culture
0,6105	0,00925	SCO6354	liquid culture
-0,7235	0,000352	SCO4546	liquid culture
0,2439	0,182075	SCO7266	liquid culture
-2,7882	0	SCO0286	liquid culture
-0,9467	0,002847	SCO4635	liquid culture
1,3013	0	SCO5046	liquid culture
-0,1566	0,438079	SCO2528	liquid culture
0,3947	0,00984	SCO5654	liquid culture
1,5648	0	SCO2218	liquid culture
2,2093	0	SCO2011	liquid culture
-0,7398	0,004883	SCO2357	liquid culture
0,7622	0,000102	SCO5251	liquid culture
2,1426	1,00E-06	SCO0224	liquid culture
-0,9147	0,002544	SCO0657	liquid culture
-0,4098	0,014581	SCO1444	liquid culture
0,8657	7,00E-06	SCO6550	liquid culture
-0,0053	0,983248	SCO6352	liquid culture
-0,305	0,209138	SCO0899	liquid culture
-1,4438	4,00E-05	SCO2249	liquid culture
-0,123	0,601912	SCO3257	liquid culture
1,8348	0	SCO0885	liquid culture
-1,2982	0	SCO3024	liquid culture
0,0609	0,793284	SCO2016	liquid culture
0,8823	0,000346	SCO2659	liquid culture
0,7058	0,000543	SCO4274	liquid culture
-1,101	1,00E-06	SCO3674	liquid culture
-0,9253	2,00E-06	SCO4656	liquid culture
-0,3994	0,037322	SCO4334	liquid culture
3,6256	0	SCO5888	liquid culture
0,901	0,000341	SCO1723	liquid culture
-0,2128	0,205358	SCO6043	liquid culture
-0,1672	0,427147	SCO7406	liquid culture
0,2003	0,382541	SCO4845	liquid culture
1,1076	1,00E-06	SCO3412	liquid culture
1,5441	3,00E-06	SCO3713	liquid culture
1,1902	0,000127	SCO6764	liquid culture
0,2394	0,259876	SCO6248	liquid culture
-0,0486	0,840115	SCO5633	liquid culture
2,0459	0	SCO1643	liquid culture
0,2926	0,151167	SCO5467	liquid culture
-1,3649	2,00E-06	SCO2678	liquid culture
0,7081	0,007837	SCO6823	liquid culture
0,4366	0,093865	SCO3254	liquid culture
-0,9436	3,90E-05	SCO1299	liquid culture
0,3791	0,069268	SCO1612	liquid culture
-2,1165	0	SCO3146	liquid culture
3,1566	0	SCO6200	liquid culture
0,7302	1,30E-05	SCO6541	liquid culture
0,9641	1,60E-05	SCO6622	liquid culture
0,4092	0,026848	SCO7244	liquid culture
1,0932	4,00E-06	SCO6168	liquid culture
-0,48	0,031792	SCO6603	liquid culture
-1,2802	0	SCO4695	liquid culture
0,2121	0,282365	SCO6573	liquid culture
-0,3242	0,060641	SCO5197	liquid culture
0,4047	0,082291	SCO5994	liquid culture
-0,5382	0,003504	SCO6425	liquid culture
-0,1054	0,677621	SCO3201	liquid culture
-0,3317	0,198226	SCO1126	liquid culture
0,3391	0,12352	SCO0352	liquid culture
-1,9878	0	SCO0062	liquid culture
0,5792	0,000713	SCO5757	liquid culture
0,8417	7,00E-06	SCO3763	liquid culture
0,029	0,912148	SCO6465	liquid culture
0,078	0,73636	SCO7550	liquid culture
-0,587	0,004902	SCO2593	liquid culture
-0,2431	0,128339	SCO6734	liquid culture
0,135	0,596033	SCO6913	liquid culture
-0,0496	0,853151	SCO3121	liquid culture
0,5407	0,002899	SCO4126	liquid culture
0,8905	0,000252	SCO1512	liquid culture
-0,1366	0,542092	SCO6604	liquid culture
-0,6692	0,000206	SCO2397	liquid culture
-0,5328	0,055802	SCO3935	liquid culture
-0,6675	0,00228	SCO0979	liquid culture
0,5191	0,00394	SCO4817	liquid culture
0,0335	0,893497	SCO1901	liquid culture
1,5829	0	SCO1071	liquid culture
-0,4073	0,057624	SCO3985	liquid culture
1,5802	0	SCO6960	liquid culture
-0,3234	0,051702	SCO5516	liquid culture
1,7673	0	SCO4390	liquid culture
0,9854	0	SCO6767	liquid culture
-0,2064	0,254709	SCO2837	liquid culture
1,1985	0	SCO0203	liquid culture
-0,2952	0,044406	SCO3808	liquid culture
-0,0424	0,862294	SCO1209	liquid culture
-1,4294	3,00E-06	SCO5020	liquid culture
0,0047	0,984697	SCO5433	liquid culture
1,5558	0	SCO4996	liquid culture
0,5604	0,027735	SCO6514	liquid culture
0,191	0,294852	SCO2803	liquid culture
-0,4458	0,019455	SCO0090	liquid culture
0,5255	0,000509	SCO2617	liquid culture
-0,2917	0,141104	SCO1900	liquid culture
0,5913	0,001061	SCO5650	liquid culture
1,6679	0	SCO5431	liquid culture
1,0321	0	SCO6721	liquid culture
-0,1691	0,376496	SCO4841	liquid culture
-0,4691	0,001331	SCO2393	liquid culture
0,4256	0,021505	SCO1983	liquid culture
0,1104	0,629965	SCO5989	liquid culture
0,3849	0,117589	SCO6601	liquid culture
0,6233	0,016213	SCO6814	liquid culture
0,8344	2,00E-06	SCO6150	liquid culture
0,2186	0,204253	SCO7035	liquid culture
2,839	0	SCO6944	liquid culture
3,1619	0	SCO3222	liquid culture
-0,2	0,333811	SCO1122	liquid culture
-0,0272	0,94052	SCO5128	liquid culture
3,5268	0	SCO1699	liquid culture
-0,2988	0,088839	SCO4278	liquid culture
-0,7883	7,40E-05	SCO1517	liquid culture
1,0905	1,70E-05	SCO3010	liquid culture
1,849	0	SCO1115	liquid culture
0,9951	1,10E-05	SCO0462	liquid culture
2,5604	0	SCO1801	liquid culture
0,8475	0,007791	SCO6783	liquid culture
-0,5825	0,000298	SCO1989	liquid culture
-1,2531	0	SCO2949	liquid culture
0,1112	0,614347	SCO0953	liquid culture
1,0808	1,10E-05	SCO7254	liquid culture
0,1489	0,466948	SCO0316	liquid culture
-0,0543	0,815957	SCO0950	liquid culture
-0,1201	0,588038	SCO3624	liquid culture
-2	0	SCO4702	liquid culture
-0,4307	0,011963	SCO6977	liquid culture
-0,9219	1,00E-06	SCO2571	liquid culture
-0,7659	0,003212	SCO2741	liquid culture
2,0444	0	SCO6245	liquid culture
1,1174	1,00E-06	SCO7007	liquid culture
0,396	0,09112	SCO6822	liquid culture
-0,3318	0,0424	SCO7503	liquid culture
1,2441	0	SCO3834	liquid culture
1,0961	0	SCO7296	liquid culture
-0,2303	0,297876	SCO0579	liquid culture
-0,9444	3,90E-05	SCO0353	liquid culture
0,0518	0,840592	SCO6738	liquid culture
-0,5838	0,000551	SCO6596	liquid culture
0,2558	0,098029	SCO5364	liquid culture
0,2963	0,256445	SCO7675	liquid culture
0,0566	0,84309	SCO7327	liquid culture
-0,6691	0,017489	SCO3591	liquid culture
-0,024	0,942634	SCO2046	liquid culture
0,2687	0,271942	SCO5653	liquid culture
-0,6569	0,002182	SCO0072	liquid culture
1,2352	1,00E-06	SCO5406	liquid culture
-0,7808	8,00E-06	SCO3263	liquid culture
0,0749	0,74557	SCO1303	liquid culture
-0,0652	0,77813	SCO4946	liquid culture
1,5707	1,00E-06	SCO2267	liquid culture
0,2712	0,085819	SCO6598	liquid culture
2,2205	0	SCO5896	liquid culture
0,3782	0,031752	SCO0542	liquid culture
-0,2773	0,222428	SCO5341	liquid culture
0,1566	0,470284	SCO5245	liquid culture
0,0853	0,714502	SCO2222	liquid culture
-0,4622	0,010093	SCO4120	liquid culture
0,2099	0,308841	SCO7293	liquid culture
-1,3957	0	SCO4740	liquid culture
-1,3208	0	SCO2729	liquid culture
1,5818	0	SCO4395	liquid culture
0,2713	0,284603	SCO6819	liquid culture
2,6949	0	SCO1648	liquid culture
1,0031	1,00E-06	SCO3857	liquid culture
-0,9848	1,00E-06	SCO1806	liquid culture
-0,0374	0,910842	SCO3687	liquid culture
0,6347	0,004155	SCO2007	liquid culture
0,7315	8,00E-06	SCO1489	liquid culture
0,754	3,00E-05	SCO3317	liquid culture
0,1527	0,544782	SCO3723	liquid culture
-1,0943	1,00E-06	SCO3171	liquid culture
0,9219	0,00014	SCO2825	liquid culture
0,8645	1,00E-06	SCO4190	liquid culture
1,1642	6,00E-06	SCO5011	liquid culture
0,8875	0,000377	SCO4192	liquid culture
0,0914	0,687251	SCO6413	liquid culture
0,3495	0,109307	SCO0675	liquid culture
-0,0241	0,92045	SCO1962	liquid culture
-0,2508	0,141923	SCO0431	liquid culture
-0,0544	0,821187	SCO6549	liquid culture
2,2945	0	SCO1803	liquid culture
-0,5382	0,002205	SCO7777	liquid culture
1,2452	3,70E-05	SCO4997	liquid culture
-0,1657	0,378677	SCO1004	liquid culture
-0,6943	0,000683	SCO5672	liquid culture
2,4635	1,00E-06	SCO2518	liquid culture
-0,091	0,687867	SCO2661	liquid culture
-0,7818	0,002047	SCO0042	liquid culture
-0,245	0,172603	SCO7280	liquid culture
1,169	1,00E-06	SCO5586	liquid culture
0,202	0,261829	SCO7515	liquid culture
1,0542	7,00E-06	SCO7702	liquid culture
1,1398	0	SCO6741	liquid culture
0,4965	0,00332	SCO0640	liquid culture
-1,2072	9,00E-06	SCO5335	liquid culture
0,5476	0,005016	SCO7206	liquid culture
0,6839	3,00E-04	SCO5853	liquid culture
0,142	0,492267	SCO0464	liquid culture
-0,7395	3,00E-05	SCO0822	liquid culture
0,2197	0,192063	SCO1016	liquid culture
-1,8019	0	SCO3039	liquid culture
-0,4407	0,004748	SCO1539	liquid culture
-0,8175	4,70E-05	SCO6964	liquid culture
-0,8215	1,10E-05	SCO1060	liquid culture
0,2873	0,101039	SCO5800	liquid culture
0,2934	0,066492	SCO4367	liquid culture
-1,0078	7,00E-06	SCO3504	liquid culture
3,4768	0	SCO6945	liquid culture
1,0365	3,00E-06	SCO2777	liquid culture
-1,5105	0	SCO4722	liquid culture
1,1257	0,000117	SCO3111	liquid culture
0,0083	0,974802	SCO7555	liquid culture
1,2476	0	SCO1114	liquid culture
1,8352	0	SCO0161	liquid culture
1,3743	0	SCO6228	liquid culture
-0,5634	0,000942	SCO1666	liquid culture
0,4969	0,001201	SCO6609	liquid culture
-0,7539	0,000175	SCO5402	liquid culture
-0,8688	1,20E-05	SCO2889	liquid culture
-0,2881	0,220742	SCO6732	liquid culture
-0,462	0,028807	SCO1367	liquid culture
0,0125	0,962441	SCO3047	liquid culture
1,2249	2,30E-05	SCO6716	liquid culture
1,003	7,00E-06	SCO6929	liquid culture
0,5178	0,007249	SCO4193	liquid culture
-0,5143	0,001332	SCO0467	liquid culture
-0,1972	0,419916	SCO2648	liquid culture
-0,5006	0,005279	SCO0687	liquid culture
0,6959	0,000738	SCO6712	liquid culture
0,7742	2,80E-05	SCO7533	liquid culture
0,2189	0,279375	SCO6581	liquid culture
0,6839	0,018806	SCO5601	liquid culture
0,9927	0,000128	SCO5881	liquid culture
-0,1253	0,641309	SCO2167	liquid culture
-0,0809	0,749808	SCO7413	liquid culture
1,5101	0,000226	SCO7474	liquid culture
-0,4586	0,004272	SCO6577	liquid culture
0,7875	0,001521	SCO5010	liquid culture
1,6652	0	SCO0300	liquid culture
-0,0305	0,896839	SCO6237	liquid culture
0,2383	0,22041	SCO5708	liquid culture
-0,2299	0,144138	SCO2308	liquid culture
0,4332	0,026859	SCO2818	liquid culture
0,0984	0,662245	SCO7559	liquid culture
0,0843	0,722567	SCO0265	liquid culture
-0,01	0,969421	SCO6350	liquid culture
-0,569	0,000233	SCO5560	liquid culture
-0,3179	0,096778	SCO1363	liquid culture
-0,8106	0,000182	SCO5213	liquid culture
-0,8406	1,10E-05	SCO4330	liquid culture
0,9756	2,00E-06	SCO6466	liquid culture
-0,5494	0,021216	SCO0843	liquid culture
-0,0582	0,802582	SCO0642	liquid culture
3,6945	0	SCO4317	liquid culture
-0,0494	0,846919	SCO1899	liquid culture
0,1688	0,415241	SCO2169	liquid culture
-0,8793	1,40E-05	SCO6304	liquid culture
-0,0074	0,975452	SCO7483	liquid culture
-0,3129	0,114607	SCO3102	liquid culture
0,5558	0,009527	SCO3560	liquid culture
-0,3964	0,051825	SCO0909	liquid culture
0,0134	0,954855	SCO3590	liquid culture
-0,6231	0,000425	SCO5823	liquid culture
1,7857	0	SCO1907	liquid culture
-0,9761	0,000734	SCO6761	liquid culture
-0,2179	0,262793	SCO5533	liquid culture
-0,2234	0,219401	SCO5550	liquid culture
-1,1804	3,30E-05	SCO1867	liquid culture
-0,4834	0,066328	SCO2604	liquid culture
-0,1662	0,381831	SCO6639	liquid culture
0,1183	0,590065	SCO7368	liquid culture
0,0777	0,740081	SCO7025	liquid culture
1,1581	2,00E-06	SCO3358	liquid culture
-0,9424	1,20E-05	SCO2622	liquid culture
1,0678	2,40E-05	SCO5821	liquid culture
0,413	0,014544	SCO5281	liquid culture
-1,9559	0	SCO1502	liquid culture
-0,1033	0,669045	SCO1372	liquid culture
0,1823	0,328705	SCO5569	liquid culture
-0,6822	0,002751	SCO1418	liquid culture
-1,7609	0	SCO2915	liquid culture
0,4332	0,005814	SCO2209	liquid culture
-0,5813	0,013157	SCO4866	liquid culture
-0,9397	6,00E-06	SCO7047	liquid culture
1,0892	1,30E-05	SCO0768	liquid culture
-0,4227	0,013096	SCO5119	liquid culture
0,6386	0,000214	SCO6003	liquid culture
1,4813	4,00E-06	SCO6194	liquid culture
0,0899	0,692102	SCO0969	liquid culture
-0,4071	0,009325	SCO0285	liquid culture
-0,7166	8,90E-05	SCO7285	liquid culture
0,8565	1,00E-06	SCO5142	liquid culture
-1,2484	0	SCO3275	liquid culture
1,4631	0	SCO7220	liquid culture
2,0854	5,50E-05	SCO3918	liquid culture
-0,5089	0,002024	SCO0967	liquid culture
-0,7827	0,014611	SCO0109	liquid culture
1,111	8,00E-06	SCO6940	liquid culture
0,112	0,610865	SCO2307	liquid culture
0,2708	0,266764	SCO1540	liquid culture
0,0234	0,920963	SCO2982	liquid culture
1,5158	0	SCO5040	liquid culture
-0,2115	0,379212	SCO7211	liquid culture
5,5034	0	SCO6728	liquid culture
0,5209	0,001551	SCO2133	liquid culture
-0,0988	0,659982	SCO7031	liquid culture
0,0019	0,994733	SCO0046	liquid culture
0,101	0,658041	SCO0347	liquid culture
0,1314	0,536013	SCO5202	liquid culture
-0,1138	0,613284	SCO4744	liquid culture
-0,1227	0,569171	SCO0344	liquid culture
-1,6835	0	SCO4726	liquid culture
-0,561	0,00707	SCO2260	liquid culture
-0,094	0,681094	SCO2997	liquid culture
-0,0898	0,707287	SCO5946	liquid culture
1,6734	0	SCO3048	liquid culture
-0,4447	0,005741	SCO7738	liquid culture
1,0525	7,00E-06	SCO1784	liquid culture
0,1555	0,623734	SCO2839	liquid culture
1,1523	0	SCO4095	liquid culture
0,0448	0,861182	SCO0321	liquid culture
0,5366	0,000448	SCO1753	liquid culture
0,3258	0,268491	SCO6817	liquid culture
0,1019	0,667871	SCO5053	liquid culture
1,5396	2,50E-05	SCO6481	liquid culture
0,7553	1,00E-05	SCO4826	liquid culture
0,788	4,50E-05	SCO6772	liquid culture
-0,3202	0,057864	SCO3685	liquid culture
-0,1633	0,478925	SCO4844	liquid culture
2,4113	0	SCO2339	liquid culture
-0,9362	1,00E-06	SCO2135	liquid culture
1,1908	2,00E-06	SCO1019	liquid culture
-0,8968	4,40E-05	SCO6988	liquid culture
-0,9952	5,00E-06	SCO2638	liquid culture
0,1716	0,358196	SCO7137	liquid culture
0,0736	0,811462	SCO6470	liquid culture
-0,8697	0,000526	SCO0028	liquid culture
-0,2828	0,173605	SCO7117	liquid culture
0,0437	0,888004	SCO1359	liquid culture
-0,8281	4,00E-06	SCO4103	liquid culture
-0,9334	8,00E-06	SCO7401	liquid culture
-0,4467	0,013479	SCO2047	liquid culture
-0,5351	0,0044	SCO1218	liquid culture
0,6433	0,003869	SCO7063	liquid culture
-0,2601	0,185472	SCO1492	liquid culture
-0,3571	0,018347	SCO7408	liquid culture
0,8635	0,000382	SCO1832	liquid culture
0,2252	0,280693	SCO7755	liquid culture
-0,4225	0,00582	SCO0959	liquid culture
-0,1235	0,568359	SCO6806	liquid culture
1,8321	0	SCO1624	liquid culture
-0,2996	0,031024	SCO0537	liquid culture
-0,7379	9,10E-05	SCO0949	liquid culture
-1,2732	3,60E-05	SCO3825	liquid culture
0,2482	0,138846	SCO2555	liquid culture
-1,6846	0	SCO0524	liquid culture
0,6407	0,000462	SCO6052	liquid culture
-1,2775	0	SCO7379	liquid culture
0,7332	0,000373	SCO5253	liquid culture
-0,1373	0,570078	SCO3439	liquid culture
-0,291	0,154514	SCO0354	liquid culture
-0,6106	0,017294	SCO7052	liquid culture
-0,8503	0,000122	SCO5196	liquid culture
-0,7839	0,000174	SCO5902	liquid culture
-0,0606	0,803608	SCO6841	liquid culture
0,3739	0,035935	SCO2670	liquid culture
2,7624	0	SCO1138	liquid culture
1,309	5,00E-06	SCO4773	liquid culture
-0,4907	0,001226	SCO0851	liquid culture
-0,6891	0,000408	SCO5626	liquid culture
-0,0768	0,741379	SCO7068	liquid culture
-0,2552	0,333844	SCO0294	liquid culture
0,5812	0,006549	SCO1478	liquid culture
1,207	0	SCO2123	liquid culture
-0,2219	0,280924	SCO0068	liquid culture
-0,3801	0,039332	SCO1999	liquid culture
3,7382	0	SCO1640	liquid culture
-0,6902	0,005058	SCO7078	liquid culture
1,09	2,00E-06	SCO6468	liquid culture
-0,3454	0,114247	SCO4169	liquid culture
-2,899	0	SCO0750	liquid culture
-0,3928	0,023623	SCO0876	liquid culture
0,761	0,00033	SCO5600	liquid culture
0,1904	0,343403	SCO6146	liquid culture
2,8707	0	SCO7481	liquid culture
-0,5093	0,00254	SCO5317	liquid culture
-0,6002	0,018417	SCO2415	liquid culture
0,0269	0,910225	SCO2216	liquid culture
0,2345	0,204777	SCO7785	liquid culture
-0,0185	0,946598	SCO5323	liquid culture
0,0373	0,87519	SCO5917	liquid culture
-0,257	0,164873	SCO1711	liquid culture
-0,7412	4,60E-05	SCO2610	liquid culture
0,8602	1,40E-05	SCO5388	liquid culture
-0,0345	0,886024	SCO6998	liquid culture
-0,364	0,048422	SCO0900	liquid culture
-1,1939	1,00E-06	SCO1515	liquid culture
0,7169	0,002856	SCO6829	liquid culture
0,2517	0,149345	SCO7527	liquid culture
0,1518	0,486617	SCO5394	liquid culture
1,2314	2,00E-06	SCO6760	liquid culture
1,4953	0	SCO1323	liquid culture
-0,1254	0,596025	SCO6185	liquid culture
-0,1123	0,628349	SCO2688	liquid culture
-0,0773	0,739428	SCO2935	liquid culture
-0,6546	0,027894	SCO6855	liquid culture
0,9678	0,002314	SCO4427	liquid culture
0,1758	0,411238	SCO7660	liquid culture
-1,0963	1,00E-06	SCO0434	liquid culture
-0,7062	0,004312	SCO6311	liquid culture
0,0679	0,801651	SCO0976	liquid culture
0,7089	3,90E-05	SCO7648	liquid culture
1,1871	3,00E-06	SCO4443	liquid culture
1,2584	0	SCO6357	liquid culture
9,00E-04	0,997247	SCO1146	liquid culture
-0,5963	0,001153	SCO3183	liquid culture
0,1194	0,586253	SCO7339	liquid culture
1,5696	0	SCO1565	liquid culture
0,0951	0,684825	SCO5267	liquid culture
0,0881	0,699939	SCO1272	liquid culture
-0,1068	0,63126	SCO7239	liquid culture
2,31	0	SCO6928	liquid culture
-1,1606	0	SCO7440	liquid culture
0,1066	0,638763	SCO6975	liquid culture
0,7162	9,30E-05	SCO7577	liquid culture
-0,71	0,000539	SCO6843	liquid culture
-0,0578	0,820319	SCO5021	liquid culture
0,1469	0,475272	SCO0780	liquid culture
-0,3715	0,018079	SCO3444	liquid culture
0,0233	0,93338	SCO6907	liquid culture
-0,4077	0,004233	SCO3188	liquid culture
2,4202	0	SCO4114	liquid culture
-0,2258	0,174446	SCO7304	liquid culture
0,5266	0,002483	SCO7256	liquid culture
0,1627	0,4461	SCO2603	liquid culture
-1,0544	1,10E-05	SCO6665	liquid culture
0,4297	0,009488	SCO6759	liquid culture
-0,3415	0,054358	SCO1061	liquid culture
1,1359	0	SCO4117	liquid culture
0,166	0,400547	SCO0877	liquid culture
-0,446	0,003864	SCO6584	liquid culture
-0,7996	5,00E-06	SCO6904	liquid culture
0,8525	1,40E-05	SCO2337	liquid culture
-0,0399	0,874971	SCO3140	liquid culture
-1,1772	4,00E-06	SCO2747	liquid culture
0,5799	0,005291	SCO1156	liquid culture
-0,2373	0,144147	SCO3440	liquid culture
0,5402	0,004064	SCO5979	liquid culture
0,3321	0,018394	SCO1358	liquid culture
0,3316	0,124363	SCO1908	liquid culture
0,0349	0,89869	SCO3080	liquid culture
-0,4263	0,010637	SCO2836	liquid culture
0,0292	0,901169	SCO3421	liquid culture
-0,2585	0,12143	SCO1031	liquid culture
0,5985	0,04537	SCO5303	liquid culture
-0,1379	0,510785	SCO7768	liquid culture
1,3643	0	SCO1724	liquid culture
1,3396	0	SCO5006	liquid culture
0,2161	0,225294	SCO5839	liquid culture
-0,1351	0,522639	SCO0772	liquid culture
0,1049	0,665939	SCO1265	liquid culture
-0,5413	0,001733	SCO2503	liquid culture
-0,091	0,702261	SCO7692	liquid culture
-1,3244	0	SCO2456	liquid culture
-0,4472	0,008541	SCO6534	liquid culture
-0,7591	3,00E-06	SCO3973	liquid culture
-0,6316	3,30E-05	SCO3307	liquid culture
0,1641	0,416706	SCO0314	liquid culture
0,5817	0,008659	SCO6705	liquid culture
-0,4924	0,006752	SCO5210	liquid culture
-0,0734	0,751097	SCO4388	liquid culture
0,1045	0,639125	SCO3777	liquid culture
0,0367	0,88034	SCO0711	liquid culture
-0,375	0,037342	SCO6589	liquid culture
-0,1439	0,511412	SCO7513	liquid culture
0,8638	1,30E-05	SCO1898	liquid culture
-0,6945	0,021651	SCO6893	liquid culture
-0,271	0,163851	SCO6210	liquid culture
-0,0384	0,892085	SCO5663	liquid culture
-0,5508	0,004063	SCO5241	liquid culture
1,397	0	SCO1933	liquid culture
-0,7792	1,50E-05	SCO0539	liquid culture
-0,329	0,052636	SCO5439	liquid culture
-0,4163	0,02171	SCO7351	liquid culture
-0,9135	3,00E-06	SCO4927	liquid culture
1,3475	0	SCO1802	liquid culture
-1,2794	5,00E-06	SCO2869	liquid culture
-0,4795	0,016742	SCO3933	liquid culture
-0,2506	0,152198	SCO7448	liquid culture
-0,9649	9,00E-06	SCO0638	liquid culture
0,1787	0,339654	SCO3540	liquid culture
-0,3212	0,106407	SCO0718	liquid culture
1,282	0	SCO1229	liquid culture
-0,7175	0,058866	SCO7788	liquid culture
0,4244	0,09234	SCO7666	liquid culture
0,4064	0,010067	SCO4130	liquid culture
0,2144	0,199605	SCO1863	liquid culture
-0,4191	0,036285	SCO1369	liquid culture
-0,7077	0,000222	SCO1430	liquid culture
0,2978	0,097036	SCO1797	liquid culture
1,6769	0	SCO2879	liquid culture
-0,8958	1,70E-05	SCO6498	liquid culture
1,6412	0	SCO5274	liquid culture
0,6024	0,000174	SCO0751	liquid culture
0,1694	0,34857	SCO1694	liquid culture
0,2505	0,129548	SCO6782	liquid culture
-0,0505	0,829089	SCO0066	liquid culture
-2,8942	0	SCO0440	liquid culture
-0,0015	0,994984	SCO7446	liquid culture
-0,5793	0,003615	SCO5302	liquid culture
1,1351	0	SCO5530	liquid culture
-1,5536	0	SCO2580	liquid culture
-0,472	0,020167	SCO5453	liquid culture
-0,7022	0,000235	SCO0373	liquid culture
0,8722	0,000512	SCO7073	liquid culture
