logFC	FDR	gene	add_variable
3,2073	0	SCO0389	liquid culture
2,5628	0	SCO6993	liquid culture
3,4582	0	SCO0409	liquid culture
4,4859	0	SCO0385	liquid culture
0,9986	0,000847	SCO0678	liquid culture
1,6471	0	SCO5319	liquid culture
4,593	0	SCO1534	liquid culture
3,0846	0	SCO4566	liquid culture
5,8642	0	SCO5085	liquid culture
3,4466	0	SCO1533	liquid culture
4,4419	0	SCO0384	liquid culture
3,0267	0	SCO4226	liquid culture
1,7572	2,00E-06	SCO2790	liquid culture
1,7071	3,00E-06	SCO4135	liquid culture
2,106	4,00E-06	SCO4569	liquid culture
0,8208	0,001899	SCO3924	liquid culture
3,5691	0	SCO2573	liquid culture
0,615	0,001025	SCO1172	liquid culture
-0,3806	0,010949	SCO7452	liquid culture
3,1969	0	SCO0038	liquid culture
3,2692	0	SCO4675	liquid culture
2,2778	0	SCO2408	liquid culture
3,345	0	SCO0685	liquid culture
2,5104	0	SCO3207	liquid culture
1,7553	3,00E-06	SCO5125	liquid culture
1,2415	2,50E-05	SCO2251	liquid culture
4,3563	0	SCO1673	liquid culture
3,6474	0	SCO3926	liquid culture
1,6759	0	SCO2311	liquid culture
4,1374	0	SCO5276	liquid culture
1,1989	7,10E-05	SCO5864	liquid culture
3,8082	0	SCO5827	liquid culture
2,8363	0	SCO0390	liquid culture
1,5882	0	SCO4411	liquid culture
0,9801	0,000371	SCO6715	liquid culture
6,2988	0	SCO5075	liquid culture
3,4031	0	SCO3195	liquid culture
4,6163	0	SCO6795	liquid culture
5,8724	0	SCO4187	liquid culture
2,8972	0	SCO5176	liquid culture
2,2055	0	SCO1121	liquid culture
3,9124	0	SCO5249	liquid culture
4,3142	0	SCO1357	liquid culture
-0,5016	0,002767	SCO0986	liquid culture
3,2342	0	SCO1356	liquid culture
-0,6158	0,003352	SCO0850	liquid culture
1,7774	4,00E-06	SCO1174	liquid culture
3,7068	0	SCO5219	liquid culture
3,8773	0	SCO1626	liquid culture
3,9346	0	SCO0391	liquid culture
1,9276	0	SCO6170	liquid culture
5,5136	0	SCO5090	liquid culture
0,6576	0,000297	SCO6424	liquid culture
2,0483	0	SCO2823	liquid culture
1,8702	1,00E-06	SCO4567	liquid culture
0,3872	0,212985	SCO2404	liquid culture
