"gene","logFC","FDR","add_variable","start","end","width","strand","data_name"
"predicted RNA",2.64186489195563,2.65e-42,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.98185265328974,3.95e-41,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.361456459074,6.22e-41,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.65105169117893,5.3e-40,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-3.44555944405574,2.14e-39,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.9730999968053,2.03e-36,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.32192809488736,3.36e-36,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.71881824745595,5.17e-36,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.12294706016097,1.75e-35,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.25873426840017,1.12e-33,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.65105169117893,4.69e-33,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.04564266555571,1.32e-31,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.32818708535904,1.55e-30,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.47643804394299,5.41e-30,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.10060394093841,4.82e-29,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.40087943628218,1.27e-27,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.66296501272243,1.7e-27,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.07663445635866,5.14e-27,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.83031607050092,6.8e-27,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.78240856492737,3.16e-26,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.30742852519225,5.94e-26,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.4905701304462,6.07e-26,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.81655385890407,8.87e-26,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.0361883076153,2.56e-24,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.95174483139278,2.96e-24,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.7282483770651,6.06e-24,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.75054856643913,1.17e-23,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.86789646399265,3.22e-23,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.82816338433751,3.43e-23,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.89308479608349,6.08e-23,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.2129937233342,6.45e-23,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.1987798641145,4.04e-22,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.84799690655495,4.04e-22,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.90689059560852,1.43e-21,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-1.79354912253257,2.43e-20,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.28856949794093,3.58e-20,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.82312223791592,1.02e-19,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.87446911791614,6.36e-19,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",1.83102382795124,9.45e-19,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.18057224564182,2.12e-18,"PS04M145",NA,NA,NA,NA,"szafran2019"
